id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,set_camera_shake,characters/0/hide_char_id
d_ex_hotel_08_1,d_ex_hotel_08,Monologue,Locale_SuddenStory:d_ex_hotel_08_1,False,BuildingLobby,black,black,1.0,bgm_story_crawlinganxiety,,,,,,,,,
d_ex_hotel_08_2,d_ex_hotel_08,Narration,Locale_SuddenStory:d_ex_hotel_08_2,False,,black,black,1.0,,,,,,,,,,
d_ex_hotel_08_3,d_ex_hotel_08,Monologue,Locale_SuddenStory:d_ex_hotel_08_3,False,,black,black,1.0,,,,,,,,,,
d_ex_hotel_08_4,d_ex_hotel_08,Self,Locale_SuddenStory:d_ex_hotel_08_4,False,,1,1,1.0,,black,,,,,,,,
d_ex_hotel_08_5,d_ex_hotel_08,Monologue,Locale_SuddenStory:d_ex_hotel_08_5,False,,1,1,1.0,,,,,,,,,,
d_ex_hotel_08_6,d_ex_hotel_08,Monologue,Locale_SuddenStory:d_ex_hotel_08_6,False,,1,1,1.0,,,,,,,,,,
d_ex_hotel_08_7,d_ex_hotel_08,Self,Locale_SuddenStory:d_ex_hotel_08_7,False,,1,1,1.0,,,,,,,,,,
d_ex_hotel_08_8,d_ex_hotel_08,Monologue,Locale_SuddenStory:d_ex_hotel_08_8,False,,1,1,1.0,,,,,,,,,,
d_ex_hotel_08_9,d_ex_hotel_08,Monologue,Locale_SuddenStory:d_ex_hotel_08_9,False,,1,1,1.0,none,,,,,,,,,
d_ex_hotel_08_10,d_ex_hotel_08,Narration,Locale_SuddenStory:d_ex_hotel_08_10,False,Hotel_n,black,black,1.0,,,sfx_scn_remotesignal,,,,,,,
d_ex_hotel_08_11,d_ex_hotel_08,Narration,Locale_SuddenStory:d_ex_hotel_08_11,False,,black,black,1.0,,,sfx_scn_autodooropen,d_w,1,void,,,,
d_ex_hotel_08_12,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_12,True,,10,10,1.0,bgm_story_orangepop,black,,,1,void,d_w,d_w,,
d_ex_hotel_08_13,d_ex_hotel_08,Self,Locale_SuddenStory:d_ex_hotel_08_13,False,,10,10,1.0,,,,,1,void,d_w,,,
d_ex_hotel_08_14,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_14,True,,10,10,1.0,,,,,1,void,d_w,d_w,,
d_ex_hotel_08_15,d_ex_hotel_08,Self,Locale_SuddenStory:d_ex_hotel_08_15,False,,10,10,1.0,,,,,1,void,d_w,,,
d_ex_hotel_08_16,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_16,True,,10,10,1.0,,,,,1,void,d_w,d_w,,
d_ex_hotel_08_17,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_17,True,,10,10,1.0,,,,,1,void,d_w,d_w,,
d_ex_hotel_08_18,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_18,True,,10,100,1.0,,,,,1,think,d_w,d_w,,
d_ex_hotel_08_19,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_19,True,,100,100,1.0,,,,,1,think,d_w,d_w,,
d_ex_hotel_08_20,d_ex_hotel_08,Self,Locale_SuddenStory:d_ex_hotel_08_20,False,,100,100,1.0,,,,,1,think,d_w,,,
d_ex_hotel_08_21,d_ex_hotel_08,Self,Locale_SuddenStory:d_ex_hotel_08_21,False,,100,100,1.0,,,,,1,think,d_w,,,
d_ex_hotel_08_22,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_22,True,,100,10,0.7,,,,,1,void,d_w,d_w,,
d_ex_hotel_08_23,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_23,True,,10,10,1.0,,,,,1,think,d_w,d_w,,
d_ex_hotel_08_24,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_24,True,,10,10,1.0,,,,,1,think,d_w,d_w,,
d_ex_hotel_08_25,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_25,True,,10,10,1.0,,,,,1,think,d_w,d_w,,
d_ex_hotel_08_26,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_26,True,,10,10,1.0,,,,,1,think,d_w,d_w,,
d_ex_hotel_08_27,d_ex_hotel_08,Self,Locale_SuddenStory:d_ex_hotel_08_27,False,,10,10,1.0,,,,,1,think,d_w,,,
d_ex_hotel_08_28,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_28,True,,10,100,1.0,,,,,1,special,d_w,d_w,,
d_ex_hotel_08_29,d_ex_hotel_08,Self,Locale_SuddenStory:d_ex_hotel_08_29,False,,100,100,1.0,,,,,1,special,d_w,,,
d_ex_hotel_08_30,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_30,True,,100,100,1.0,,,,,1,think,d_w,d_w,,
d_ex_hotel_08_31,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_31,True,,100,100,1.0,,,,,1,think,d_w,d_w,,
d_ex_hotel_08_32,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_32,True,,100,100,1.0,,,,,1,void,d_w,d_w,,
d_ex_hotel_08_33,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_33,True,,100,100,1.0,,,,,1,void,d_w,d_w,,
d_ex_hotel_08_34,d_ex_hotel_08,Self,Locale_SuddenStory:d_ex_hotel_08_34,False,,100,100,1.0,,,,,1,void,d_w,,,
d_ex_hotel_08_35,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_35,True,,100,10,1.0,,,,,1,void,d_w,d_w,,
d_ex_hotel_08_36,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_36,True,,10,10,1.0,,,,,1,void,d_w,d_w,,
d_ex_hotel_08_37,d_ex_hotel_08,Speech,Locale_SuddenStory:d_ex_hotel_08_37,True,,10,10,1.0,,,,,1,void,d_w,d_w,,
d_ex_hotel_08_38,d_ex_hotel_08,Self,Locale_SuddenStory:d_ex_hotel_08_38,False,,10,10,1.0,,,,,1,void,d_w,,,
d_ex_hotel_08_39,d_ex_hotel_08,Narration,Locale_SuddenStory:d_ex_hotel_08_39,False,,black,black,1.0,,,,,1,void,,,,
d_ex_hotel_08_40,d_ex_hotel_08,Narration,Locale_SuddenStory:d_ex_hotel_08_40,False,,black,black,1.0,,,,,1,void,,,,
