id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_clothingstore_03_1,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_1,True,ClothingStore,1,10,1.0,bgm_story_whosdumber,,,drake,1,delight,,alice,13,idle,,,
d_ex_clothingstore_03_2,d_ex_clothingstore_03,Self,,,Locale_SuddenStory:d_ex_clothingstore_03_2,False,,10,10,1.0,,,,,1,delight,,,13,idle,,,
d_ex_clothingstore_03_3,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_3,True,,10,113,1.0,,,,,1,delight,,,13,delight,,,
d_ex_clothingstore_03_4,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_4,True,,113,113,1.0,,,,,1,delight,,,13,delight,,,
d_ex_clothingstore_03_5,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_5,True,,113,113,1.0,,,,,1,delight,,,13,delight,,,
d_ex_clothingstore_03_6,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_6,True,,113,113,1.0,,,,,1,delight,,,13,idle,,,
d_ex_clothingstore_03_7,d_ex_clothingstore_03,Self,,,Locale_SuddenStory:d_ex_clothingstore_03_7,False,,113,113,1.0,,,,,1,delight,,,13,idle,,,
d_ex_clothingstore_03_8,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_8,True,,113,113,1.0,,,,,1,delight,,,13,idle,,,
d_ex_clothingstore_03_9,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_9,True,,113,113,1.0,,,,,1,no,,,13,idle,,,
d_ex_clothingstore_03_10,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_10,True,,113,10,0.5,,,,,1,no,,,13,idle,,,
d_ex_clothingstore_03_11,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_11,True,,10,10,1.0,,,,,1,no,,,13,idle,,,
d_ex_clothingstore_03_12,d_ex_clothingstore_03,Choice,,,Locale_SuddenStory:d_ex_clothingstore_03_12,False,,10,10,1.0,,d_ex_clothingstore_03_14,,,1,no,,,13,idle,,,
d_ex_clothingstore_03_13,d_ex_clothingstore_03,Choice,,,Locale_SuddenStory:d_ex_clothingstore_03_13,False,,10,10,1.0,,d_ex_clothingstore_03_16,,,1,no,,,13,idle,,,
d_ex_clothingstore_03_14,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_14,True,,10,100,0.5,,,,,1,angry,,,13,idle,,,
d_ex_clothingstore_03_15,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_15,True,,100,100,1.0,,d_ex_clothingstore_03_18,,,1,angry,,,13,idle,,,
d_ex_clothingstore_03_16,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_16,True,,10,100,0.5,,,,,1,angry,,,13,idle,,,
d_ex_clothingstore_03_17,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_17,True,,100,100,1.0,,d_ex_clothingstore_03_18,,,1,angry,,,13,idle,,,
d_ex_clothingstore_03_18,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_18,True,,100,10,1.0,,,,,1,idle,,,13,idle,,,
d_ex_clothingstore_03_19,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_19,True,,10,10,1.0,,,,,1,delight,,,13,idle,,,
d_ex_clothingstore_03_20,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_20,True,,10,10,1.0,,,,,1,delight,,,13,idle,,,
d_ex_clothingstore_03_21,d_ex_clothingstore_03,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_03_21,True,,10,1315,1.0,,,,,1,delight,,,13,idle,ludmilla,15,idle
d_ex_clothingstore_03_22,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_22,True,,1315,1315,1.0,,,,,1,idle,,,13,idle,,15,idle
d_ex_clothingstore_03_23,d_ex_clothingstore_03,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_03_23,True,,1315,1315,1.0,,,,,1,idle,,,13,idle,,15,idle
d_ex_clothingstore_03_24,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_24,False,,1315,1,1.0,,,,,1,no,,,13,idle,,15,idle
d_ex_clothingstore_03_25,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_25,True,,1,1,1.0,,,,,1,no,,,13,idle,,15,idle
d_ex_clothingstore_03_26,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_26,True,,1,1315,1.0,,,,,1,no,,,13,idle,,15,idle
d_ex_clothingstore_03_27,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_27,True,,1315,1315,1.0,,,,,1,no,,,13,idle,,15,idle
d_ex_clothingstore_03_28,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_28,True,,1315,1315,1.0,,,,,1,no,,,13,idle,,15,idle
d_ex_clothingstore_03_29,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_29,False,,10,10,1.0,,,,,1,delight,,,13,idle,,15,idle
d_ex_clothingstore_03_30,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_30,True,,10,10,1.0,,,,,1,delight,,,13,idle,,15,idle
d_ex_clothingstore_03_31,d_ex_clothingstore_03,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_03_31,True,,150,150,1.0,,,,,1,delight,,,13,idle,,15,idle
d_ex_clothingstore_03_32,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_32,True,,S_130,S_130,1.0,,,,,1,delight,,,13,delight,,15,idle
d_ex_clothingstore_03_33,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_33,True,,S_130,S_130,1.0,,,,,1,delight,,,13,delight,,15,idle
d_ex_clothingstore_03_34,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_34,True,,S_130,113,1.0,,,,,1,delight,,,13,delight,,15,idle
d_ex_clothingstore_03_35,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_35,True,,113,113,1.0,,,,,1,delight,,,13,delight,,15,idle
d_ex_clothingstore_03_36,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_36,True,,113,113,1.0,,,,,1,delight,,,13,delight,,15,idle
d_ex_clothingstore_03_37,d_ex_clothingstore_03,Self,,,Locale_SuddenStory:d_ex_clothingstore_03_37,False,,113,1,1.0,,,,,1,delight,,,13,delight,,15,idle
d_ex_clothingstore_03_38,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_38,True,,1,10,0.5,,,,,1,delight,,,13,idle,,15,idle
d_ex_clothingstore_03_39,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_39,True,,10,10,1.0,,,,,1,delight,,,13,idle,,15,idle
d_ex_clothingstore_03_40,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_40,True,,10,113,1.0,,,,,1,delight,,,13,idle,,15,idle
d_ex_clothingstore_03_41,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_41,True,,113,113,1.0,,,,,1,delight,,,13,idle,,15,idle
d_ex_clothingstore_03_42,d_ex_clothingstore_03,Self,,,Locale_SuddenStory:d_ex_clothingstore_03_42,False,,113,15,1.0,,,,,1,delight,,,13,idle,,15,idle
d_ex_clothingstore_03_43,d_ex_clothingstore_03,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_03_43,True,,15,15,1.0,,,,,1,delight,,,13,idle,,15,idle
d_ex_clothingstore_03_44,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_44,True,,15,113,1.0,none,,,,1,delight,,,13,delight,,15,idle
d_ex_clothingstore_03_45,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_45,True,,113,113,1.0,,,,,1,delight,,,13,delight,,15,idle
d_ex_clothingstore_03_46,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_46,True,,113,113,1.0,bgm_story_herecomestrouble,,,,1,delight,,,13,delight,,15,idle
d_ex_clothingstore_03_47,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_47,True,,113,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_48,d_ex_clothingstore_03,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_03_48,True,,15,15,1.0,,,,,1,no,,,13,delight,,15,delight
d_ex_clothingstore_03_49,d_ex_clothingstore_03,Self,,,Locale_SuddenStory:d_ex_clothingstore_03_49,False,,15,15,1.0,,,,,1,no,,,13,delight,,15,delight
d_ex_clothingstore_03_50,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_50,True,,100,100,1.0,,,,,1,angry,,,13,delight,,15,delight
d_ex_clothingstore_03_51,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_51,True,,100,100,1.0,,,,,1,angry,,,13,delight,,15,idle
d_ex_clothingstore_03_52,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_52,True,,100,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_53,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_53,True,,113,113,1.0,,,,,1,no,,,13,sad,,15,idle
d_ex_clothingstore_03_54,d_ex_clothingstore_03,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_03_54,True,,113,1315,1.0,,,,,1,no,,,13,sad,,15,idle
d_ex_clothingstore_03_55,d_ex_clothingstore_03,Self,,,Locale_SuddenStory:d_ex_clothingstore_03_55,False,,1315,1315,1.0,,,,,1,no,,,13,sad,,15,idle
d_ex_clothingstore_03_56,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_56,True,,1315,S_130,1.0,,,,,1,no,,,13,sad,,15,idle
d_ex_clothingstore_03_57,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_57,True,,S_130,S_130,1.0,,,,,1,no,,,13,sad,,15,idle
d_ex_clothingstore_03_58,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_58,True,,10,10,1.0,,,,,1,no,,,13,sad,,15,idle
d_ex_clothingstore_03_59,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_59,True,,S_130,S_130,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_60,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_60,True,,S_130,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_61,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_61,True,,113,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_62,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_62,True,,113,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_63,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_63,True,,113,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_64,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_64,True,,113,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_65,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_65,True,,113,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_66,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_66,True,,113,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_67,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_67,True,,113,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_68,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_68,True,,113,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_69,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_69,False,,113,113,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_70,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_70,True,,113,1,1.0,,,,,1,no,,,13,delight,,15,idle
d_ex_clothingstore_03_71,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_71,True,,1,10,1.0,,,,,1,idle,,,13,delight,,15,idle
d_ex_clothingstore_03_72,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_72,True,,S_130,S_130,1.0,,,,,1,idle,,,13,surprise,,15,idle
d_ex_clothingstore_03_73,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_73,True,,S_130,S_130,1.0,,,,,1,idle,,,13,surprise,,15,idle
d_ex_clothingstore_03_74,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_74,True,,S_130,113,0.5,,,,,1,idle,,,13,surprise,,15,idle
d_ex_clothingstore_03_75,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_75,True,,113,113,1.0,,,,,1,idle,,,13,surprise,,15,idle
d_ex_clothingstore_03_76,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_76,True,,113,113,1.0,,,,,1,idle,,,13,surprise,,15,idle
d_ex_clothingstore_03_77,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_77,True,,113,113,1.0,,,,,1,delight,,,13,surprise,,15,idle
d_ex_clothingstore_03_78,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_78,True,,113,113,1.0,,,Low_2,,1,delight,,,13,surprise,,15,idle
d_ex_clothingstore_03_79,d_ex_clothingstore_03,Speech,drake,drake,Locale_SuddenStory:d_ex_clothingstore_03_79,True,,113,113,1.0,,,,,1,no,,,13,surprise,,15,idle
d_ex_clothingstore_03_80,d_ex_clothingstore_03,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_03_80,False,,113,113,1.0,,,,,1,,drake,,13,surprise,,15,idle
d_ex_clothingstore_03_81,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_81,True,,113,S_130,1.0,none,,,,1,,,,13,delight,,15,idle
d_ex_clothingstore_03_82,d_ex_clothingstore_03,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_03_82,True,,S_130,S_1300,0.5,,,,,1,,,,13,delight,,15,idle
