id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_filter_01,set_filter_02,characters/6/hide_char_id
d_main_35_03_1,d_main_35_03,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_03_1,True,drake,5,idle,laplace,3,idle,maxwell,1,idle,rapi_red,13,idle,cinderella,15,idle,grave_p,17,idle,Jungle2,14,14,1.0,bgm_chapter35_field_swamp,,,,,,,,,,,,
d_main_35_03_2,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_2,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,14,14,1.0,,,,,,,,,,,,,
d_main_35_03_3,d_main_35_03,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_03_3,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,14,14,1.0,,,,,,,,,,,,,
d_main_35_03_4,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_4,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,14,14,1.0,,,,,,,,,,,,,
d_main_35_03_5,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_5,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,14,14,1.0,,,,,,,,,,,,,
d_main_35_03_6,d_main_35_03,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_03_6,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,17,17,1.0,,,,,,,,,,,,,
d_main_35_03_7,d_main_35_03,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_03_7,False,,5,idle,,3,idle,,1,idle,,13,think,,15,idle,,17,idle,,14,14,1.0,,,,,,,,,,,,,
d_main_35_03_8,d_main_35_03,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_03_8,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,14,14,1.0,,,,,,,,,,,,,
d_main_35_03_9,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_9,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,,14,S_150,1.0,,,,,,,,,,,,,
d_main_35_03_10,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_10,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,,S_150,S_150,1.0,,,,,,,,,,,,,
d_main_35_03_11,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_11,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,,S_150,S_150,1.0,,,,,,,,,,,,,
d_main_35_03_12,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_12,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,,S_150,S_150,1.0,,,,,,,,,,,,,
d_main_35_03_13,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_13,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,,S_150,S_150,1.0,,,,,,,,,,,,,
d_main_35_03_14,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_14,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,,S_150,S_150,1.0,,,,,,,,,,,,,
d_main_35_03_15,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_15,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,,S_150,S_150,1.0,,,,,,,,,,,,,
d_main_35_03_16,d_main_35_03,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_03_16,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,delight,,S_150,16,1.0,,,,,,,,,,,,,
d_main_35_03_17,d_main_35_03,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_03_17,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,delight,,16,16,1.0,,,,,,,,,,,,,
d_main_35_03_18,d_main_35_03,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_03_18,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,delight,,16,16,1.0,,,,,,,,,,,,,
d_main_35_03_19,d_main_35_03,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_03_19,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,smile,,17,delight,,16,16,1.0,,,,,,,,,,,,,
d_main_35_03_20,d_main_35_03,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_03_20,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,smile,,17,idle,,16,L_170,1.0,,,,,,,,,,,,,
d_main_35_03_21,d_main_35_03,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_03_21,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,smile,,17,idle,,L_170,L_170,1.0,,,,,,,,,,,,,
d_main_35_03_22,d_main_35_03,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_03_22,True,,5,idle,,3,idle,,1,idle,,13,delight,,15,smile,,17,idle,,130,130,1.0,,,,,,,,,,,,,
d_main_35_03_23,d_main_35_03,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_03_23,True,,5,idle,,3,idle,,1,idle,,13,delight,,15,smile,,17,idle,,L_170,L_170,1.0,,,,,,,,,,,,,
d_main_35_03_24,d_main_35_03,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_03_24,True,,5,idle,,3,idle,,1,idle,,13,delight,,15,smile,,17,idle,,L_170,L_170,1.0,,,,,,,,,,,,,
