id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,set_filter_01,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,jump_target,characters/1/hide_char_id
d_ex_hotel_06_1,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_1,False,LivingRoom,1,1,1.0,bgm_story_orangepop,,,,,,,,,,,,
d_ex_hotel_06_2,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_2,False,,1,1,1.0,,,,,,,,,,,,,
d_ex_hotel_06_3,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_3,False,Corridor,1,1,1.0,,,,,,,,,,,,,
d_ex_hotel_06_4,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_4,False,,1,1,1.0,,,,,,,,,,,,,
d_ex_hotel_06_5,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_5,False,GoodOffice,1,1,1.0,,,,,,,,,,,,,
d_ex_hotel_06_6,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_6,False,,1,1,1.0,,,,,,,,,,,,,
d_ex_hotel_06_7,d_ex_hotel_06,Self,Self,Locale_SuddenStory:d_ex_hotel_06_7,False,,1,1,1.0,,,,,,,,,,,,,
d_ex_hotel_06_8,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_8,False,,1,1,1.0,,Low_2,,,,,,,,,,,
d_ex_hotel_06_9,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_9,False,,1,1,1.0,,,Blur_Low,,,,,,,,,,
d_ex_hotel_06_10,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_10,False,,1,1,1.0,none,,Blur_Middle,,,,,,,,,,
d_ex_hotel_06_11,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_11,True,,1,1,1.0,bgm_story_crawlinganxiety,,Blur_Middle,k,d,2,idle,k,12,surprise,black,,
d_ex_hotel_06_12,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_12,True,,1,1,1.0,,,Blur_Middle,k,,2,idle,,12,surprise,,,
d_ex_hotel_06_13,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_13,False,,1,1,1.0,,,Blur_Low,d,,2,think,,12,surprise,,,
d_ex_hotel_06_14,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_14,True,,1,1,1.0,,,Blur_Low,d,,2,idle,,12,surprise,,,
d_ex_hotel_06_15,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_15,True,,1,1,1.0,,,Blur_Low,d,,2,idle,,12,surprise,,,
d_ex_hotel_06_16,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_16,False,,1,20,2.0,,,,,,2,idle,,12,surprise,,,
d_ex_hotel_06_17,d_ex_hotel_06,Self,Self,Locale_SuddenStory:d_ex_hotel_06_17,False,,20,20,1.0,,,,,,2,idle,,12,surprise,,,
d_ex_hotel_06_18,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_18,False,,20,20,1.0,,,,d,,2,angry,,12,idle,,,
d_ex_hotel_06_19,d_ex_hotel_06,Choice,,Locale_SuddenStory:d_ex_hotel_06_19,False,,20,20,1.0,,,,,,2,angry,,12,idle,,d_ex_hotel_06_21,
d_ex_hotel_06_20,d_ex_hotel_06,Choice,,Locale_SuddenStory:d_ex_hotel_06_20,False,,20,20,1.0,,,,,,2,angry,,12,idle,,d_ex_hotel_06_24,
d_ex_hotel_06_21,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_21,True,,20,20,1.0,,,,d,,2,think,,12,idle,,,
d_ex_hotel_06_22,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_22,True,,20,20,1.0,,,,d,,2,idle,,12,idle,,,
d_ex_hotel_06_23,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_23,True,,20,20,1.0,,,,d,,2,idle,,12,idle,,d_ex_hotel_06_27,
d_ex_hotel_06_24,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_24,True,,20,20,1.0,,,,d,,2,idle,,12,idle,,,
d_ex_hotel_06_25,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_25,True,,20,20,1.0,,,,d,,2,idle,,12,idle,,,
d_ex_hotel_06_26,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_26,True,,20,20,1.0,,,,d,,2,idle,,12,idle,,,
d_ex_hotel_06_27,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_27,True,,20,20,1.0,,,,d,,2,idle,,12,idle,,,
d_ex_hotel_06_28,d_ex_hotel_06,Self,Self,Locale_SuddenStory:d_ex_hotel_06_28,False,,20,20,1.0,,,,,,2,idle,,12,idle,,,
d_ex_hotel_06_29,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_29,True,,20,S_120,1.0,,,,k,,2,idle,,12,delight,,,
d_ex_hotel_06_30,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_30,True,,S_120,S_120,1.0,,,,k,,2,idle,,12,delight,,,
d_ex_hotel_06_31,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_31,True,,S_120,S_120,1.0,,,,k,,2,idle,,12,delight,,,
d_ex_hotel_06_32,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_32,True,,S_120,S_120,1.0,,,,k,,2,idle,,12,idle,,,
d_ex_hotel_06_33,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_33,False,,20,20,1.0,,,,d,,2,idle,,12,idle,,,
d_ex_hotel_06_34,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_34,True,,20,20,1.0,,,,d,,2,idle,,12,idle,,,
d_ex_hotel_06_35,d_ex_hotel_06,Self,Self,Locale_SuddenStory:d_ex_hotel_06_35,False,,20,20,1.0,,,,,,2,idle,,12,idle,,,
d_ex_hotel_06_36,d_ex_hotel_06,Monologue,Monologue,Locale_SuddenStory:d_ex_hotel_06_36,False,,20,200,2.0,,,,,,2,think,,12,idle,,,
d_ex_hotel_06_37,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_37,True,,200,200,1.0,,,,d,,2,think,,12,idle,,,
d_ex_hotel_06_38,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_38,True,,200,S_120,1.0,,,,d,,2,idle,,12,idle,,,
d_ex_hotel_06_39,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_39,True,,S_120,S_120,1.0,,,,k,,2,idle,,12,good,,,
d_ex_hotel_06_40,d_ex_hotel_06,Self,Self,Locale_SuddenStory:d_ex_hotel_06_40,False,,S_120,1,1.0,,,,,,2,idle,,12,good,,,
d_ex_hotel_06_41,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_41,True,,1,1,1.0,,,,k,,2,idle,,12,delight,,,
d_ex_hotel_06_42,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_42,True,,1,1,1.0,,,,k,,2,idle,,12,delight,,,
d_ex_hotel_06_43,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_43,True,,1,1,1.0,,,,k,,2,idle,,12,think,,,
d_ex_hotel_06_44,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_44,True,,1,1,1.0,,,,d,,2,think,,12,think,,,
d_ex_hotel_06_45,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_45,True,,1,1,1.0,,,,d,,2,think,,12,think,,,
d_ex_hotel_06_46,d_ex_hotel_06,Speech,d,Locale_SuddenStory:d_ex_hotel_06_46,True,,1,1,1.0,,,,d,,2,idle,,12,think,,,
d_ex_hotel_06_47,d_ex_hotel_06,Speech,k,Locale_SuddenStory:d_ex_hotel_06_47,True,,1,1,1.0,,,,k,,2,idle,,12,idle,,,
