id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,characters/2/hide_char_id
d_ex_hospital_08_1,d_ex_hospital_08,Monologue,ein,Locale_SuddenStory:d_ex_hospital_08_1,False,ein,5,idle,rei,7,idle,zwei,3,idle,Corridor,black,black,1.0,none,,,,,
d_ex_hospital_08_2,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_2,True,,5,idle,,7,idle,,3,idle,,6,6,1.0,bgm_story_orangepop,ein,,,,
d_ex_hospital_08_3,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_3,True,,5,idle,,7,idle,,3,idle,,6,6,1.0,,rei,,,,
d_ex_hospital_08_4,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_4,True,,5,idle,,7,idle,,3,idle,,6,3,1.0,,zwei,,,,
d_ex_hospital_08_5,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_5,True,,5,idle,,7,idle,,3,idle,,3,3,1.0,,zwei,,,,
d_ex_hospital_08_6,d_ex_hospital_08,Monologue,zwei,Locale_SuddenStory:d_ex_hospital_08_6,False,,5,idle,,7,idle,,3,idle,,3,30,1.0,,,,,,
d_ex_hospital_08_7,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_7,True,,5,idle,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_8,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_8,True,,5,idle,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_9,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_9,True,,5,idle,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_10,d_ex_hospital_08,Self,zwei,Locale_SuddenStory:d_ex_hospital_08_10,False,,5,idle,,7,idle,,3,idle,,30,30,1.0,,,,,,
d_ex_hospital_08_11,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_11,True,,5,idle,,7,idle,,3,good,,30,3,1.0,,zwei,,,,
d_ex_hospital_08_12,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_12,True,,5,idle,,7,idle,,3,good,,3,6,1.0,,ein,,,,
d_ex_hospital_08_13,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_13,True,,5,idle,,7,idle,,3,idle,,6,6,1.0,,ein,,,,
d_ex_hospital_08_14,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_14,True,,5,idle,,7,surprise,,3,idle,,6,6,1.0,,rei,,,,
d_ex_hospital_08_15,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_15,True,,5,idle,,7,surprise,,3,idle,,6,6,1.0,,rei,,,,
d_ex_hospital_08_16,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_16,True,,5,idle,,7,surprise,,3,idle,,6,6,1.0,,ein,,,,
d_ex_hospital_08_17,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_17,True,,5,idle,,7,surprise,,3,idle,,6,6,1.0,,ein,,,,
d_ex_hospital_08_18,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_18,True,,5,surprise,,7,surprise,,3,idle,,6,6,1.0,,ein,,,,
d_ex_hospital_08_19,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_19,False,,5,surprise,,7,surprise,,3,surprise,,3,30,0.3,,zwei,,,,
d_ex_hospital_08_20,d_ex_hospital_08,Self,zwei,Locale_SuddenStory:d_ex_hospital_08_20,False,,5,surprise,,7,surprise,,3,surprise,,30,30,1.0,,,,,,
d_ex_hospital_08_21,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_21,True,,5,no,,7,idle,,3,surprise,,50,50,1.0,,ein,,,,
d_ex_hospital_08_22,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_22,True,,5,no,,7,idle,,3,surprise,,50,50,1.0,,ein,,,,
d_ex_hospital_08_23,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_23,True,,5,no,,7,idle,,3,surprise,,50,50,1.0,,ein,,,,
d_ex_hospital_08_24,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_24,True,,5,no,,7,no,,3,idle,,50,XS_70,1.0,,rei,,,,
d_ex_hospital_08_25,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_25,True,,5,no,,7,no,,3,idle,,XS_70,XS_70,1.0,,rei,,,,
d_ex_hospital_08_26,d_ex_hospital_08,Self,rei,Locale_SuddenStory:d_ex_hospital_08_26,False,,5,no,,7,no,,3,idle,,XS_70,6,1.0,,,,,,
