id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_subquest_1431_s_1,d_subquest_1431_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1431_s_1,True,neon,5,idle,anis,3,void,grave,1,idle,rapi,13,idle,CrystalCity,30,2,1.0,bgm_theruinedcity
d_subquest_1431_s_2,d_subquest_1431_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1431_s_2,True,,5,idle,,3,void,,1,idle,,13,idle,,2,2,1.0,
d_subquest_1431_s_3,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_3,True,,5,idle,,3,void,,1,idle,,13,idle,,2,2,1.0,
d_subquest_1431_s_4,d_subquest_1431_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1431_s_4,True,,5,idle,,3,void,,1,idle,,13,idle,,2,2,1.0,
d_subquest_1431_s_5,d_subquest_1431_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1431_s_5,True,,5,idle,,3,void,,1,idle,,13,idle,,2,2,1.0,
d_subquest_1431_s_6,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_6,True,,5,idle,,3,void,,1,idle,,13,idle,,2,2,1.0,
d_subquest_1431_s_7,d_subquest_1431_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1431_s_7,True,,5,idle,,3,sad,,1,idle,,13,idle,,2,30,1.0,
d_subquest_1431_s_8,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_8,True,,5,idle,,3,sad,,1,idle,,13,idle,,30,L_10,1.0,
d_subquest_1431_s_9,d_subquest_1431_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1431_s_9,True,,5,idle,,3,idle,,1,idle,,13,idle,,30,30,1.0,
d_subquest_1431_s_10,d_subquest_1431_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1431_s_10,True,,5,idle,,3,idle,,1,idle,,13,idle,,30,30,1.0,
d_subquest_1431_s_11,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_11,True,,5,idle,,3,idle,,1,idle,,13,idle,,L_10,L_10,1.0,
d_subquest_1431_s_12,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_12,True,,5,idle,,3,idle,,1,idle,,13,idle,,L_10,L_10,1.0,
d_subquest_1431_s_13,d_subquest_1431_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1431_s_13,True,,5,idle,,3,sad,,1,idle,,13,idle,,L_10,2,1.0,
d_subquest_1431_s_14,d_subquest_1431_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1431_s_14,True,,5,idle,,3,sad,,1,idle,,13,idle,,2,2,1.0,
d_subquest_1431_s_15,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_15,True,,5,idle,,3,sad,,1,idle,,13,idle,,2,2,1.0,
d_subquest_1431_s_16,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_16,True,,5,idle,,3,void,,1,idle,,13,idle,,2,L_10,1.0,
d_subquest_1431_s_17,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_17,True,,5,idle,,3,void,,1,idle,,13,idle,,L_10,L_10,1.0,
d_subquest_1431_s_18,d_subquest_1431_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1431_s_18,True,,5,surprise,,3,void,,1,idle,,13,idle,,S_50,S_50,1.0,
d_subquest_1431_s_19,d_subquest_1431_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1431_s_19,True,,5,surprise,,3,void,,1,idle,,13,idle,,S_50,S_50,1.0,
d_subquest_1431_s_20,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_20,True,,5,surprise,,3,void,,1,idle,,13,idle,,L_10,L_10,1.0,
d_subquest_1431_s_21,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_21,True,,5,idle,,3,void,,1,idle,,13,idle,,L_10,L_10,1.0,
d_subquest_1431_s_22,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_22,True,,5,idle,,3,void,,1,idle,,13,idle,,L_10,L_10,1.0,
d_subquest_1431_s_23,d_subquest_1431_s,Speech,grave,grave,Locale_SubScenario:d_subquest_1431_s_23,True,,5,idle,,3,void,,1,idle,,13,idle,,L_10,L_10,1.0,
