id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_command_04_1,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_1,True,CommanderRoom,1,1,1.0,bgm_story_orangepop,,,,ether,1,idle,,,,,,
d_ex_command_04_2,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_2,True,,1,1,1.0,,,,,,1,idle,,,,,,
d_ex_command_04_3,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_3,True,,1,1,1.0,,,,,,1,idle,,,,,,
d_ex_command_04_4,d_ex_command_04,Choice,ether,,Locale_SuddenStory:d_ex_command_04_4,False,,1,1,1.0,,d_ex_command_04_6,,,,1,idle,,,,,,
d_ex_command_04_5,d_ex_command_04,Choice,ether,,Locale_SuddenStory:d_ex_command_04_5,False,,1,1,1.0,,d_ex_command_04_8,,,,1,idle,,,,,,
d_ex_command_04_6,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_6,True,,1,S_10,2.0,,,,,,1,delight,,,,,,
d_ex_command_04_7,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_7,True,,S_10,S_10,1.0,,d_ex_command_04_10,,,,1,delight,,,,,,
d_ex_command_04_8,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_8,True,,1,S_10,2.0,,,,,,1,delight,,,,,,
d_ex_command_04_9,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_9,True,,S_10,S_10,1.0,,,,,,1,delight,,,,,,
d_ex_command_04_10,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_10,True,,S_10,S_10,1.0,,,,,,1,sad,,,,,,
d_ex_command_04_11,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_11,True,,S_10,S_10,1.0,,,,,,1,sad,,,,,,
d_ex_command_04_12,d_ex_command_04,Self,ether,Self,Locale_SuddenStory:d_ex_command_04_12,False,,S_10,S_10,1.0,,,,,,1,sad,,,,,,
d_ex_command_04_13,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_13,True,,S_10,S_10,1.0,,,,,,1,idle,,,,,,
d_ex_command_04_14,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_14,True,,S_10,S_10,1.0,,,,,,1,idle,,,,,,
d_ex_command_04_15,d_ex_command_04,Narration,,Narration,Locale_SuddenStory:d_ex_command_04_15,False,,4,4,1.0,none,,sfx_scn_autodooropen,black,,1,idle,,,,,,
d_ex_command_04_16,d_ex_command_04,Speech,frima,frima,Locale_SuddenStory:d_ex_command_04_16,True,,4,4,1.0,bgm_story_epicjazzymoods,,,,,1,idle,frima,3,idle,neve,5,idle
d_ex_command_04_17,d_ex_command_04,Speech,neve,neve,Locale_SuddenStory:d_ex_command_04_17,True,,4,4,1.0,,,,,,1,idle,,3,idle,,5,idle
d_ex_command_04_18,d_ex_command_04,Self,neve,Self,Locale_SuddenStory:d_ex_command_04_18,False,,4,4,1.0,,,,,,1,idle,,3,idle,,5,idle
d_ex_command_04_19,d_ex_command_04,Speech,neve,neve,Locale_SuddenStory:d_ex_command_04_19,True,,4,50,2.0,,,,,,1,idle,,3,idle,,5,idle
