id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,fade,characters/0/hide_char_id
d_ex_library_10_1,d_ex_library_10,Self,quency_e,Locale_SuddenStory:d_ex_library_10_1,False,Library,3,30,0.3,none,,,,,,,,,,
d_ex_library_10_2,d_ex_library_10,Self,quency_e,Locale_SuddenStory:d_ex_library_10_2,False,,30,30,1.0,bgm_story_leisuretime,,,,,,,,,,
d_ex_library_10_3,d_ex_library_10,Monologue,quency_e,Locale_SuddenStory:d_ex_library_10_3,False,,30,3,1.0,,quency_e,3,idle_2,,,,,,,
d_ex_library_10_4,d_ex_library_10,Speech,quency_e,Locale_SuddenStory:d_ex_library_10_4,True,,3,3,1.0,,,3,delight_2,quency_e,,,,,,
d_ex_library_10_5,d_ex_library_10,Self,quency_e,Locale_SuddenStory:d_ex_library_10_5,False,,3,3,1.0,,,3,delight_2,,,,,,,
d_ex_library_10_6,d_ex_library_10,Speech,quency_e,Locale_SuddenStory:d_ex_library_10_6,True,,3,3,1.0,,,3,sad_2,quency_e,,,,,,
d_ex_library_10_7,d_ex_library_10,Speech,quency_e,Locale_SuddenStory:d_ex_library_10_7,True,,3,3,1.0,,,3,sad_2,quency_e,,,,,,
d_ex_library_10_8,d_ex_library_10,Self,quency_e,Locale_SuddenStory:d_ex_library_10_8,False,,3,3,1.0,,,3,sad_2,,,,,,,
d_ex_library_10_9,d_ex_library_10,Self,quency_e,Locale_SuddenStory:d_ex_library_10_9,False,,3,3,1.0,,,3,sad_2,,,,,,,
d_ex_library_10_10,d_ex_library_10,Speech,quency_e,Locale_SuddenStory:d_ex_library_10_10,True,,3,S_30,1.0,,,3,idle_2,quency_e,,,,,,
d_ex_library_10_11,d_ex_library_10,Speech,quency_e,Locale_SuddenStory:d_ex_library_10_11,True,,S_30,S_30,1.0,,,3,idle_2,quency_e,,,,,,
d_ex_library_10_12,d_ex_library_10,Self,quency_e,Locale_SuddenStory:d_ex_library_10_12,False,,S_30,S_30,1.0,,,3,idle_2,,,,,,,
d_ex_library_10_13,d_ex_library_10,Speech,quency_e,Locale_SuddenStory:d_ex_library_10_13,True,,S_30,S_30,1.0,,,3,idle_2,quency_e,,,,,,
d_ex_library_10_14,d_ex_library_10,Speech,quency_e,Locale_SuddenStory:d_ex_library_10_14,True,,S_30,S_30,1.0,,,3,idle_2,quency_e,,,,,,
d_ex_library_10_15,d_ex_library_10,Speech,quency_e,Locale_SuddenStory:d_ex_library_10_15,True,,S_30,S_30,1.0,,,3,idle_2,quency_e,,,,,,
d_ex_library_10_16,d_ex_library_10,Self,quency_e,Locale_SuddenStory:d_ex_library_10_16,False,,S_30,S_30,1.0,,,3,idle_2,,,,,,,
d_ex_library_10_17,d_ex_library_10,Speech,quency_e,Locale_SuddenStory:d_ex_library_10_17,True,,S_30,S_30,1.0,,,3,delight_2,quency_e,,,,,,
