id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,jump_target,set_camera_shake
d_main_15af_01_1,d_main_15af_01,Narration,Narration,Locale_MainScenario:d_main_15af_01_1,False,City_d,5,1,2.0,bgm_story_shopperholic,,,,,,,,,,,,,,,,,,,,,,,,
d_main_15af_01_2,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_2,True,,1,L_10,0.5,,rupee,anis,7,idle,rapi,5,idle,neon,3,idle,rupee,1,delight,dolla,13,idle,yan,15,idle,fx_Eventscene_camera_recording,rec,True,,
d_main_15af_01_3,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_3,True,,L_10,1,1.0,,rupee,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,,,,
d_main_15af_01_4,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_4,True,,1,1,1.0,,rupee,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,
d_main_15af_01_5,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_5,True,,1,L_10,2.0,,rupee,,7,idle,,5,idle,,3,idle,,1,shy,,13,idle,,15,idle,,,,,
d_main_15af_01_6,d_main_15af_01,Self,Self,Locale_MainScenario:d_main_15af_01_6,False,,L_10,L_10,1.0,,rupee,,7,idle,,5,idle,,3,idle,,1,shy,,13,idle,,15,idle,,,,,
d_main_15af_01_7,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_7,True,,L_10,L_10,1.0,,rupee,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,
d_main_15af_01_8,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_8,True,,L_10,L_10,1.0,,rupee,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,
d_main_15af_01_9,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_9,True,,L_10,L_10,1.0,,rupee,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,
d_main_15af_01_10,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_10,True,,L_10,1,0.5,,rupee,,7,idle,,5,idle,,3,idle,,1,delight,,13,idle,,15,idle,,,,,
d_main_15af_01_11,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_11,True,,1,14,2.0,,rupee,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,
d_main_15af_01_12,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_12,True,,6,1,2.0,,rupee,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,
d_main_15af_01_13,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_13,True,,1,13,1.0,,rupee,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,
d_main_15af_01_14,d_main_15af_01,Speech,dolla,Locale_MainScenario:d_main_15af_01_14,True,,13,13,1.0,,dolla,,7,idle,,5,idle,,3,idle,,1,idle,,13,good,,15,idle,,,,,
d_main_15af_01_15,d_main_15af_01,Speech,dolla,Locale_MainScenario:d_main_15af_01_15,True,,13,S_130,1.5,,dolla,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,
d_main_15af_01_16,d_main_15af_01,Speech,dolla,Locale_MainScenario:d_main_15af_01_16,True,,S_130,S_130,1.0,,dolla,,7,idle,,5,idle,,3,idle,,1,idle,,13,good,,15,idle,,,,,
d_main_15af_01_17,d_main_15af_01,Speech,dolla,Locale_MainScenario:d_main_15af_01_17,True,,S_130,S_130,1.0,,dolla,,7,idle,,5,idle,,3,idle,,1,idle,,13,good,,15,idle,,,,,
d_main_15af_01_18,d_main_15af_01,Speech,yan,Locale_MainScenario:d_main_15af_01_18,True,,S_130,S_150,0.3,,yan,,7,idle,,5,idle,,3,idle,,1,idle,,13,good,,15,idle,,,,,
d_main_15af_01_19,d_main_15af_01,Speech,yan,Locale_MainScenario:d_main_15af_01_19,False,,S_150,S_150,1.0,,yan,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,"expression_0,delight",,,,,
d_main_15af_01_20,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_20,True,,L_10,L_10,1.0,,rupee,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,,,,
d_main_15af_01_21,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_21,False,,L_10,L_10,1.0,,rupee,,7,idle,,5,idle,,3,idle,,1,"expression_0,idle",,13,idle,,15,delight,,,,,
d_main_15af_01_22,d_main_15af_01,Speech,rupee,Locale_MainScenario:d_main_15af_01_22,True,,L_10,1,2.0,,rupee,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,
