id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_36_08_e_1,d_main_36_08_e,Speech,eyeri,eyeri,Locale_MainScenario:d_main_36_08_e_1,True,Office,L_20,L_20,1.0,bgm_story_breakaway,,,avistar,4,idle,,eyeri,2,angry,,anis,12,idle,,neon,14,idle,,,,
d_main_36_08_e_2,d_main_36_08_e,Speech,eyeri,eyeri,Locale_MainScenario:d_main_36_08_e_2,True,,L_20,L_20,1.0,,,,,4,idle,,,2,angry,,,12,idle,,,14,idle,,,,
d_main_36_08_e_3,d_main_36_08_e,Speech,eyeri,eyeri,Locale_MainScenario:d_main_36_08_e_3,True,,L_20,L_20,1.0,,,,,4,idle,,,2,angry,,,12,idle,,,14,idle,,,,
d_main_36_08_e_4,d_main_36_08_e,Speech,avistar,avistar,Locale_MainScenario:d_main_36_08_e_4,True,,L_20,3,1.3,,,,,4,idle,,,2,void,,,12,idle,,,14,idle,,,,
d_main_36_08_e_5,d_main_36_08_e,Speech,avistar,avistar,Locale_MainScenario:d_main_36_08_e_5,True,,3,3,1.0,,,,,4,idle,,,2,void,,,12,idle,,,14,idle,,,,
d_main_36_08_e_6,d_main_36_08_e,Speech,anis,anis,Locale_MainScenario:d_main_36_08_e_6,True,,13,13,1.0,,,,,4,idle,,,2,void,,,12,delight,,,14,idle,,,,
d_main_36_08_e_7,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_7,True,,13,13,1.0,,,,,4,idle,,,2,void,,,12,delight,,,14,idle,,,,
d_main_36_08_e_8,d_main_36_08_e,Speech,anis,anis,Locale_MainScenario:d_main_36_08_e_8,True,,13,13,1.0,,,,,4,idle,,,2,void,,,12,delight,,,14,idle,,,,
d_main_36_08_e_9,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_9,True,,13,13,1.0,,,,,4,idle,,,2,void,,,12,delight,,,14,worry,,,,
d_main_36_08_e_10,d_main_36_08_e,Speech,anis,anis,Locale_MainScenario:d_main_36_08_e_10,True,,13,13,1.0,,,,,4,idle,,,2,void,,,12,sad,,,14,worry,,,,
d_main_36_08_e_11,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_11,True,,13,13,1.0,,,,,4,idle,,,2,void,,,12,sad,,,14,no,,,,
d_main_36_08_e_12,d_main_36_08_e,Speech,eyeri,eyeri,Locale_MainScenario:d_main_36_08_e_12,True,,13,1,1.0,,,,,4,idle,,,2,void,,,12,sad,,,14,no,,,,
d_main_36_08_e_13,d_main_36_08_e,Speech,eyeri,eyeri,Locale_MainScenario:d_main_36_08_e_13,True,,1,1,1.0,,,,,4,idle,,,2,void,,,12,sad,,,14,no,,,,
d_main_36_08_e_14,d_main_36_08_e,Speech,eyeri,eyeri,Locale_MainScenario:d_main_36_08_e_14,True,,1,1,1.0,,,,,4,idle,,,2,idle,,,12,sad,,,14,no,,,,
d_main_36_08_e_15,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_15,True,,S_140,S_140,1.0,,,,,4,idle,,,2,idle,,,12,sad,,,14,surprise,,,,
d_main_36_08_e_16,d_main_36_08_e,Speech,eyeri,eyeri,Locale_MainScenario:d_main_36_08_e_16,True,,1,1,1.0,,,,,4,idle,,,2,idle,,,12,sad,,,14,surprise,,,,
d_main_36_08_e_17,d_main_36_08_e,Speech,anis,anis,Locale_MainScenario:d_main_36_08_e_17,True,,1,1,1.0,,,,,4,idle,,,2,idle,,,12,angry,,,14,surprise,,,,
d_main_36_08_e_18,d_main_36_08_e,Speech,eyeri,eyeri,Locale_MainScenario:d_main_36_08_e_18,True,,1,1,1.0,,,,,4,idle,,,2,idle,,,12,angry,,,14,surprise,,,,
d_main_36_08_e_19,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_19,True,,S_140,S_140,1.0,,,,,4,idle,,,2,idle,,,12,angry,,,14,worry,,,,
d_main_36_08_e_20,d_main_36_08_e,Speech,avistar,avistar,Locale_MainScenario:d_main_36_08_e_20,True,,L_40,L_40,1.0,,,,,4,idle,,,2,idle,,,12,angry,,,14,worry,,,,
d_main_36_08_e_21,d_main_36_08_e,Speech,avistar,avistar,Locale_MainScenario:d_main_36_08_e_21,True,,L_40,L_40,1.0,,,,,4,idle,,,2,idle,,,12,void,,,14,worry,,,,
d_main_36_08_e_22,d_main_36_08_e,Speech,avistar,avistar,Locale_MainScenario:d_main_36_08_e_22,True,,L_40,L_40,1.0,,,,,4,idle,,,2,idle,,,12,void,,,14,worry,,,,
d_main_36_08_e_23,d_main_36_08_e,Speech,avistar,avistar,Locale_MainScenario:d_main_36_08_e_23,True,,L_40,L_40,1.0,,,,,4,idle,,,2,idle,,,12,void,,,14,worry,,,,
d_main_36_08_e_24,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_24,True,,13,13,1.0,,,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,,
d_main_36_08_e_25,d_main_36_08_e,Speech,eyeri,eyeri,Locale_MainScenario:d_main_36_08_e_25,True,,3,3,1.0,,,,,4,idle,,,2,void,,,12,void,,,14,idle,,,,
d_main_36_08_e_26,d_main_36_08_e,Speech,avistar,avistar,Locale_MainScenario:d_main_36_08_e_26,True,,3,3,1.0,,,,,4,surprise,,,2,void,,,12,void,,,14,idle,,,,
d_main_36_08_e_27,d_main_36_08_e,Speech,eyeri,eyeri,Locale_MainScenario:d_main_36_08_e_27,True,,3,3,1.0,,,,,4,surprise,,,2,idle,,,12,void,,,14,idle,,,,
d_main_36_08_e_28,d_main_36_08_e,Speech,anis,anis,Locale_MainScenario:d_main_36_08_e_28,True,,13,13,1.0,,,,,4,surprise,,,2,idle,,,12,worry,,,14,idle,,,,
d_main_36_08_e_29,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_29,True,,13,13,1.0,,,,,4,idle,,,2,idle,,,12,worry,,,14,idle,,,,
d_main_36_08_e_30,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_30,True,,13,13,1.0,,,,,4,idle,,,2,idle,,,12,worry,,,14,idle,,,,
d_main_36_08_e_31,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_31,True,,13,13,1.0,,,,,4,idle,,,2,idle,,,12,worry,,,14,idle,,,,
d_main_36_08_e_32,d_main_36_08_e,Speech,anis,anis,Locale_MainScenario:d_main_36_08_e_32,True,,13,13,1.0,,,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,,
d_main_36_08_e_33,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_33,True,,13,13,1.0,,,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,,
d_main_36_08_e_34,d_main_36_08_e,Speech,anis,anis,Locale_MainScenario:d_main_36_08_e_34,True,,13,13,1.0,,,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,,
d_main_36_08_e_35,d_main_36_08_e,Speech,neon,neon,Locale_MainScenario:d_main_36_08_e_35,True,,13,S_140,1.0,,,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,,
d_main_36_08_e_36,d_main_36_08_e,Monologue,neon,,Locale_MainScenario:d_main_36_08_e_36,False,,S_140,S_140,1.0,,sfx_scn_clothrustle,,,4,idle,,,2,idle,,,12,void,,,14,idle,,,,
d_main_36_08_e_37,d_main_36_08_e,Speech,neon,anis,Locale_MainScenario:d_main_36_08_e_37,True,,S_140,S_140,1.0,,,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,,
