id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
d_main_10_02_1,d_main_10_02,Speech,shifty,shifty,Locale_MainScenario:d_main_10_02_1,True,Desert_01,7,7,1.0,bgm_areah_a,,shifty,OP_leftup,idle,,rapi,7,idle,,eunhwa,1,idle,,anis,3,void,emma,13,worry,,,,,,,
d_main_10_02_2,d_main_10_02,Speech,shifty,shifty,Locale_MainScenario:d_main_10_02_2,True,,7,7,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_3,d_main_10_02,Speech,shifty,shifty,Locale_MainScenario:d_main_10_02_3,True,,7,7,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_4,d_main_10_02,Speech,shifty,shifty,Locale_MainScenario:d_main_10_02_4,True,,7,7,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_5,d_main_10_02,Speech,shifty,shifty,Locale_MainScenario:d_main_10_02_5,True,,7,7,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_6,d_main_10_02,Speech,shifty,shifty,Locale_MainScenario:d_main_10_02_6,True,,7,7,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_7,d_main_10_02,Speech,shifty,shifty,Locale_MainScenario:d_main_10_02_7,True,,7,7,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_8,d_main_10_02,Speech,rapi,rapi,Locale_MainScenario:d_main_10_02_8,True,,7,70,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_9,d_main_10_02,Speech,shifty,shifty,Locale_MainScenario:d_main_10_02_9,True,,70,70,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_10,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_10,True,,10,10,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_11,d_main_10_02,Speech,shifty,shifty,Locale_MainScenario:d_main_10_02_11,True,,10,10,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_12,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_12,True,,10,10,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_13,d_main_10_02,Speech,shifty,shifty,Locale_MainScenario:d_main_10_02_13,True,,10,10,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_14,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_14,True,,10,1,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_15,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_15,True,,1,1,1.0,,,,OP_leftup,idle,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_16,d_main_10_02,Speech,anis,anis,Locale_MainScenario:d_main_10_02_16,True,,1,2,1.0,,,,OP_leftup,idle,shifty,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_17,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_17,True,,2,2,1.0,,,,,,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_18,d_main_10_02,Speech,anis,anis,Locale_MainScenario:d_main_10_02_18,True,,2,2,1.0,,,,,,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_19,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_19,True,,2,2,1.0,,,,,,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_20,d_main_10_02,Speech,emma,emma,Locale_MainScenario:d_main_10_02_20,True,,2,12,1.0,,,,,,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_21,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_21,False,,12,12,1.0,,,,,,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_22,d_main_10_02,Speech,emma,emma,Locale_MainScenario:d_main_10_02_22,True,,12,12,1.0,,,,,,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_23,d_main_10_02,Speech,emma,emma,Locale_MainScenario:d_main_10_02_23,True,,12,12,1.0,,,,,,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_24,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_24,True,,12,12,1.0,,,,,,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_25,d_main_10_02,Speech,emma,emma,Locale_MainScenario:d_main_10_02_25,True,,12,12,1.0,,,,,,,,7,idle,,,1,idle,,,3,void,,13,worry,,,,,,,
d_main_10_02_26,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_26,True,,12,12,1.0,,,,,,,,7,idle,,,1,angry,,,3,void,,13,worry,,,,,,,
d_main_10_02_27,d_main_10_02,Speech,emma,emma,Locale_MainScenario:d_main_10_02_27,True,,12,12,1.0,,,,,,,,7,idle,,,1,angry,,,3,void,,13,idle,,,,,,,
d_main_10_02_28,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_28,True,,12,12,1.0,,,,,,,,7,idle,,,1,angry,,,3,void,,13,idle,,,,,,,
d_main_10_02_29,d_main_10_02,Speech,anis,anis,Locale_MainScenario:d_main_10_02_29,True,,12,2,1.0,,,,,,,,7,idle,,,1,angry,,,3,idle,,13,idle,,,,,,,
d_main_10_02_30,d_main_10_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_02_30,True,,2,2,1.0,,,,,,,,7,idle,,,1,angry,,,3,idle,,13,idle,,,,,,,
