id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_25_02_e_1,d_main_25_02_e,Speech,anis,anis,Locale_MainScenario:d_main_25_02_e_1,True,CityForest_02,10,10,1.0,bgm_chaser,,,,,anis,1,idle,neon,13,idle
d_main_25_02_e_2,d_main_25_02_e,Speech,anis,anis,Locale_MainScenario:d_main_25_02_e_2,False,,10,100,1.0,,,,,,,1,worry,,13,idle
d_main_25_02_e_3,d_main_25_02_e,Speech,neon,neon,Locale_MainScenario:d_main_25_02_e_3,True,,S_130,S_130,1.0,,,,,,,1,worry,,13,angry
d_main_25_02_e_4,d_main_25_02_e,Speech,anis,anis,Locale_MainScenario:d_main_25_02_e_4,True,,10,10,1.0,,,,,,,1,angry,,13,angry
d_main_25_02_e_5,d_main_25_02_e,Speech,neon,neon,Locale_MainScenario:d_main_25_02_e_5,True,,10,12,1.0,,,,,,,1,angry,,13,idle
d_main_25_02_e_6,d_main_25_02_e,Speech,anis,anis,Locale_MainScenario:d_main_25_02_e_6,True,,12,12,1.0,,,,,,,1,sad,,13,idle
d_main_25_02_e_7,d_main_25_02_e,Speech,neon,neon,Locale_MainScenario:d_main_25_02_e_7,True,,12,12,1.0,,,,,,,1,void,,13,idle
d_main_25_02_e_8,d_main_25_02_e,Self,neon,,Locale_MainScenario:d_main_25_02_e_8,False,,12,12,1.0,,,,,,,1,void,,13,idle
d_main_25_02_e_9,d_main_25_02_e,Speech,anis,anis,Locale_MainScenario:d_main_25_02_e_9,True,,12,12,1.0,,,,,,,1,void,,13,idle
d_main_25_02_e_10,d_main_25_02_e,Speech,anis,anis,Locale_MainScenario:d_main_25_02_e_10,True,,12,12,1.0,,,,,,,1,void,,13,idle
d_main_25_02_e_11,d_main_25_02_e,Speech,neon,neon,Locale_MainScenario:d_main_25_02_e_11,True,,12,12,1.0,,,,,,,1,void,,13,idle
