id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_subquest_1311_s_1,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_1,True,Grassland,1,1,1.0,bgm_story_edenin,,,isabel,1,idle,
d_subquest_1311_s_2,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_2,True,,1,6,1.0,,,,,1,idle,
d_subquest_1311_s_3,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_3,True,,6,6,1.0,,,,,1,idle,
d_subquest_1311_s_4,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_4,True,,6,6,1.0,,,,,1,idle,
d_subquest_1311_s_5,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_5,True,,6,6,1.0,,,,,1,idle,
d_subquest_1311_s_6,d_subquest_1311_s,Monologue,isabel,,Locale_SubScenario:d_subquest_1311_s_6,False,,6,1,1.0,,,,,1,idle,
d_subquest_1311_s_7,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_7,False,,1,S_10,1.4,,,,,1,idle,
d_subquest_1311_s_8,d_subquest_1311_s,Self,isabel,,Locale_SubScenario:d_subquest_1311_s_8,False,,S_10,S_10,1.0,,,,,1,idle,
d_subquest_1311_s_9,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_9,False,,S_10,S_100,1.4,,,,,1,idle,
d_subquest_1311_s_10,d_subquest_1311_s,Self,isabel,,Locale_SubScenario:d_subquest_1311_s_10,False,,S_100,S_100,1.0,,,,,1,idle,
d_subquest_1311_s_11,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_11,True,,S_100,S_10,1.0,,,,,1,shy,
d_subquest_1311_s_12,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_12,True,,S_10,S_10,1.0,,,,,1,shy,
d_subquest_1311_s_13,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_13,True,,S_10,S_10,1.0,,,,,1,shy,
d_subquest_1311_s_14,d_subquest_1311_s,Self,isabel,,Locale_SubScenario:d_subquest_1311_s_14,False,,S_10,S_10,1.0,,,,,1,shy,
d_subquest_1311_s_15,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_15,True,,S_10,S_10,1.0,,,,,1,idle,
d_subquest_1311_s_16,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_16,False,,S_10,S_10,1.0,,,,,1,idle,
d_subquest_1311_s_17,d_subquest_1311_s,Narration,isabel,,Locale_SubScenario:d_subquest_1311_s_17,False,,S_10,S_10,1.0,,sfx_scn_2rapturestep,,,1,idle,
d_subquest_1311_s_18,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_18,False,,S_10,S_100,1.0,,,,,1,idle,
d_subquest_1311_s_19,d_subquest_1311_s,Narration,isabel,,Locale_SubScenario:d_subquest_1311_s_19,False,,S_100,S_100,1.0,,sfx_scn_3rapturestep,,,1,idle,
d_subquest_1311_s_20,d_subquest_1311_s,Self,isabel,,Locale_SubScenario:d_subquest_1311_s_20,False,,S_100,S_100,1.0,,,,,1,idle,
d_subquest_1311_s_21,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_21,True,,S_100,S_10,1.0,,,,,1,surprise,
d_subquest_1311_s_22,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_22,True,,S_10,S_10,1.0,,,,,1,good,
d_subquest_1311_s_23,d_subquest_1311_s,Speech,isabel,isabel,Locale_SubScenario:d_subquest_1311_s_23,True,,S_10,S_10,1.0,,,,,1,good,
d_subquest_1311_s_24,d_subquest_1311_s,Monologue,isabel,,Locale_SubScenario:d_subquest_1311_s_24,False,,S_10,1,1.0,,sfx_scn_machinewing,Low_2,,1,good,isabel
d_subquest_1311_s_25,d_subquest_1311_s,Self,isabel,,Locale_SubScenario:d_subquest_1311_s_25,False,,1,1,1.0,,,,,,,
d_subquest_1311_s_26,d_subquest_1311_s,Monologue,isabel,,Locale_SubScenario:d_subquest_1311_s_26,False,,1,1,1.0,,,,,,,
d_subquest_1311_s_27,d_subquest_1311_s,Monologue,,,Locale_SubScenario:d_subquest_1311_s_27,False,,1,1,1.0,,,,,,,
d_subquest_1311_s_28,d_subquest_1311_s,Monologue,,,Locale_SubScenario:d_subquest_1311_s_28,False,,1,XS_10,1.0,,,,,,,
d_subquest_1311_s_29,d_subquest_1311_s,Monologue,,,Locale_SubScenario:d_subquest_1311_s_29,False,,black,black,1.0,,,,,,,
