id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,set_filter_01,characters/0/hide_char_id
d_main_24_08_e_1,d_main_24_08_e,Monologue,Monologue,Locale_MainScenario:d_main_24_08_e_1,False,crow,1,idle,ElevatorOut,1,1,1.0,bgm_disaster,,,,,
d_main_24_08_e_2,d_main_24_08_e,Monologue,Monologue,Locale_MainScenario:d_main_24_08_e_2,False,,1,idle,,1,1,1.0,,,,,,
d_main_24_08_e_3,d_main_24_08_e,Narration,Narration,Locale_MainScenario:d_main_24_08_e_3,False,,1,idle,,1,10,0.7,,sfx_scn_bang,Low_2,,,
d_main_24_08_e_4,d_main_24_08_e,Speech,crow,Locale_MainScenario:d_main_24_08_e_4,True,,1,angry,,10,10,1.0,,,,crow,,
d_main_24_08_e_5,d_main_24_08_e,Monologue,Monologue,Locale_MainScenario:d_main_24_08_e_5,False,,1,angry,,10,10,1.0,,,,,,
d_main_24_08_e_6,d_main_24_08_e,Monologue,Monologue,Locale_MainScenario:d_main_24_08_e_6,False,,1,angry,,10,100,2.0,,,,,,
d_main_24_08_e_7,d_main_24_08_e,Self,Self,Locale_MainScenario:d_main_24_08_e_7,False,,1,angry,,100,100,1.0,,,,,,
d_main_24_08_e_8,d_main_24_08_e,Speech,crow,Locale_MainScenario:d_main_24_08_e_8,True,,1,smile,,100,100,1.0,,,,crow,,
d_main_24_08_e_9,d_main_24_08_e,Self,Self,Locale_MainScenario:d_main_24_08_e_9,False,,1,smile,,100,100,1.0,,,,,,
d_main_24_08_e_10,d_main_24_08_e,Speech,crow,Locale_MainScenario:d_main_24_08_e_10,True,,1,smile,,100,100,1.0,,,,crow,,
d_main_24_08_e_11,d_main_24_08_e,Narration,Narration,Locale_MainScenario:d_main_24_08_e_11,False,,1,idle,,100,1,0.7,,sfx_scn_hit,Low_2,,,
d_main_24_08_e_12,d_main_24_08_e,Monologue,Monologue,Locale_MainScenario:d_main_24_08_e_12,False,,1,idle,,1,1,1.0,,,,,Blur_Low,
d_main_24_08_e_13,d_main_24_08_e,Monologue,Monologue,Locale_MainScenario:d_main_24_08_e_13,False,,1,idle,,1,1,1.0,,,,,Blur_Low,
d_main_24_08_e_14,d_main_24_08_e,Monologue,Monologue,Locale_MainScenario:d_main_24_08_e_14,False,,1,idle,,1,1,1.0,,,,,,
d_main_24_08_e_15,d_main_24_08_e,Self,Self,Locale_MainScenario:d_main_24_08_e_15,False,,1,idle,,1,1,1.0,,,,,,
d_main_24_08_e_16,d_main_24_08_e,Monologue,Monologue,Locale_MainScenario:d_main_24_08_e_16,False,,1,idle,,1,10,2.0,,,,,,
d_main_24_08_e_17,d_main_24_08_e,Monologue,Monologue,Locale_MainScenario:d_main_24_08_e_17,False,,1,idle,,10,10,1.0,,,,,,
d_main_24_08_e_18,d_main_24_08_e,Speech,crow,Locale_MainScenario:d_main_24_08_e_18,True,,1,surprise,,10,10,1.0,,,,crow,,
