id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
d_main_28_07_s_1,d_main_28_07_s,Speech,anis,anis,Locale_MainScenario:d_main_28_07_s_1,True,CrystalCity,50,50,1.0,ambient_scn_wind,neon,7,idle,anis,5,idle,rapi,3,idle,liveryn,1,idle,elegg,13,idle,hammering,15,smile,,,
d_main_28_07_s_2,d_main_28_07_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_s_2,True,,2,2,1.0,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,smile,,,
d_main_28_07_s_3,d_main_28_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_28_07_s_3,True,,2,2,1.0,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,smile,,,
d_main_28_07_s_4,d_main_28_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_28_07_s_4,True,,2,2,1.0,bgm_enemyclose,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,smile,,,
d_main_28_07_s_5,d_main_28_07_s,Speech,anis,anis,Locale_MainScenario:d_main_28_07_s_5,True,,2,6,1.0,,,7,idle,,5,angry,,3,idle,,1,idle,,13,idle,,15,smile,,,
d_main_28_07_s_6,d_main_28_07_s,Speech,neon,neon,Locale_MainScenario:d_main_28_07_s_6,True,,6,6,1.0,,,7,idle,,5,angry,,3,idle,,1,idle,,13,idle,,15,smile,,,
d_main_28_07_s_7,d_main_28_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_s_7,True,,S_130,S_130,1.0,,,7,idle,,5,angry,,3,idle,,1,idle,,13,special,,15,smile,,,
d_main_28_07_s_8,d_main_28_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_s_8,True,,S_130,S_130,1.0,,,7,idle,,5,angry,,3,idle,,1,idle,,13,special,,15,smile,,,
d_main_28_07_s_9,d_main_28_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_s_9,True,,S_130,14,1.0,,,7,idle,,5,angry,,3,idle,,1,idle,,13,special,,15,smile,,,
d_main_28_07_s_10,d_main_28_07_s,Speech,hammering,hammering,Locale_MainScenario:d_main_28_07_s_10,True,,14,14,1.0,,,7,idle,,5,angry,,3,idle,,1,idle,,13,special,,15,idle,,,
d_main_28_07_s_11,d_main_28_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_s_11,True,,14,14,1.0,,,7,idle,,5,angry,,3,idle,,1,idle,,13,special,,15,idle,,,
d_main_28_07_s_12,d_main_28_07_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_s_12,True,,14,12,1.0,,,7,idle,,5,angry,,3,idle,,1,worry,,13,special,,15,idle,,,
d_main_28_07_s_13,d_main_28_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_28_07_s_13,True,,12,12,1.0,,,7,idle,,5,angry,,3,idle,,1,worry,,13,special,,15,idle,shifty,OP_leftup,angry
d_main_28_07_s_14,d_main_28_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_28_07_s_14,True,,12,12,1.0,,,7,idle,,5,idle,,3,idle,,1,worry,,13,special,,15,idle,,OP_leftup,angry
