id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,fade,characters/0/hide_char_id
d_main_24af_05_1,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_1,True,neon,13,idle,CommanderRoom,S_130,S_130,1.0,bgm_inark,,,,,,
d_main_24af_05_2,d_main_24af_05,Self,neon,,Locale_MainScenario:d_main_24af_05_2,False,,13,idle,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_3,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_3,True,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_4,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_4,True,,13,delight,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_5,d_main_24af_05,Self,neon,,Locale_MainScenario:d_main_24af_05_5,False,,13,delight,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_6,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_6,True,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_7,d_main_24af_05,Monologue,neon,,Locale_MainScenario:d_main_24af_05_7,False,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_8,d_main_24af_05,Monologue,neon,,Locale_MainScenario:d_main_24af_05_8,False,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_9,d_main_24af_05,Self,neon,,Locale_MainScenario:d_main_24af_05_9,False,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_10,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_10,True,,13,idle,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_11,d_main_24af_05,Self,neon,,Locale_MainScenario:d_main_24af_05_11,False,,13,idle,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_12,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_12,True,,13,idle,,S_130,S_1300,2.0,,,,,,,
d_main_24af_05_13,d_main_24af_05,Self,neon,,Locale_MainScenario:d_main_24af_05_13,False,,13,idle,,S_1300,S_1300,1.0,,,,,,,
d_main_24af_05_14,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_14,True,,13,no,,S_1300,S_1300,1.0,,,,,,,
d_main_24af_05_15,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_15,True,,13,idle,,S_1300,S_1300,1.0,,,,,,,
d_main_24af_05_16,d_main_24af_05,Self,neon,,Locale_MainScenario:d_main_24af_05_16,False,,13,idle,,S_1300,S_1300,1.0,,,,,,,
d_main_24af_05_17,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_17,True,,13,idle,,S_1300,S_1300,1.0,,,,,,,
d_main_24af_05_18,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_18,True,,13,surprise,,S_1300,S_1300,1.0,,,,,,,
d_main_24af_05_19,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_19,False,,13,surprise,,S_1300,S_1300,1.0,,,,,,,
