id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,play_sound
d_main_39_af_07_1,d_main_39_af_07,Speech,mustang,mustang,Locale_MainScenario:d_main_39_af_07_1,False,anis,1,pain,mustang,13,surprise,GoodOffice,L_1300,L_1300,1.0,none,,,
d_main_39_af_07_2,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_2,False,,1,pain,,13,surprise,,100,100,1.0,,,,
d_main_39_af_07_3,d_main_39_af_07,Speech,mustang,mustang,Locale_MainScenario:d_main_39_af_07_3,True,,1,pain,,13,surprise,,L_1300,L_130,1.0,bgm_story_monochrome,,,
d_main_39_af_07_4,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_4,True,,1,pain,,13,surprise,,L_130,113,1.0,,,,
d_main_39_af_07_5,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_5,True,,1,pain,,13,surprise,,113,113,1.0,,,,
d_main_39_af_07_6,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_6,True,,1,pain,,13,surprise,,113,113,1.0,,,,
d_main_39_af_07_7,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_7,True,,1,pain,,13,surprise,,113,113,1.0,,,,
d_main_39_af_07_8,d_main_39_af_07,Speech,mustang,mustang,Locale_MainScenario:d_main_39_af_07_8,False,,1,pain,,13,surprise,,113,113,1.0,,,,
d_main_39_af_07_9,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_9,True,,1,worry,,13,surprise,,113,113,1.0,,,,
d_main_39_af_07_10,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_10,True,,1,worry,,13,surprise,,113,113,1.0,,,,
d_main_39_af_07_11,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_11,True,,1,worry,,13,surprise,,113,113,1.0,,,,
d_main_39_af_07_12,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_12,True,,1,worry,,13,surprise,,113,113,1.0,,,,
d_main_39_af_07_13,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_13,True,,1,worry,,13,surprise,,113,113,1.0,,,,
d_main_39_af_07_14,d_main_39_af_07,Narration,,,Locale_MainScenario:d_main_39_af_07_14,False,,1,worry,,13,surprise,EventScene_Chap_39_04,black,black,1.0,,anis,mustang,
d_main_39_af_07_15,d_main_39_af_07,Narration,,,Locale_MainScenario:d_main_39_af_07_15,False,,,,,,,,expansionstar_01,1,1.5,,,,
d_main_39_af_07_16,d_main_39_af_07,Narration,,,Locale_MainScenario:d_main_39_af_07_16,False,,,,,,,,1,1,1.0,,,,
d_main_39_af_07_17,d_main_39_af_07,Speech,mustang,mustang,Locale_MainScenario:d_main_39_af_07_17,True,,,,,,,,1,expansionstar_02,2.0,,,,
d_main_39_af_07_18,d_main_39_af_07,Speech,mustang,mustang,Locale_MainScenario:d_main_39_af_07_18,True,,,,,,,,expansionstar_02,expansionstar_02,1.0,,,,
d_main_39_af_07_19,d_main_39_af_07,Speech,mustang,mustang,Locale_MainScenario:d_main_39_af_07_19,False,,,,,,,,expansionstar_02,expansionstar_02,1.0,,,,
d_main_39_af_07_20,d_main_39_af_07,Speech,mustang,mustang,Locale_MainScenario:d_main_39_af_07_20,True,,,,,,,,expansionstar_02,expansionstar_02,1.0,,,,
d_main_39_af_07_21,d_main_39_af_07,Speech,mustang,mustang,Locale_MainScenario:d_main_39_af_07_21,True,,,,,,,,expansionstar_02,expansionstar_02,1.0,,,,
d_main_39_af_07_22,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_22,True,,,,,,,,expansionstar_02,expansionstar_02,1.0,,,,
d_main_39_af_07_23,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_23,True,,,,,,,,expansionstar_02,expansionstar_02,1.0,,,,
d_main_39_af_07_24,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_24,True,,,,,,,,expansionstar_02,expansionstar_02,1.0,,,,
d_main_39_af_07_25,d_main_39_af_07,Speech,mustang,mustang,Locale_MainScenario:d_main_39_af_07_25,True,,,,,,,,expansionstar_02,expansionstar_02,1.0,,,,
d_main_39_af_07_26,d_main_39_af_07,Speech,mustang,mustang,Locale_MainScenario:d_main_39_af_07_26,True,,,,,,,,expansionstar_02,expansionstar_02,1.0,,,,
d_main_39_af_07_27,d_main_39_af_07,Speech,anis,anis,Locale_MainScenario:d_main_39_af_07_27,True,,,,,,,,expansionstar_02,expansionstar_02,1.0,,,,
