id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/hide_char_id,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_31_09_s_1,d_main_31_09_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_09_s_1,True,mana_op,OP_center,idle,CrystalCity,1,1,1.0,bgm_chapter31_field_beast,,,,,,,,,,,,
d_main_31_09_s_2,d_main_31_09_s,Self,mana_op,,Locale_MainScenario:d_main_31_09_s_2,False,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_31_09_s_3,d_main_31_09_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_09_s_3,True,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_31_09_s_4,d_main_31_09_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_09_s_4,True,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_31_09_s_5,d_main_31_09_s,Self,mana_op,,Locale_MainScenario:d_main_31_09_s_5,False,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_31_09_s_6,d_main_31_09_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_09_s_6,True,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_31_09_s_7,d_main_31_09_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_09_s_7,True,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_31_09_s_8,d_main_31_09_s,Self,mana_op,,Locale_MainScenario:d_main_31_09_s_8,False,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_31_09_s_9,d_main_31_09_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_09_s_9,True,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_31_09_s_10,d_main_31_09_s,Monologue,,,Locale_MainScenario:d_main_31_09_s_10,False,,OP_center,idle,,1,5,1.0,,mana_op,,,,,,,,,,,
d_main_31_09_s_11,d_main_31_09_s,Monologue,,,Locale_MainScenario:d_main_31_09_s_11,False,,,,,black,black,1.0,,,,,,,,,,,,,
d_main_31_09_s_12,d_main_31_09_s,Monologue,,,Locale_MainScenario:d_main_31_09_s_12,False,,,,,black,black,1.0,,,,,,,,,,,,,
d_main_31_09_s_13,d_main_31_09_s,Self,,,Locale_MainScenario:d_main_31_09_s_13,False,,,,,1,1,1.0,,,,,,,,,,,,,
d_main_31_09_s_14,d_main_31_09_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_09_s_14,True,,,,,1,10,1.0,,,eunhwa,1,idle,,,,,,,,
d_main_31_09_s_15,d_main_31_09_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_09_s_15,True,,,,,10,10,1.0,,,,1,idle,,,,,,,,
d_main_31_09_s_16,d_main_31_09_s,Self,eunhwa,,Locale_MainScenario:d_main_31_09_s_16,False,,,,,10,10,1.0,,,,1,idle,,,,,,,,
d_main_31_09_s_17,d_main_31_09_s,Self,eunhwa,,Locale_MainScenario:d_main_31_09_s_17,False,,,,,10,10,1.0,,,,1,idle,,,,,,,,
d_main_31_09_s_18,d_main_31_09_s,Self,eunhwa,,Locale_MainScenario:d_main_31_09_s_18,False,,,,,10,10,1.0,,,,1,idle,,,,,,,,
d_main_31_09_s_19,d_main_31_09_s,Self,eunhwa,,Locale_MainScenario:d_main_31_09_s_19,False,,,,,10,10,1.0,,,,1,idle,,,,,,,,
d_main_31_09_s_20,d_main_31_09_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_09_s_20,True,,,,,10,10,1.0,,,,1,idle,,,,,,,,
d_main_31_09_s_21,d_main_31_09_s,Self,eunhwa,,Locale_MainScenario:d_main_31_09_s_21,False,,,,,10,10,1.0,,,,1,idle,,,,,,,,
d_main_31_09_s_22,d_main_31_09_s,Self,eunhwa,,Locale_MainScenario:d_main_31_09_s_22,False,,,,,10,10,1.0,,,,1,idle,,,,,,,,
d_main_31_09_s_23,d_main_31_09_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_09_s_23,True,,,,,10,1,1.0,,,,1,angry,,,,,,,,
d_main_31_09_s_24,d_main_31_09_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_09_s_24,False,,,,,1,1,1.0,,,,1,idle,,,,,,,,
d_main_31_09_s_25,d_main_31_09_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_09_s_25,True,,,,,1,10,1.0,,,,1,delight,,,,,,,,
d_main_31_09_s_26,d_main_31_09_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_09_s_26,True,,,,,10,10,1.0,,,,1,delight,,,,,,,,
d_main_31_09_s_27,d_main_31_09_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_09_s_27,True,,,,,10,10,1.0,,,,1,delight,,,,,,,,
d_main_31_09_s_28,d_main_31_09_s,Self,eunhwa,,Locale_MainScenario:d_main_31_09_s_28,False,,,,,10,10,1.0,,,,1,delight,,,,,,,,
d_main_31_09_s_29,d_main_31_09_s,Speech,emma,emma,Locale_MainScenario:d_main_31_09_s_29,True,emma,5,surprise,,4,4,1.0,,,,1,delight,vesti,3,shy,eunhwa,,,,
d_main_31_09_s_30,d_main_31_09_s,Speech,vesti,vesti,Locale_MainScenario:d_main_31_09_s_30,False,,5,surprise,,4,4,1.0,,,,,,,3,shy,,,,,
