id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id
d_main_09_02_e_1,d_main_09_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_09_02_e_1,True,anis,3,void,rapi,1,idle,neon,13,idle,Factory,10,10,1.0,bgm_heartdestroyer_a,,,,,,,,,,,
d_main_09_02_e_2,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_2,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,exia_op,OP_leftup,idle,,,,,,,,
d_main_09_02_e_3,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_3,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,,OP_leftup,idle,,,,,,,,
d_main_09_02_e_4,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_4,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,,OP_center,delight,anis,rapi,neon,,,,,
d_main_09_02_e_5,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_5,False,,,,,,,,,,,10,10,1.0,,,OP_center,surprise,,,,,,,,
d_main_09_02_e_6,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_6,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,,,
d_main_09_02_e_7,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_7,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,,,
d_main_09_02_e_8,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_8,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,,,
d_main_09_02_e_9,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_9,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,,,
d_main_09_02_e_10,d_main_09_02_e,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_02_e_10,True,anis,3,void,rapi,1,idle,neon,13,idle,,10,2,1.0,,,OP_leftup,idle,,,,shifty_r,OP_rightup,surprise,,
d_main_09_02_e_11,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_11,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,,OP_leftup,delight,,,,,OP_rightup,idle,,
d_main_09_02_e_12,d_main_09_02_e,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_02_e_12,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,,OP_leftup,idle,,,,,OP_rightup,think,,
d_main_09_02_e_13,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_13,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,,OP_leftup,idle,,,,,OP_rightup,idle,,
d_main_09_02_e_14,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_14,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,,OP_leftup,idle,,,,,OP_rightup,idle,,
d_main_09_02_e_15,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_15,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,,OP_leftup,idle,,,,,OP_rightup,idle,,
d_main_09_02_e_16,d_main_09_02_e,Speech,anis,anis,Locale_MainScenario:d_main_09_02_e_16,True,,3,angry,,1,idle,,13,idle,,2,30,1.0,,,OP_leftup,idle,,,,,OP_rightup,idle,,
d_main_09_02_e_17,d_main_09_02_e,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_02_e_17,True,,3,angry,,1,idle,,13,idle,,30,30,1.0,,,OP_leftup,idle,,,,,OP_rightup,idle,,
d_main_09_02_e_18,d_main_09_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_09_02_e_18,True,,3,void,,1,idle,,13,idle,,30,10,1.0,,,OP_leftup,idle,,,,,OP_rightup,idle,exia_op,shifty_r
d_main_09_02_e_19,d_main_09_02_e,Self,rapi,,Locale_MainScenario:d_main_09_02_e_19,False,,3,void,,1,idle,,13,idle,,10,10,1.0,,,,,,,,,,,,
d_main_09_02_e_20,d_main_09_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_09_02_e_20,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,,,,,,,,,,,
