id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/6/hide_char_id,characters/4/hide_char_id
d_main_11_02_1,d_main_11_02,Speech,anis,anis,Locale_MainScenario:d_main_11_02_1,True,anis,13,worry,shifty,OP_leftup,idle,emma,3,surprise,neon,5,idle,rapi,1,idle,maxwell,17,idle,drake,19,idle,Desert_02,130,130,1.0,bgm_blurredvision_a,,,,,,,,,,,,,,
d_main_11_02_2,d_main_11_02,Speech,shifty,shifty,Locale_MainScenario:d_main_11_02_2,True,,13,worry,,OP_leftup,idle,,3,surprise,,5,idle,,1,idle,,17,idle,,19,idle,,130,130,1.0,,,,,,,,,,,,,,,
d_main_11_02_3,d_main_11_02,Speech,shifty,shifty,Locale_MainScenario:d_main_11_02_3,True,,13,worry,,OP_leftup,idle,,3,surprise,,5,idle,,1,idle,,17,idle,,19,idle,,130,130,1.0,,,,,,,,,,,,,,,
d_main_11_02_4,d_main_11_02,Speech,shifty,shifty,Locale_MainScenario:d_main_11_02_4,True,,13,worry,,OP_leftup,idle,,3,surprise,,5,idle,,1,idle,,17,idle,,19,idle,,130,130,1.0,,,,,,,,,,,,,,,
d_main_11_02_5,d_main_11_02,Self,,Self,Locale_MainScenario:d_main_11_02_5,False,,13,worry,,OP_leftup,idle,,3,surprise,,5,idle,,1,idle,,17,idle,,19,idle,,130,130,1.0,,shifty,,,,,,,,,,,,,
d_main_11_02_6,d_main_11_02,Speech,emma,emma,Locale_MainScenario:d_main_11_02_6,False,,13,worry,,,,,3,surprise,,5,idle,,1,idle,,17,idle,,19,idle,,4,4,1.0,,,,,,,,,,,,,,,
d_main_11_02_7,d_main_11_02,Speech,neon,neon,Locale_MainScenario:d_main_11_02_7,False,,13,worry,,,,,3,surprise,,5,idle,,1,idle,,17,idle,,19,idle,,4,4,1.0,,,,,,,,,,,,,,,
d_main_11_02_8,d_main_11_02,Speech,rapi,rapi,Locale_MainScenario:d_main_11_02_8,True,,13,worry,,,,,3,surprise,,5,idle,,1,idle,,17,idle,,19,idle,,4,2,1.0,,,,,,,,,,,,,,,
d_main_11_02_9,d_main_11_02,Speech,emma,emma,Locale_MainScenario:d_main_11_02_9,True,,15,worry,,,,,3,idle,,5,idle,,1,idle,,17,idle,,19,idle,,2,2,1.0,,,,,,,,,,,,,,,
d_main_11_02_10,d_main_11_02,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_02_10,True,,15,worry,,,,,3,idle,,5,idle,,1,idle,,17,idle,,19,idle,,16,16,1.0,,,emma,neon,,,,,,,,,,,
d_main_11_02_11,d_main_11_02,Speech,anis,anis,Locale_MainScenario:d_main_11_02_11,True,,15,angry,,,,,,,,,,,1,idle,,17,idle,,19,idle,,16,16,1.0,,,,,,,,,,,,,,,
d_main_11_02_12,d_main_11_02,Speech,drake,drake,Locale_MainScenario:d_main_11_02_12,True,,15,angry,,,,,,,,,,,1,idle,,17,idle,,19,angry,,16,190,0.7,,,,,,,,,,,,,,,
d_main_11_02_13,d_main_11_02,Speech,anis,anis,Locale_MainScenario:d_main_11_02_13,True,,15,angry,,,,,,,,,,,1,idle,,17,idle,,19,angry,,15,150,1.0,,,,,,,,,,,,,,,
d_main_11_02_14,d_main_11_02,Speech,drake,drake,Locale_MainScenario:d_main_11_02_14,True,,15,angry,,,,,,,,,,,1,idle,,17,idle,,19,no,,190,19,1.0,,,,,,,,,,,,,,,
d_main_11_02_15,d_main_11_02,Speech,anis,anis,Locale_MainScenario:d_main_11_02_15,True,,15,no,,,,,,,,,,,1,idle,,17,idle,,19,no,,19,16,1.0,,,,,eunhwa,5,idle,vesti,3,idle,,,,,
d_main_11_02_16,d_main_11_02,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_02_16,True,,15,no,,,,,,,,,,,1,idle,,17,idle,,19,no,,16,16,1.0,,,,,,5,idle,,3,idle,,,,,
d_main_11_02_17,d_main_11_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_02_17,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,19,no,,5,5,1.0,,,,,,5,idle,,3,idle,laplace,15,idle,,
d_main_11_02_18,d_main_11_02,Speech,laplace,laplace,Locale_MainScenario:d_main_11_02_18,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,19,no,,15,S_150,0.8,,,,,,5,idle,,3,idle,,15,angry,drake,
