id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,conversation_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,play_sound,set_camera_shake,set_filter_01
d_main_24_05_s_1,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_1,False,LivingRoom,5,1,2.0,bgm_story_destinedtofight,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_05_s_2,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_05_s_3,d_main_24_05_s,Speech,rapi,Locale_MainScenario:d_main_24_05_s_3,True,,1,1,1.0,,rapi,rapi,2,idle,anis,12,worry,neon,14,idle,,,,,,,,,,,,,,,,,
d_main_24_05_s_4,d_main_24_05_s,Speech,anis,Locale_MainScenario:d_main_24_05_s_4,True,,1,1,1.0,,anis,,2,idle,,12,worry,,14,idle,,,,,,,,,,,,,,,,,
d_main_24_05_s_5,d_main_24_05_s,Self,Self,Locale_MainScenario:d_main_24_05_s_5,False,,1,1,1.0,,,,2,idle,,12,worry,,14,idle,,,,,,,,,,,,,,,,,
d_main_24_05_s_6,d_main_24_05_s,Speech,anis,Locale_MainScenario:d_main_24_05_s_6,True,,1,1,1.0,,anis,,2,idle,,12,angry,,14,idle,,,,,,,,,,,,,,,,,
d_main_24_05_s_7,d_main_24_05_s,Speech,neon,Locale_MainScenario:d_main_24_05_s_7,True,,1,13,1.0,,neon,,2,idle,,12,angry,,14,worry,,,,,,,,,,,,,,,,,
d_main_24_05_s_8,d_main_24_05_s,Speech,anis,Locale_MainScenario:d_main_24_05_s_8,True,,13,13,1.0,,anis,,2,idle,,12,sad,,14,worry,,,,,,,,,,,,,,,,,
d_main_24_05_s_9,d_main_24_05_s,Speech,rapi,Locale_MainScenario:d_main_24_05_s_9,True,,13,1,1.0,,rapi,,2,idle,,12,sad,,14,idle,,,,,,,,,,,,,,,,,
d_main_24_05_s_10,d_main_24_05_s,Speech,rapi,Locale_MainScenario:d_main_24_05_s_10,True,,1,1,1.0,,rapi,,2,idle,,12,void,,14,idle,,,,,,,,,,,,,,,,,
d_main_24_05_s_11,d_main_24_05_s,Speech,rapi,Locale_MainScenario:d_main_24_05_s_11,True,,1,1,1.0,,rapi,,2,think,,12,void,,14,idle,,,,,,,,,,,,,,,,,
d_main_24_05_s_12,d_main_24_05_s,Self,Self,Locale_MainScenario:d_main_24_05_s_12,False,,1,1,1.0,,,,2,think,,12,void,,14,idle,,,,,,,,,,,,,,,,,
d_main_24_05_s_13,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_13,False,,1,1,1.0,,,,2,idle,,12,void,,14,idle,m_main_24_05_s,,,,,,,,,,,,,,,,
d_main_24_05_s_14,d_main_24_05_s,Self,Self,Locale_MainScenario:d_main_24_05_s_14,False,,1,1,1.0,,,,2,idle,,12,void,,14,idle,,,,,,,,,,,,,,,,,
d_main_24_05_s_15,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_15,False,MissilisOffice,black,black,1.0,,,,2,idle,,12,void,,14,idle,,rapi,anis,neon,mihara,4,think,yuni,2,idle,syuen,12,idle,black,,,
d_main_24_05_s_16,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_16,False,,12,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,think,,2,idle,,12,angry,,,,
d_main_24_05_s_17,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_17,False,,S_20,S_20,1.0,,yuni,,,,,,,,,,,,,,,4,think,,2,idle,,12,angry,,,,
d_main_24_05_s_18,d_main_24_05_s,Speech,mihara,Locale_MainScenario:d_main_24_05_s_18,False,,40,40,1.0,,mihara,,,,,,,,,,,,,,,4,think,,2,idle,,12,angry,,,,
d_main_24_05_s_19,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_19,True,,1,1,1.0,,syuen,,,,,,,,,,,,,,,4,think,,2,idle,,12,angry,,,,
d_main_24_05_s_20,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_20,True,,1,1,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,idle,,12,angry,,,,
d_main_24_05_s_21,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_21,True,,1,1,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,idle,,12,angry,,,,
d_main_24_05_s_22,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_22,True,,1,1,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,idle,,12,angry,,,,
d_main_24_05_s_23,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_23,True,,1,1,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,idle,,12,angry,,,,
d_main_24_05_s_24,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_24,True,,1,1,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,idle,,12,angry,,,,
d_main_24_05_s_25,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_25,True,,1,1,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,idle,,12,angry,,,,
d_main_24_05_s_26,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_26,True,,1,1,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,idle,,12,idle,,,,
d_main_24_05_s_27,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_27,False,,1,S_120,1.0,,,,,,,,,,,,,,,,,4,idle,,2,idle,,12,idle,,,,
d_main_24_05_s_28,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_28,False,,S_120,S_120,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,surprise,,12,idle,,,,
d_main_24_05_s_29,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_29,True,,S_120,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,surprise,,12,idle,,,,
d_main_24_05_s_30,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_30,True,,S_120,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,idle,,12,idle,,,,
d_main_24_05_s_31,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_31,False,,S_120,S_120,1.0,,,,,,,,,,,,,,,,,4,idle,,2,idle,,12,idle,,,,
d_main_24_05_s_32,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_32,True,,S_120,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,idle,,12,think,,,,
d_main_24_05_s_33,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_33,True,,S_120,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,idle,,12,delight,,,,
d_main_24_05_s_34,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_34,True,,S_120,12,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,idle,,12,delight,,,,
d_main_24_05_s_35,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_35,True,,12,12,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,idle,,12,delight,,,,
d_main_24_05_s_36,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_36,True,,12,1,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,idle,,12,idle,,,,
d_main_24_05_s_37,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_37,False,,1,1,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,think,,12,idle,,,,
d_main_24_05_s_38,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_38,False,,black,black,1.0,,,,,,,,,,,,,,,,,4,idle,,2,think,,12,idle,,sfx_scn_electricshock,Low_2,Red
d_main_24_05_s_39,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_39,True,,1,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,think,,12,surprise,,,,
d_main_24_05_s_40,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_40,False,,black,black,1.0,,,,,,,,,,,,,,,,,4,idle,,2,think,,12,surprise,,,,
d_main_24_05_s_41,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_41,False,,S_120,S_120,1.0,,,,,,,,,,,,,,,,,4,idle,,2,think,,12,surprise,,,,
d_main_24_05_s_42,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_42,True,,S_120,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,think,,12,angry,,,,
d_main_24_05_s_43,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_43,True,,S_120,1,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,think,,12,angry,,,,
d_main_24_05_s_44,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_44,True,,1,1,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,think,,12,angry,,,,
d_main_24_05_s_45,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_45,True,,1,1,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,think,,12,angry,,,,
d_main_24_05_s_46,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_46,True,,1,1,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,think,,12,angry,,,,
d_main_24_05_s_47,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_47,False,,1,1,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,special,,12,angry,,,,
d_main_24_05_s_48,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_48,False,,black,black,1.0,,,,,,,,,,,,,,,,,4,idle,,2,special,,12,angry,,sfx_scn_electricshock,,
d_main_24_05_s_49,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_49,False,,12,S_120,0.5,,syuen,,,,,,,,,,,,,,,4,idle,,2,special,,12,pain,,,,
d_main_24_05_s_50,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_50,True,,S_120,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,special,,12,pain,,,,
d_main_24_05_s_51,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_51,True,,S_120,1,0.7,,syuen,,,,,,,,,,,,,,,4,idle,,2,special,,12,angry,,,,
d_main_24_05_s_52,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_52,False,,black,black,1.0,,,,,,,,,,,,,,,,,4,idle,,2,think,,12,pain,,sfx_scn_hit,,
d_main_24_05_s_53,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_53,True,,S_120,12,0.5,,syuen,,,,,,,,,,,,,,,4,idle,,2,think,,12,pain,,,Low_2,
d_main_24_05_s_54,d_main_24_05_s,Speech,mihara,Locale_MainScenario:d_main_24_05_s_54,True,,40,40,1.0,,mihara,,,,,,,,,,,,,,,4,idle,,2,think,,12,pain,,,,
d_main_24_05_s_55,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_55,True,,S_120,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,think,,12,pain,,,,
d_main_24_05_s_56,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_56,True,,S_120,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,think,,12,pain,,,,
d_main_24_05_s_57,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_57,True,,S_120,S_20,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,think,,12,pain,,,,
d_main_24_05_s_58,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_58,True,,S_20,S_20,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,think,,12,pain,,,,
d_main_24_05_s_59,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_59,True,,S_20,S_20,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,think,,12,pain,,,,
d_main_24_05_s_60,d_main_24_05_s,Speech,yuni,Locale_MainScenario:d_main_24_05_s_60,True,,S_20,S_20,1.0,,yuni,,,,,,,,,,,,,,,4,idle,,2,think,,12,pain,,,,
d_main_24_05_s_61,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_61,True,,S_120,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,think,,12,special,,,,
d_main_24_05_s_62,d_main_24_05_s,Speech,syuen,Locale_MainScenario:d_main_24_05_s_62,True,,S_120,S_120,1.0,,syuen,,,,,,,,,,,,,,,4,idle,,2,think,,12,special,,,,
d_main_24_05_s_63,d_main_24_05_s,Narration,Narration,Locale_MainScenario:d_main_24_05_s_63,False,,black,black,1.0,,,,,,,,,,,,,,,,,4,idle,,2,think,,12,special,,,,
