id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
d_main_13_08_s_1,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_1,False,Desert_02,7,70,2.0,bgm_disaster,modenia_v,7,angry,eunhwa,5,idle,,emma,3,idle,,vesti,1,idle,,rapi,13,idle,anis,15,void,neon,17,idle,,,,
d_main_13_08_s_2,d_main_13_08_s,Speech,shifty,shifty,Locale_MainScenario:d_main_13_08_s_2,True,,50,50,1.0,,,7,angry,,5,idle,,,3,idle,,,1,idle,,,13,idle,,15,void,,17,idle,shifty,OP_leftup,angry,
d_main_13_08_s_3,d_main_13_08_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_08_s_3,True,,50,50,1.0,,,7,angry,,5,idle,,,3,idle,,,1,idle,,,13,idle,,15,void,,17,idle,,OP_leftup,angry,shifty
d_main_13_08_s_4,d_main_13_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_13_08_s_4,True,,130,130,1.0,,,7,angry,,5,idle,,,3,idle,,,1,idle,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_5,d_main_13_08_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_08_s_5,True,,50,4,1.0,,,7,angry,,5,idle,,,3,idle,,,1,idle,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_6,d_main_13_08_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_08_s_6,True,,4,4,1.0,,,7,angry,,5,idle,,,3,idle,,,1,idle,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_7,d_main_13_08_s,Speech,emma,emma,Locale_MainScenario:d_main_13_08_s_7,True,,4,2,1.0,,,7,angry,,5,idle,,,3,delight,,,1,idle,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_8,d_main_13_08_s,Speech,vesti,vesti,Locale_MainScenario:d_main_13_08_s_8,True,,2,2,1.0,,,7,angry,,5,idle,,,3,idle,,,1,shy,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_9,d_main_13_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_13_08_s_9,True,,130,130,1.0,,,7,angry,,5,idle,,,3,idle,,,1,idle,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_10,d_main_13_08_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_08_s_10,True,,50,50,1.0,,,7,angry,,5,idle,,,3,idle,,,1,idle,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_11,d_main_13_08_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_08_s_11,True,,50,50,1.0,,,7,angry,,5,idle,,,3,idle,,,1,idle,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_12,d_main_13_08_s,Narration,eunhwa,,Locale_MainScenario:d_main_13_08_s_12,True,,50,6,1.0,,,7,angry,,5,idle,eunhwa,,3,idle,emma,,1,idle,vesti,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_13,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_13,True,,6,7,2.0,,,7,surprise,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_14,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_14,True,,7,7,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_15,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_15,True,,7,7,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_16,d_main_13_08_s,Self,modenia_v,,Locale_MainScenario:d_main_13_08_s_16,True,,7,7,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_17,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_17,False,,7,70,1.0,,,7,surprise,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_18,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_18,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_19,d_main_13_08_s,Self,modenia_v,,Locale_MainScenario:d_main_13_08_s_19,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_20,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_20,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_21,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_21,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_22,d_main_13_08_s,Self,modenia_v,,Locale_MainScenario:d_main_13_08_s_22,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_23,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_23,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_24,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_24,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_25,d_main_13_08_s,Self,modenia_v,,Locale_MainScenario:d_main_13_08_s_25,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_26,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_26,False,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_27,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_27,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_28,d_main_13_08_s,Self,modenia_v,,Locale_MainScenario:d_main_13_08_s_28,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_29,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_29,True,,70,700,1.0,,,7,angry,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_30,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_30,True,,700,700,1.0,,,7,angry,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_31,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_31,True,,700,70,0.5,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,,,
d_main_13_08_s_32,d_main_13_08_s,Speech,shifty,shifty,Locale_MainScenario:d_main_13_08_s_32,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,shifty,OP_leftup,think,
d_main_13_08_s_33,d_main_13_08_s,Speech,shifty,shifty,Locale_MainScenario:d_main_13_08_s_33,True,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,OP_leftup,angry,
d_main_13_08_s_34,d_main_13_08_s,Self,shifty,,Locale_MainScenario:d_main_13_08_s_34,False,,70,70,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,OP_leftup,angry,
d_main_13_08_s_35,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_35,True,,70,70,1.0,,,7,surprise,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,OP_leftup,angry,
d_main_13_08_s_36,d_main_13_08_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_08_s_36,True,,70,700,0.5,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,OP_leftup,angry,
d_main_13_08_s_37,d_main_13_08_s,Speech,shifty,shifty,Locale_MainScenario:d_main_13_08_s_37,True,,700,700,1.0,,,7,idle,,,,,,,,,,,,,,13,idle,,15,void,,17,idle,,OP_leftup,angry,
