id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
d_main_15_01_1,d_main_15_01,Speech,anis,anis,Locale_MainScenario:d_main_15_01_1,False,anis,6,worry,neon,4,worry,rapi,2,think,rupee,12,idle,dolla,14,idle,yan,16,idle,CityForest_01,60,60,1.0,bgm_recognition_a,
d_main_15_01_2,d_main_15_01,Speech,neon,neon,Locale_MainScenario:d_main_15_01_2,False,,6,worry,,4,worry,,2,think,,12,idle,,14,idle,,16,idle,,S_40,S_40,1.0,,
d_main_15_01_3,d_main_15_01,Speech,rapi,rapi,Locale_MainScenario:d_main_15_01_3,False,,6,worry,,4,worry,,2,think,,12,idle,,14,idle,,16,idle,,20,20,1.0,,
d_main_15_01_4,d_main_15_01,Self,,Self,Locale_MainScenario:d_main_15_01_4,False,,6,worry,,4,worry,,2,think,,12,idle,,14,idle,,16,idle,,20,1,2.0,,
d_main_15_01_5,d_main_15_01,Speech,rupee,rupee,Locale_MainScenario:d_main_15_01_5,True,,6,void,,4,idle,,2,think,,12,sad,,14,idle,,16,idle,,1,1,1.0,,
d_main_15_01_6,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_6,True,,6,void,,4,idle,,2,idle,,12,sad,,14,no,,16,idle,,1,13,0.5,,
d_main_15_01_7,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_7,True,,6,void,,4,idle,,2,idle,,12,sad,,14,no,,16,idle,,13,13,1.0,,
d_main_15_01_8,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_8,True,,6,void,,4,idle,,2,idle,,12,idle,,14,no,,16,etc,,13,15,0.5,,
d_main_15_01_9,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_9,True,,6,void,,4,idle,,2,idle,,12,idle,,14,no,,16,etc,,15,15,1.0,,
d_main_15_01_10,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_10,True,,6,void,,4,idle,,2,idle,,12,idle,,14,no,,16,etc,,15,S_160,1.0,,
d_main_15_01_11,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_11,True,,6,void,,4,idle,,2,idle,,12,idle,,14,no,,16,etc,,S_160,S_160,1.0,,
d_main_15_01_12,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_12,True,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,delight,,S_160,S_160,1.0,,
d_main_15_01_13,d_main_15_01,Choice,yan,,Locale_MainScenario:d_main_15_01_13,False,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,delight,,S_160,S_160,1.0,,d_main_15_01_15
d_main_15_01_14,d_main_15_01,Choice,yan,,Locale_MainScenario:d_main_15_01_14,False,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,delight,,S_160,S_160,1.0,,d_main_15_01_16
d_main_15_01_15,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_15,False,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,"expression_0,delight",,S_160,16,2.0,,d_main_15_01_18
d_main_15_01_16,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_16,True,,6,void,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_160,S_140,2.0,,
d_main_15_01_17,d_main_15_01,Speech,rapi,rapi,Locale_MainScenario:d_main_15_01_17,True,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,20,20,1.0,,
d_main_15_01_18,d_main_15_01,Speech,rapi,rapi,Locale_MainScenario:d_main_15_01_18,True,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,20,20,1.0,,
d_main_15_01_19,d_main_15_01,Speech,rapi,rapi,Locale_MainScenario:d_main_15_01_19,True,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,20,20,1.0,,
d_main_15_01_20,d_main_15_01,Speech,rapi,rapi,Locale_MainScenario:d_main_15_01_20,True,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,20,20,1.0,,
d_main_15_01_21,d_main_15_01,Speech,rapi,rapi,Locale_MainScenario:d_main_15_01_21,True,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,20,20,1.0,,
d_main_15_01_22,d_main_15_01,Speech,anis,anis,Locale_MainScenario:d_main_15_01_22,True,,6,worry,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,60,60,1.0,,
d_main_15_01_23,d_main_15_01,Speech,anis,anis,Locale_MainScenario:d_main_15_01_23,True,,6,worry,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,60,60,1.0,,
d_main_15_01_24,d_main_15_01,Speech,anis,anis,Locale_MainScenario:d_main_15_01_24,True,,6,no,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,60,600,2.0,,
d_main_15_01_25,d_main_15_01,Self,anis,Self,Locale_MainScenario:d_main_15_01_25,False,,6,no,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,600,600,1.0,,
d_main_15_01_26,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_26,True,,6,no,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_140,S_140,1.0,,
d_main_15_01_27,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_27,True,,6,no,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_140,S_140,1.0,,
d_main_15_01_28,d_main_15_01,Speech,rapi,rapi,Locale_MainScenario:d_main_15_01_28,True,,6,void,,4,idle,,2,think,,12,idle,,14,good,,16,idle,,S_140,20,1.0,,
d_main_15_01_29,d_main_15_01,Speech,rapi,rapi,Locale_MainScenario:d_main_15_01_29,True,,6,void,,4,idle,,2,think,,12,idle,,14,idle,,16,idle,,20,20,1.0,,
d_main_15_01_30,d_main_15_01,Speech,rapi,rapi,Locale_MainScenario:d_main_15_01_30,True,,6,void,,4,idle,,2,think,,12,idle,,14,idle,,16,idle,,20,20,1.0,,
d_main_15_01_31,d_main_15_01,Speech,anis,anis,Locale_MainScenario:d_main_15_01_31,True,,6,angry,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,60,60,1.0,,
d_main_15_01_32,d_main_15_01,Speech,anis,anis,Locale_MainScenario:d_main_15_01_32,True,,6,angry,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,60,60,1.0,,
d_main_15_01_33,d_main_15_01,Speech,rapi,rapi,Locale_MainScenario:d_main_15_01_33,True,,6,angry,,4,idle,,2,worry,,12,idle,,14,idle,,16,idle,,60,3,0.5,,
d_main_15_01_34,d_main_15_01,Speech,neon,neon,Locale_MainScenario:d_main_15_01_34,True,,6,angry,,4,no,,2,worry,,12,idle,,14,idle,,16,idle,,3,3,1.0,,
d_main_15_01_35,d_main_15_01,Self,neon,Self,Locale_MainScenario:d_main_15_01_35,False,,6,angry,,4,no,,2,worry,,12,idle,,14,idle,,16,idle,,3,3,1.0,,
d_main_15_01_36,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_36,True,,6,void,,4,no,,2,idle,,12,idle,,14,surprise,,16,surprise,,3,15,2.0,,
d_main_15_01_37,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_37,True,,6,void,,4,idle,,2,idle,,12,idle,,14,good,,16,surprise,,15,15,1.0,,
d_main_15_01_38,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_38,True,,6,void,,4,idle,,2,idle,,12,idle,,14,good,,16,surprise,,15,15,1.0,,
d_main_15_01_39,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_39,True,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,surprise,,15,S_140,1.0,,
d_main_15_01_40,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_40,False,,6,void,,4,idle,,2,idle,,12,idle,,14,"expression_0,idle",,16,idle,,S_140,S_140,2.5,,
d_main_15_01_41,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_41,True,,6,void,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,S_140,S_140,1.0,,
d_main_15_01_42,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_42,True,,6,void,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_140,S_1400,2.0,,
d_main_15_01_43,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_43,True,,6,void,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_1400,S_1400,1.0,,
d_main_15_01_44,d_main_15_01,Speech,dolla,dolla,Locale_MainScenario:d_main_15_01_44,True,,6,void,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_1400,S_1400,1.0,,
d_main_15_01_45,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_45,True,,6,void,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_1400,S_160,1.0,,
d_main_15_01_46,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_46,True,,6,void,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_160,S_160,1.0,,
d_main_15_01_47,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_47,True,,6,void,,4,idle,,2,idle,,12,idle,,14,good,,16,etc,,S_160,S_1600,2.0,,
d_main_15_01_48,d_main_15_01,Speech,yan,yan,Locale_MainScenario:d_main_15_01_48,False,,6,void,,4,idle,,2,idle,,12,idle,,14,good,,16,"expression_0,delight",,S_1600,S_1600,1.0,,
