id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/0/hide_char_id,play_sound,fade,characters/1/hide_char_id
d_ex_armory_03_1,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_1,True,snowwhite,1,idle,Armory,1,1,1.0,bgm_story_orangepop,,,,,,,,
d_ex_armory_03_2,d_ex_armory_03,Self,snowwhite,,Locale_SuddenStory:d_ex_armory_03_2,False,,1,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_03_3,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_3,True,,1,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_03_4,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_4,True,,1,pain,,1,10,2.0,,,,,,,,,
d_ex_armory_03_5,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_5,True,,1,pain,,10,30,1.0,,eunhwa,3,angry,,,,,
d_ex_armory_03_6,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_6,False,,1,idle,,30,30,1.0,,,,angry,,,,,
d_ex_armory_03_7,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_7,True,,1,idle,,30,30,1.0,,,,angry,,,,,
d_ex_armory_03_8,d_ex_armory_03,Choice,eunhwa,,Locale_SuddenStory:d_ex_armory_03_8,False,,1,idle,,30,30,1.0,,,,angry,d_ex_armory_03_10,,,,
d_ex_armory_03_9,d_ex_armory_03,Choice,eunhwa,,Locale_SuddenStory:d_ex_armory_03_9,False,,1,idle,,30,30,1.0,,,,angry,d_ex_armory_03_15,,,,
d_ex_armory_03_10,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_10,True,,1,idle,,30,31,1.0,,,,angry,,,,,
d_ex_armory_03_11,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_11,True,,1,pain,,31,31,1.0,,,,angry,,,,,
d_ex_armory_03_12,d_ex_armory_03,Narration,snowwhite,,Locale_SuddenStory:d_ex_armory_03_12,False,,1,idle,,31,31,1.0,,,,angry,,snowwhite,,,
d_ex_armory_03_13,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_13,True,,,,,31,3,1.0,,,,idle,,,,,
d_ex_armory_03_14,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_14,False,snowwhite,1,idle,,3,31,1.0,,,,idle,d_ex_armory_03_18,,,,
d_ex_armory_03_15,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_15,True,,1,idle,,30,300,1.0,,,,idle,,,,,
d_ex_armory_03_16,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_16,True,,1,idle,,300,31,1.0,,,,idle,,,,,
d_ex_armory_03_17,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_17,True,,1,idle,,31,31,1.0,,,,idle,d_ex_armory_03_18,,,,
d_ex_armory_03_18,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_18,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_19,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_19,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_20,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_20,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_21,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_21,True,,1,idle,,10,10,1.0,,,,idle,,,,,
d_ex_armory_03_22,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_22,True,,1,idle,,30,30,1.0,,,,angry,,,,,
d_ex_armory_03_23,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_23,False,,1,pain,,31,31,1.0,,,,angry,,,,,
d_ex_armory_03_24,d_ex_armory_03,Narration,snowwhite,,Locale_SuddenStory:d_ex_armory_03_24,False,,1,pain,,31,31,1.0,,,,angry,,,sfx_scn_aim,,
d_ex_armory_03_25,d_ex_armory_03,Narration,snowwhite,,Locale_SuddenStory:d_ex_armory_03_25,False,,1,idle,,31,30,1.0,,,,idle,,,,,
d_ex_armory_03_26,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_26,False,,1,idle,,30,300,1.0,,,,idle,,,,,
d_ex_armory_03_27,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_27,True,,1,idle,,300,31,1.0,,,,angry,,,,,
d_ex_armory_03_28,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_28,True,,1,idle,,31,31,1.0,,,,angry,,,,,
d_ex_armory_03_29,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_29,True,,1,idle,,31,31,1.0,,,,angry,,,,,
d_ex_armory_03_30,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_30,True,,1,idle,,31,31,1.0,,,,angry,,,,,
d_ex_armory_03_31,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_31,True,,1,idle,,31,3,1.0,,,,angry,,,,,
d_ex_armory_03_32,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_32,True,,1,idle,,3,30,1.0,,,,idle,,,,,
d_ex_armory_03_33,d_ex_armory_03,Narration,eunhwa,,Locale_SuddenStory:d_ex_armory_03_33,False,,1,idle,,31,31,1.0,,,,idle,,,,black,
d_ex_armory_03_34,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_34,True,,1,idle,,31,31,1.0,,,,idle,,,sfx_scn_aim,,
d_ex_armory_03_35,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_35,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_36,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_36,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_37,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_37,True,,1,idle,,10,10,1.0,,,,idle,,,,,
d_ex_armory_03_38,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_38,True,,1,idle,,10,30,1.0,,,,idle,,,,,
d_ex_armory_03_39,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_39,True,,1,idle,,30,30,1.0,,,,idle,,,,,
d_ex_armory_03_40,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_40,True,,1,idle,,10,10,1.0,,,,idle,,,,,
d_ex_armory_03_41,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_41,True,,1,idle,,30,30,1.0,,,,idle,,,,,
d_ex_armory_03_42,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_42,True,,1,idle,,10,10,1.0,,,,idle,,,,,
d_ex_armory_03_43,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_43,True,,1,idle,,30,30,1.0,,,,idle,,,,,
