id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_ex_tower_04_1,d_ex_tower_04,Monologue,Locale_SuddenStory:d_ex_tower_04_1,False,Police,black,black,1.0,none,,,,,novel,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_2,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_2,True,,S_10,S_10,1.0,bgm_story_epicjazzymoods,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_3,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_3,True,,S_10,S_10,1.0,,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_4,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_4,True,,S_10,S_10,1.0,,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_5,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_5,True,,S_10,S_10,1.0,,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_6,d_ex_tower_04,Choice,Locale_SuddenStory:d_ex_tower_04_6,False,,S_10,S_10,1.0,,,,d_ex_tower_04_8,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_7,d_ex_tower_04,Choice,Locale_SuddenStory:d_ex_tower_04_7,False,,S_10,S_10,1.0,,,,d_ex_tower_04_8,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_8,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_8,True,,S_10,S_100,1.0,,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_9,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_9,True,,S_100,S_100,1.0,,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_10,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_10,True,,S_100,S_10,1.0,,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_11,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_11,True,,S_10,S_10,1.0,,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_12,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_12,True,,S_10,S_10,1.0,,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_13,d_ex_tower_04,Self,Locale_SuddenStory:d_ex_tower_04_13,False,,S_10,S_10,1.0,,,,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_14,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_14,True,,S_10,S_10,1.0,,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
d_ex_tower_04_15,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_15,True,NikkeRoom,black,black,1.0,,novel,novel,,,,1,think,novel,guilty,5,idle,,,,,,,,,,,,,
d_ex_tower_04_16,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_16,True,,50,50,1.0,,guilty,guilty,,,,,,,,5,idle,,,,,,,,,,fx_Eventscene_camera_recording,rec,True,
d_ex_tower_04_17,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_17,True,,50,50,1.0,,guilty,guilty,,,,,,,,5,idle,,,,,,,,,,,,,
d_ex_tower_04_18,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_18,True,,50,500,1.0,,guilty,guilty,,,,,,,,5,idle,,,,,,,,,,,,,
d_ex_tower_04_19,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_19,False,,500,500,1.0,,guilty,guilty,,,,,,,,5,idle,,,,,,,,,,,,,
d_ex_tower_04_20,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_20,True,,500,50,0.5,,guilty,guilty,,,,,,,,5,idle,,,,,,,,,,,,,
d_ex_tower_04_21,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_21,True,,50,50,1.0,,guilty,guilty,,,,,,,,5,idle,,,,,,,,,,,,,
d_ex_tower_04_22,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_22,True,,50,50,1.0,,guilty,guilty,,,,,,,,5,idle,,,,,,,,,,,,,
d_ex_tower_04_23,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_23,True,Police,black,black,1.0,none,novel,novel,,,novel,1,think,,,5,idle,guilty,,,,,,,,,,,,fx_Eventscene_camera_recording
d_ex_tower_04_24,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_24,True,,S_10,S_10,1.0,,novel,novel,,,,1,think,,,,,,,,,,,,,,,,,
