id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_subquest_1107_e_1,d_subquest_1107_e,Speech,k,k,Locale_SubScenario:d_subquest_1107_e_1,True,IceLand_n,14,140,0.5,bgm_spot_encounter,,,rapi,5,idle,neon,3,idle,anis,1,idle,k,14,shy,d,16,idle
d_subquest_1107_e_2,d_subquest_1107_e,Speech,k,k,Locale_SubScenario:d_subquest_1107_e_2,True,,140,140,1.0,,,,,5,idle,,3,idle,,1,idle,,14,shy,,16,idle
d_subquest_1107_e_3,d_subquest_1107_e,Narration,,Narration,Locale_SubScenario:d_subquest_1107_e_3,False,,black,black,0.5,,sfx_scn_rapturebeam,Low_2,,5,idle,,3,idle,,1,idle,,14,shy,,16,surprise
d_subquest_1107_e_4,d_subquest_1107_e,Speech,d,d,Locale_SubScenario:d_subquest_1107_e_4,False,,140,160,0.5,,,,,5,idle,,3,idle,,1,idle,,14,shy,,16,surprise
d_subquest_1107_e_5,d_subquest_1107_e,Narration,,Narration,Locale_SubScenario:d_subquest_1107_e_5,False,,black,black,1.0,,,,,5,idle,,3,idle,,1,idle,,14,idle,,16,surprise
d_subquest_1107_e_6,d_subquest_1107_e,Narration,,Narration,Locale_SubScenario:d_subquest_1107_e_6,False,,black,black,1.0,,sfx_scn_hit,,,5,idle,,3,idle,,1,idle,,14,idle,,16,surprise
d_subquest_1107_e_7,d_subquest_1107_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1107_e_7,True,,15,4,0.5,,,,,5,idle,,3,surprise,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_8,d_subquest_1107_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1107_e_8,True,,4,4,1.0,,,,,5,angry,,3,surprise,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_9,d_subquest_1107_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1107_e_9,True,,4,4,1.0,,,,,5,angry,,3,surprise,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_10,d_subquest_1107_e,Narration,,Narration,Locale_SubScenario:d_subquest_1107_e_10,False,,4,4,1.0,,sfx_scn_tyrantnormal,Low_2,,5,angry,,3,surprise,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_11,d_subquest_1107_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_e_11,True,,4,2,2.0,,,,,5,angry,,3,surprise,,1,angry,,14,idle,,16,idle
d_subquest_1107_e_12,d_subquest_1107_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1107_e_12,True,,2,S_30,0.5,,,,,5,idle,,3,surprise,,1,angry,,14,idle,,16,idle
d_subquest_1107_e_13,d_subquest_1107_e,Monologue,,,Locale_SubScenario:d_subquest_1107_e_13,False,,black,black,1.0,none,sfx_scn_aims,,,5,idle,,3,surprise,,1,angry,,14,idle,,16,idle
d_subquest_1107_e_14,d_subquest_1107_e,Self,,Self,Locale_SubScenario:d_subquest_1107_e_14,False,,1,10,0.5,,,,,5,idle,,3,surprise,,1,angry,,14,idle,,16,idle
d_subquest_1107_e_15,d_subquest_1107_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_e_15,False,,10,10,1.0,,,,,5,idle,,3,idle,,1,worry,,14,idle,,16,idle
d_subquest_1107_e_16,d_subquest_1107_e,Self,anis,Self,Locale_SubScenario:d_subquest_1107_e_16,False,,10,1,1.0,,,,,5,idle,,3,idle,,1,worry,,14,idle,,16,idle
d_subquest_1107_e_17,d_subquest_1107_e,Narration,,Narration,Locale_SubScenario:d_subquest_1107_e_17,False,,1,L_190,3.0,bgm_story_thepilgrim,sfx_scn_tyrantcry,Low_2,,5,idle,,3,idle,,1,worry,,14,idle,,16,idle
d_subquest_1107_e_18,d_subquest_1107_e,Monologue,,,Locale_SubScenario:d_subquest_1107_e_18,False,,black,black,1.0,,,,,5,idle,,3,idle,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_19,d_subquest_1107_e,Monologue,,,Locale_SubScenario:d_subquest_1107_e_19,False,,black,black,1.0,,,,,5,idle,,3,idle,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_20,d_subquest_1107_e,Monologue,,,Locale_SubScenario:d_subquest_1107_e_20,False,,black,black,1.0,,sfx_scn_tyrantnormal,,,5,idle,,3,idle,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_21,d_subquest_1107_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1107_e_21,False,,5,5,2.0,,,,,5,idle,,3,idle,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_22,d_subquest_1107_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1107_e_22,False,,5,3,1.0,,,,,5,idle,,3,surprise,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_23,d_subquest_1107_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_e_23,True,,3,2,2.0,,,,,5,idle,,3,surprise,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_24,d_subquest_1107_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_e_24,True,,2,2,1.0,,,,,5,idle,,3,surprise,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_25,d_subquest_1107_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1107_e_25,True,,2,2,1.0,,,,,5,idle,,3,surprise,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_26,d_subquest_1107_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_e_26,True,,2,2,1.0,,,,,5,idle,,3,surprise,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_27,d_subquest_1107_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1107_e_27,False,,2,50,2.0,,,,,5,think,,3,idle,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_28,d_subquest_1107_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1107_e_28,True,,50,50,1.0,,,,,5,idle,,3,idle,,1,idle,,14,idle,,16,idle
d_subquest_1107_e_29,d_subquest_1107_e,Speech,k,k,Locale_SubScenario:d_subquest_1107_e_29,True,,50,14,0.5,,,,,5,idle,,3,idle,,1,idle,,14,angry,,16,idle
d_subquest_1107_e_30,d_subquest_1107_e,Speech,d,d,Locale_SubScenario:d_subquest_1107_e_30,True,,14,15,1.0,,,,,5,idle,,3,idle,,1,idle,,14,angry,,16,think
d_subquest_1107_e_31,d_subquest_1107_e,Speech,d,d,Locale_SubScenario:d_subquest_1107_e_31,True,,15,15,1.0,,,,,5,idle,,3,idle,,1,idle,,14,angry,,16,think
d_subquest_1107_e_32,d_subquest_1107_e,Speech,k,k,Locale_SubScenario:d_subquest_1107_e_32,True,,15,1400,0.3,,,Low_2,,5,idle,,3,idle,,1,idle,,14,shy,,16,think
d_subquest_1107_e_33,d_subquest_1107_e,Monologue,,,Locale_SubScenario:d_subquest_1107_e_33,False,,black,black,1.0,,,,,5,idle,,3,idle,,1,idle,,14,shy,,16,think
