id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_06_08_e_1,d_main_06_08_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_06_08_e_1,True,IceLand_03,100,1,1.0,bgm_mystery,,,snowwhite,1,idle,,talkative,15,idle,,,,
d_main_06_08_e_2,d_main_06_08_e,Speech,talkative,talkative,Locale_MainScenario:d_main_06_08_e_2,False,,1,15,1.0,,,,,1,idle,,,15,idle,,,,
d_main_06_08_e_3,d_main_06_08_e,Monologue,,,Locale_MainScenario:d_main_06_08_e_3,True,,15,15,1.0,,,,,1,idle,,,15,idle,,,,
d_main_06_08_e_4,d_main_06_08_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_06_08_e_4,True,,15,1,1.0,,,,,1,idle,,,15,idle,,,,
d_main_06_08_e_5,d_main_06_08_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_06_08_e_5,True,,1,1,1.0,,,,,1,idle,,,15,idle,,,,
d_main_06_08_e_6,d_main_06_08_e,Narration,Narration,Narration,Locale_MainScenario:d_main_06_08_e_6,True,,1,15,1.0,,,,,1,idle,,,15,idle,,,,
d_main_06_08_e_7,d_main_06_08_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_06_08_e_7,True,,10,10,1.0,,,,,1,idle,,,15,idle,,,,
d_main_06_08_e_8,d_main_06_08_e,Speech,talkative,talkative,Locale_MainScenario:d_main_06_08_e_8,True,,10,10,1.0,,,,,1,idle,,,15,idle,,,,
d_main_06_08_e_9,d_main_06_08_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_06_08_e_9,True,,10,100,2.0,,,,,1,pain,,,15,idle,,,,
d_main_06_08_e_10,d_main_06_08_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_06_08_e_10,True,,100,100,1.0,,,,,1,pain,,,15,idle,,,,
d_main_06_08_e_11,d_main_06_08_e,Speech,talkative,talkative,Locale_MainScenario:d_main_06_08_e_11,True,,15,XS_1500,3.0,,,,,1,pain,,,15,idle,,,,
d_main_06_08_e_12,d_main_06_08_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_06_08_e_12,True,,10,10,1.0,,,,,1,pain,,,15,idle,,,,
d_main_06_08_e_13,d_main_06_08_e,Speech,talkative,talkative,Locale_MainScenario:d_main_06_08_e_13,True,,XS_1500,XS_1500,1.0,,,,,1,pain,,,15,idle,,,,
d_main_06_08_e_14,d_main_06_08_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_06_08_e_14,False,,10,100,0.5,none,,,,1,idle,,,15,idle,,,,
d_main_06_08_e_15,d_main_06_08_e,Monologue,,,Locale_MainScenario:d_main_06_08_e_15,True,EventScene_Chap_06_01,mordenia_event_01,mordenia_event_02,3.0,bgm_story_crawlinganxiety,black,,,1,idle,snowwhite,,15,idle,talkative,,,
d_main_06_08_e_16,d_main_06_08_e,Monologue,,,Locale_MainScenario:d_main_06_08_e_16,True,,mordenia_event_02,mordenia_event_02,1.0,,,,,,,,,,,,,,
d_main_06_08_e_17,d_main_06_08_e,Monologue,,,Locale_MainScenario:d_main_06_08_e_17,True,,mordenia_event_02,mordenia_event_02,1.0,,,,,,,,,,,,,,
d_main_06_08_e_18,d_main_06_08_e,Monologue,,,Locale_MainScenario:d_main_06_08_e_18,True,,mordenia_event_02,mordenia_event_02,1.0,,,,,,,,,,,,,,
d_main_06_08_e_19,d_main_06_08_e,Monologue,,,Locale_MainScenario:d_main_06_08_e_19,True,,mordenia_event_02,mordenia_event_02,1.0,,,,,,,,,,,,,,
d_main_06_08_e_20,d_main_06_08_e,Monologue,,,Locale_MainScenario:d_main_06_08_e_20,True,,mordenia_event_02,mordenia_event_02,1.0,,,,,,,,,,,,,,
