id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,set_camera_shake,set_filter_01,characters/4/hide_char_id
d_main_40_07_1,d_main_40_07,Self,liberalio,Locale_MainScenario:d_main_40_07_1,False,liberalio,1,idle,WhaleyBack,S_100,S_100,1.0,bgm_story_quietterror,,,,,,,,,,,,,,,,,,,,
d_main_40_07_2,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_2,True,,1,idle,,S_100,S_10,1.0,,liberalio,,,,,,,,,,,,,,,,,,,
d_main_40_07_3,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_3,True,,1,idle,,S_10,S_10,1.0,,liberalio,,,,,,,,,,,,,,,,,,,
d_main_40_07_4,d_main_40_07,Self,liberalio,Locale_MainScenario:d_main_40_07_4,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_40_07_5,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_5,True,,1,idle,,S_10,S_10,1.0,,liberalio,,,,,,,,,,,,,,,,,,,
d_main_40_07_6,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_6,True,,1,idle,,S_10,S_10,1.0,,liberalio,,,,,,,,,,,,,,,,,,,
d_main_40_07_7,d_main_40_07,Monologue,liberalio,Locale_MainScenario:d_main_40_07_7,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_40_07_8,d_main_40_07,Monologue,liberalio,Locale_MainScenario:d_main_40_07_8,False,,1,idle,,black,black,1.0,,,maxwell_p,13,rage,laplace_p,15,idle,drake_p,17,idle,nayuta_n,3,idle,rapi_red,5,idle,,,,
d_main_40_07_9,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_9,True,,1,idle,,S_10,S_100,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,3,idle,,5,idle,,,,
d_main_40_07_10,d_main_40_07,Speech,maxwell_p,Locale_MainScenario:d_main_40_07_10,True,,1,idle,,S_100,L_1300,0.7,,maxwell_p,,13,rage,,15,idle,,17,idle,,3,idle,,5,idle,,,,
d_main_40_07_11,d_main_40_07,Speech,laplace_p,Locale_MainScenario:d_main_40_07_11,True,,1,idle,,S_1500,S_150,0.7,,laplace_p,,13,rage,,15,angry_02,,17,idle,,3,idle,,5,idle,,,,
d_main_40_07_12,d_main_40_07,Speech,drake_p,Locale_MainScenario:d_main_40_07_12,True,,1,idle,,L_1700,L_170,0.7,,drake_p,,13,rage,,15,angry_02,,17,idle,,3,idle,,5,idle,,,,
d_main_40_07_13,d_main_40_07,Speech,drake_p,Locale_MainScenario:d_main_40_07_13,False,,1,idle,,L_170,1517,1.0,,drake_p,,13,rage,,15,angry_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_14,d_main_40_07,Speech,laplace_p,Locale_MainScenario:d_main_40_07_14,False,,1,idle,,1517,1517,1.0,,laplace_p,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_15,d_main_40_07,Speech,maxwell_p,Locale_MainScenario:d_main_40_07_15,True,,1,idle,,L_130,L_1300,0.7,,maxwell_p,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_16,d_main_40_07,Monologue,maxwell_p,Locale_MainScenario:d_main_40_07_16,False,,1,idle,,black,black,1.0,,,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_17,d_main_40_07,Monologue,maxwell_p,Locale_MainScenario:d_main_40_07_17,False,,1,idle,,black,black,1.0,,,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_18,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_18,True,,1,idle,,S_100,S_10,1.0,,liberalio,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_19,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_19,True,,1,idle,,S_10,S_10,1.0,,liberalio,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_20,d_main_40_07,Speech,maxwell_p,Locale_MainScenario:d_main_40_07_20,True,,1,idle,,S_10,113,1.0,,maxwell_p,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_21,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_21,True,,1,idle,,113,113,1.0,,liberalio,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_22,d_main_40_07,Speech,maxwell_p,Locale_MainScenario:d_main_40_07_22,True,,1,idle,,113,113,1.0,,maxwell_p,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_23,d_main_40_07,Narration,maxwell_p,Locale_MainScenario:d_main_40_07_23,False,,1,idle,,black,black,1.0,bgm_chapter40_field_turningpoint_b,,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,sfx_scn_electiccharge,,,
d_main_40_07_24,d_main_40_07,Monologue,maxwell_p,Locale_MainScenario:d_main_40_07_24,False,,1,idle,,black,black,1.0,,,,13,rage,,15,surprise_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_25,d_main_40_07,Speech,laplace_p,Locale_MainScenario:d_main_40_07_25,True,,1,idle,,1517,1517,1.0,,laplace_p,,13,rage,,15,sad_02,,17,angry,,3,idle,,5,idle,,,,
d_main_40_07_26,d_main_40_07,Speech,drake_p,Locale_MainScenario:d_main_40_07_26,True,,1,idle,,1517,1517,1.0,,drake_p,,13,rage,,15,sad_02,,17,surprise,,3,idle,,5,idle,,,,
d_main_40_07_27,d_main_40_07,Speech,maxwell_p,Locale_MainScenario:d_main_40_07_27,False,,1,idle,,1517,13,1.0,,maxwell_p,,13,rage,,15,sad_02,,17,surprise,,3,idle,,5,idle,,,,
