id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/4/hide_char_id,play_sound,set_camera_shake,characters/5/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
d_main_35_05_s_1,d_main_35_05_s,Self,rapi_red,Locale_MainScenario:d_main_35_05_s_1,False,rapi_red,5,idle,cinderella,3,idle,grave_p,1,idle,maxwell,13,idle_02,drake,15,idle,laplace,17,idle,BlackSeaJungle,4,4,1.0,bgm_chapter35_field_swamp_b,,,,,,,,,
d_main_35_05_s_2,d_main_35_05_s,Speech,rapi_red,Locale_MainScenario:d_main_35_05_s_2,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,17,idle,,4,4,1.0,,rapi_red,,,,,,,,
d_main_35_05_s_3,d_main_35_05_s,Monologue,rapi_red,Locale_MainScenario:d_main_35_05_s_3,False,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,17,idle,,4,4,1.0,,,,,,,,,,
d_main_35_05_s_4,d_main_35_05_s,Monologue,rapi_red,Locale_MainScenario:d_main_35_05_s_4,False,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,17,idle,,4,4,1.0,,,,,,,,,,
d_main_35_05_s_5,d_main_35_05_s,Speech,cinderella,Locale_MainScenario:d_main_35_05_s_5,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,17,idle,,4,4,1.0,,cinderella,,,,,,,,
d_main_35_05_s_6,d_main_35_05_s,Speech,cinderella,Locale_MainScenario:d_main_35_05_s_6,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,17,idle,,4,4,1.0,,cinderella,,,,,,,,
d_main_35_05_s_7,d_main_35_05_s,Speech,maxwell,Locale_MainScenario:d_main_35_05_s_7,True,,5,idle,,3,idle,,1,idle,,13,sad,,15,idle,,17,idle,,130,130,1.0,,maxwell,,,,,,,,
d_main_35_05_s_8,d_main_35_05_s,Speech,maxwell,Locale_MainScenario:d_main_35_05_s_8,True,,5,idle,,3,idle,,1,idle,,13,sad,,15,idle,,17,idle,,130,130,1.0,,maxwell,,,,,,,,
d_main_35_05_s_9,d_main_35_05_s,Speech,rapi_red,Locale_MainScenario:d_main_35_05_s_9,True,,5,idle,,3,idle,,1,idle,,13,sad,,15,idle,,17,idle,,50,50,1.0,,rapi_red,,,,,,,,
d_main_35_05_s_10,d_main_35_05_s,Speech,rapi_red,Locale_MainScenario:d_main_35_05_s_10,True,,5,idle,,3,idle,,1,idle,,13,sad,,15,idle,,17,idle,,50,50,1.0,,rapi_red,,,,,,,,
d_main_35_05_s_11,d_main_35_05_s,Self,rapi_red,Locale_MainScenario:d_main_35_05_s_11,False,,5,idle,,3,idle,,1,idle,,13,sad,,15,idle,,17,idle,,50,50,1.0,,,,,,,,,,
