id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id
d_main_30_04_1,d_main_30_04,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_04_1,True,CrystalField_2,170,16,1.0,bgm_chapter30_field_whitecity,,rapi,3,idle,anis,5,angry,neon,7,idle,drilley,1,surprise,elegg,13,idle,fragile,15,idle,liveryn,17,worry,,,,,,,,
d_main_30_04_2,d_main_30_04,Speech,liveryn,liveryn,Locale_MainScenario:d_main_30_04_2,True,,16,16,1.0,,,,3,idle,,5,angry,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,,,
d_main_30_04_3,d_main_30_04,Speech,anis,anis,Locale_MainScenario:d_main_30_04_3,True,,6,6,1.0,,,,3,idle,,5,angry,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,,,
d_main_30_04_4,d_main_30_04,Speech,neon,neon,Locale_MainScenario:d_main_30_04_4,True,,6,6,1.0,,,,3,idle,,5,angry,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,,,
d_main_30_04_5,d_main_30_04,Speech,rapi,rapi,Locale_MainScenario:d_main_30_04_5,True,,6,2,2.0,,,,3,idle,,5,angry,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,,,
d_main_30_04_6,d_main_30_04,Speech,shifty,shifty,Locale_MainScenario:d_main_30_04_6,True,,2,2,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,shifty,OP_leftup,idle,
d_main_30_04_7,d_main_30_04,Speech,shifty,shifty,Locale_MainScenario:d_main_30_04_7,True,,2,2,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,OP_leftup,worry,
d_main_30_04_8,d_main_30_04,Speech,shifty,shifty,Locale_MainScenario:d_main_30_04_8,True,,2,2,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,OP_leftup,surprise,
d_main_30_04_9,d_main_30_04,Speech,drilley,drilley,Locale_MainScenario:d_main_30_04_9,True,,2,XS_10,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,OP_leftup,surprise,
d_main_30_04_10,d_main_30_04,Speech,shifty,shifty,Locale_MainScenario:d_main_30_04_10,True,,XS_10,XS_10,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,OP_leftup,angry,
d_main_30_04_11,d_main_30_04,Speech,shifty,shifty,Locale_MainScenario:d_main_30_04_11,True,,XS_10,XS_10,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,OP_leftup,angry,
d_main_30_04_12,d_main_30_04,Speech,shifty,shifty,Locale_MainScenario:d_main_30_04_12,True,,XS_10,XS_10,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,OP_leftup,angry,
d_main_30_04_13,d_main_30_04,Speech,drilley,drilley,Locale_MainScenario:d_main_30_04_13,True,,XS_10,XS_10,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,OP_leftup,angry,
d_main_30_04_14,d_main_30_04,Speech,shifty,shifty,Locale_MainScenario:d_main_30_04_14,True,,XS_10,XS_10,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,,,,,OP_leftup,think,
d_main_30_04_15,d_main_30_04,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_30_04_15,True,,XS_10,12,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,trony_op_r,OP_rightup,idle,,,OP_leftup,think,
d_main_30_04_16,d_main_30_04,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_30_04_16,True,,12,12,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,OP_rightup,idle,,,OP_leftup,worry,
d_main_30_04_17,d_main_30_04,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_30_04_17,True,,12,12,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,idle,,15,idle,,17,worry,,OP_rightup,idle,,,OP_leftup,worry,
d_main_30_04_18,d_main_30_04,Speech,elegg,elegg,Locale_MainScenario:d_main_30_04_18,True,,12,S_130,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,worry,,15,idle,,17,worry,,OP_rightup,idle,,,OP_leftup,worry,
d_main_30_04_19,d_main_30_04,Narration,elegg,,Locale_MainScenario:d_main_30_04_19,False,,S_130,S_130,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,worry,,15,idle,,17,worry,,OP_rightup,idle,,,OP_leftup,worry,
d_main_30_04_20,d_main_30_04,Speech,elegg,elegg,Locale_MainScenario:d_main_30_04_20,True,,S_130,S_130,1.0,,,,3,idle,,5,void,,7,idle,,1,surprise,,13,worry,,15,idle,,17,worry,,OP_rightup,idle,,,OP_leftup,worry,
