id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/1/hide_char_id,jump_target
d_ex_cafe_03_1,d_ex_cafe_03,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_03_1,True,milk,3,idle,sugar,1,idle,frima,13,idle,Cafe,S_30,S_30,1.0,bgm_story_tuffguys,,,,,,,,,,
d_ex_cafe_03_2,d_ex_cafe_03,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_03_2,True,,3,idle,,1,idle,,13,idle,,S_30,S_30,1.0,,,,,,,,,,,
d_ex_cafe_03_3,d_ex_cafe_03,Speech,frima,frima,Locale_SuddenStory:d_ex_cafe_03_3,True,,3,idle,,1,idle,,13,delight,,130,130,1.0,,,,,,,,,,,
d_ex_cafe_03_4,d_ex_cafe_03,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_03_4,True,,3,idle,,1,idle,,13,delight,,S_10,S_10,1.0,,,,,,,,,,,
d_ex_cafe_03_5,d_ex_cafe_03,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_03_5,True,,3,idle,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,,,,,,
d_ex_cafe_03_6,d_ex_cafe_03,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_03_6,True,,3,idle,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,,,,,,
d_ex_cafe_03_7,d_ex_cafe_03,Self,sugar,,Locale_SuddenStory:d_ex_cafe_03_7,False,,3,idle,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,,,,,,
d_ex_cafe_03_8,d_ex_cafe_03,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_03_8,True,,3,idle,,1,idle,,13,idle,,S_10,S_30,2.0,,,,,,,,,,,
d_ex_cafe_03_9,d_ex_cafe_03,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_03_9,True,,3,surprise,,1,idle,,13,idle,,S_30,S_30,1.0,,,,,,,,,,,
d_ex_cafe_03_10,d_ex_cafe_03,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_03_10,True,,3,good,,1,idle,,13,idle,,S_30,S_300,0.5,,,,,,,,,,,
d_ex_cafe_03_11,d_ex_cafe_03,Narration,milk,,Locale_SuddenStory:d_ex_cafe_03_11,False,,3,good,,1,idle,,13,idle,,S_300,S_300,1.0,,sfx_scn_autodooropen,,,,,,,,,
d_ex_cafe_03_12,d_ex_cafe_03,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_03_12,True,,3,delight,,1,idle,,13,idle,,S_300,S_30,0.5,,,,,,,,,,,
d_ex_cafe_03_13,d_ex_cafe_03,Speech,belorta,belorta,Locale_SuddenStory:d_ex_cafe_03_13,True,,3,delight,,1,idle,,13,idle,,S_30,4,1.0,,,belorta,5,delight,,,,,,
d_ex_cafe_03_14,d_ex_cafe_03,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_03_14,True,,3,delight,,1,idle,,13,idle,,4,4,1.0,,,,5,idle,,,,,,
d_ex_cafe_03_15,d_ex_cafe_03,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_03_15,True,,3,delight,,1,delight,,13,idle,,4,2,1.0,,,,5,idle,,,,,,
d_ex_cafe_03_16,d_ex_cafe_03,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_03_16,True,,3,delight,,1,delight,,13,idle,,2,2,1.0,,,,5,idle,,,,,,
d_ex_cafe_03_17,d_ex_cafe_03,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_03_17,True,,3,delight,,1,delight,,13,idle,,2,2,1.0,,,,5,idle,,,,,,
d_ex_cafe_03_18,d_ex_cafe_03,Speech,belorta,belorta,Locale_SuddenStory:d_ex_cafe_03_18,True,,3,good,,1,delight,,13,idle,,2,XS_50,2.0,,,,5,idle,,,,,,
d_ex_cafe_03_19,d_ex_cafe_03,Speech,belorta,belorta,Locale_SuddenStory:d_ex_cafe_03_19,True,,3,good,,1,idle,,13,idle,,XS_50,XS_50,1.0,,,,5,idle,,,,,,
