id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,set_filter_01,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_subquest_1381_e_1,d_subquest_1381_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1381_e_1,True,CityForest_03_d,10,10,1.0,bgm_story_fairytalesend_if,,,,escapednikke,5,idle,,rapi,3,idle,anis,1,void,neon,7,idle
d_subquest_1381_e_2,d_subquest_1381_e,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1381_e_2,True,,50,50,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,idle
d_subquest_1381_e_3,d_subquest_1381_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1381_e_3,True,,50,6,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,idle
d_subquest_1381_e_4,d_subquest_1381_e,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1381_e_4,True,,6,6,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,idle
d_subquest_1381_e_5,d_subquest_1381_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1381_e_5,True,,10,10,1.0,,,,,,5,idle,,,3,idle,,1,worry,,7,idle
d_subquest_1381_e_6,d_subquest_1381_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1381_e_6,True,,10,10,1.0,,,,,,5,idle,,,3,idle,,1,worry,,7,idle
d_subquest_1381_e_7,d_subquest_1381_e,Self,,,Locale_SubScenario:d_subquest_1381_e_7,False,,50,50,1.0,,,,,,5,idle,,,3,idle,,1,worry,,7,idle
d_subquest_1381_e_8,d_subquest_1381_e,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1381_e_8,False,,50,5,1.0,,,,,,5,idle,,,3,idle,,1,worry,,7,idle
d_subquest_1381_e_9,d_subquest_1381_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1381_e_9,True,,5,4,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,idle
d_subquest_1381_e_10,d_subquest_1381_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1381_e_10,True,,4,4,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,idle
d_subquest_1381_e_11,d_subquest_1381_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1381_e_11,True,,4,4,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,idle
d_subquest_1381_e_12,d_subquest_1381_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1381_e_12,True,,4,6,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,idle
d_subquest_1381_e_13,d_subquest_1381_e,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1381_e_13,True,,6,50,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,idle
d_subquest_1381_e_14,d_subquest_1381_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1381_e_14,False,,30,30,1.0,,,,,,5,idle,,,3,worry,,1,void,,7,idle
d_subquest_1381_e_15,d_subquest_1381_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1381_e_15,False,,S_70,S_70,1.0,,,,,,5,idle,,,3,worry,,1,void,,7,surprise
d_subquest_1381_e_16,d_subquest_1381_e,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1381_e_16,True,,50,50,1.0,,,,,,5,idle,,,3,worry,,1,void,,7,surprise
d_subquest_1381_e_17,d_subquest_1381_e,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1381_e_17,True,,50,50,1.0,,,,,,5,idle,,,3,worry,,1,void,,7,surprise
d_subquest_1381_e_18,d_subquest_1381_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1381_e_18,True,,50,4,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,surprise
d_subquest_1381_e_19,d_subquest_1381_e,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1381_e_19,False,,4,4,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,surprise
d_subquest_1381_e_20,d_subquest_1381_e,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1381_e_20,True,,4,4,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,surprise
d_subquest_1381_e_21,d_subquest_1381_e,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1381_e_21,True,,4,4,1.0,,,,,,5,idle,,,3,idle,,1,void,,7,surprise
d_subquest_1381_e_22,d_subquest_1381_e,Narration,,,Locale_SubScenario:d_subquest_1381_e_22,False,,black,black,1.0,none,Low_2,Blur_Middle,,,5,idle,escapednikke,,3,idle,,1,void,,7,surprise
d_subquest_1381_e_23,d_subquest_1381_e,Monologue,,,Locale_SubScenario:d_subquest_1381_e_23,False,,2,2,1.0,,,Blur_Middle,,,,,,,3,angry,,1,angry,,7,surprise
