id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,fade,characters/1/hide_char_id
d_ex_church_07_1,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_1,False,Church,black,black,1.0,none,,,,,,,,,,,
d_ex_church_07_2,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_2,False,,black,black,1.0,bgm_story_orangepop,,,,,,,,,,,
d_ex_church_07_3,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_3,False,,17,17,1.0,,,,,,,,,,,,
d_ex_church_07_4,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_4,True,,17,1,1.5,,rouge,rouge,rouge,1,idle,,,,,,
d_ex_church_07_5,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_5,True,,1,1,1.0,,rouge,rouge,,1,idle,,,,,,
d_ex_church_07_6,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_6,False,,1,1,1.0,,rouge,,,1,idle,,,,,,
d_ex_church_07_7,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_7,True,,1,1,1.0,,rouge,rouge,,1,idle,,,,,,
d_ex_church_07_8,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_8,True,,1,1,1.0,,rouge,rouge,,1,idle,,,,,,
d_ex_church_07_9,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_9,True,,1,1,1.0,,rouge,rouge,,1,idle,,,,,,
d_ex_church_07_10,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_10,False,,1,1,1.0,,rouge,,,1,idle,,,,,,
d_ex_church_07_11,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_11,False,,17,170,0.3,,unknown,unknown,,1,idle,,,,,,
d_ex_church_07_12,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_12,True,,170,170,1.0,,unknown,unknown,,1,idle,,,,,,
d_ex_church_07_13,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_13,True,,170,17,1.0,,unknown,unknown,,1,idle,,,,,,
d_ex_church_07_14,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_14,True,,1,1,1.0,,rouge,rouge,,1,surprise,,,,,,
d_ex_church_07_15,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_15,False,,1,1,1.0,,rouge,,,1,surprise,,,,,,
d_ex_church_07_16,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_16,True,,3,S_30,1.0,,maiden,maiden,,1,surprise,maiden,3,shy,,,
d_ex_church_07_17,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_17,False,,S_30,S_30,1.0,,maiden,,,1,idle,,3,shy,,,
d_ex_church_07_18,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_18,False,,S_30,S_30,1.0,,maiden,,,1,idle,,3,shy,,,
d_ex_church_07_19,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_19,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,idle,,,
d_ex_church_07_20,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_20,False,,S_30,S_30,1.0,,maiden,,,1,idle,,3,idle,,,
d_ex_church_07_21,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_21,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,idle,,,
d_ex_church_07_22,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_22,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,idle,,,
d_ex_church_07_23,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_23,False,,S_30,S_30,1.0,,maiden,,,1,idle,,3,idle,,,
d_ex_church_07_24,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_24,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_25,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_25,True,,S_30,2,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_26,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_26,True,,2,2,1.0,,rouge,rouge,,1,surprise,,3,shy,,,
d_ex_church_07_27,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_27,True,,2,2,1.0,,rouge,rouge,,1,surprise,,3,shy,,,
d_ex_church_07_28,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_28,True,,2,2,1.0,,maiden,maiden,,1,surprise,,3,idle,,,
d_ex_church_07_29,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_29,True,,2,2,1.0,,maiden,maiden,,1,surprise,,3,idle,,,
d_ex_church_07_30,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_30,True,,2,2,1.0,,maiden,maiden,,1,surprise,,3,idle,,,
d_ex_church_07_31,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_31,True,,2,2,1.0,,rouge,rouge,,1,surprise,,3,idle,,,
d_ex_church_07_32,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_32,True,,2,2,1.0,,rouge,rouge,,1,surprise,,3,idle,,,
d_ex_church_07_33,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_33,True,,2,S_30,1.0,,maiden,maiden,,1,surprise,,3,idle,,,
d_ex_church_07_34,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_34,True,,S_30,S_30,1.0,,maiden,maiden,,1,surprise,,3,idle,,,
d_ex_church_07_35,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_35,False,,S_30,S_30,1.0,,maiden,,,1,idle,,3,idle,,,
d_ex_church_07_36,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_36,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,idle,,,
d_ex_church_07_37,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_37,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_38,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_38,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_39,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_39,True,,S_30,2,1.0,,rouge,rouge,,1,sad,,3,shy,,,
d_ex_church_07_40,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_40,True,,2,2,1.0,,maiden,maiden,,1,sad,,3,idle,,,
d_ex_church_07_41,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_41,True,,2,2,1.0,,rouge,rouge,,1,think,,3,idle,,,
d_ex_church_07_42,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_42,True,,2,2,1.0,,maiden,maiden,,1,think,,3,idle,,,
d_ex_church_07_43,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_43,True,,2,2,1.0,,maiden,maiden,,1,think,,3,idle,,,
d_ex_church_07_44,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_44,True,,2,2,1.0,,maiden,maiden,,1,think,,3,idle,,,
d_ex_church_07_45,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_45,True,,2,2,1.0,,rouge,rouge,,1,idle,,3,idle,,,
d_ex_church_07_46,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_46,True,,2,2,1.0,,rouge,rouge,,1,idle,,3,idle,,,
d_ex_church_07_47,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_47,True,,2,2,1.0,,maiden,maiden,,1,idle,,3,idle,,,
d_ex_church_07_48,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_48,True,,2,2,1.0,,maiden,maiden,,1,idle,,3,idle,,,
d_ex_church_07_49,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_49,True,,2,2,1.0,,maiden,maiden,,1,idle,,3,idle,,,
d_ex_church_07_50,d_ex_church_07,Narration,Locale_SuddenStory:d_ex_church_07_50,False,,2,10,1.0,,maiden,,,1,idle,,3,idle,sfx_scn_rustle,,
d_ex_church_07_51,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_51,False,,10,10,1.0,,rouge,,,1,idle,,3,idle,,,
d_ex_church_07_52,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_52,True,,10,10,1.0,,rouge,rouge,,1,idle,,3,idle,,,
d_ex_church_07_53,d_ex_church_07,Narration,Locale_SuddenStory:d_ex_church_07_53,False,,black,black,1.0,,rouge,,,1,idle,,3,idle,sfx_scn_coin,,
d_ex_church_07_54,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_54,False,,black,black,1.0,,rouge,,,1,idle,,3,idle,,,
d_ex_church_07_55,d_ex_church_07,Narration,Locale_SuddenStory:d_ex_church_07_55,False,,black,black,1.0,,rouge,,,1,idle,,3,idle,sfx_scn_grabhard,,
d_ex_church_07_56,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_56,True,,10,10,1.0,,rouge,rouge,,1,idle,,3,idle,,,
d_ex_church_07_57,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_57,True,,10,10,1.0,,rouge,rouge,,1,idle,,3,idle,,,
d_ex_church_07_58,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_58,True,,10,10,1.0,,rouge,rouge,,1,idle,,3,idle,,,
d_ex_church_07_59,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_59,True,,10,10,1.0,,rouge,rouge,,1,idle,,3,idle,,,
d_ex_church_07_60,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_60,True,,10,10,1.0,,rouge,rouge,,1,idle,,3,idle,,,
d_ex_church_07_61,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_61,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,idle,,,
d_ex_church_07_62,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_62,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,idle,,,
d_ex_church_07_63,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_63,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,idle,,,
d_ex_church_07_64,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_64,True,,10,10,1.0,,rouge,rouge,,1,idle,,3,idle,,,
d_ex_church_07_65,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_65,False,,10,10,1.0,,rouge,,,1,idle,,3,idle,,,
d_ex_church_07_66,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_66,False,,10,10,1.0,,rouge,rouge,,1,idle,,3,idle,,,
d_ex_church_07_67,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_67,False,,10,2,1.0,,rouge,rouge,,1,surprise,,3,idle,,,
d_ex_church_07_68,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_68,False,,2,2,1.0,,maiden,maiden,,1,surprise,,3,idle,,,
d_ex_church_07_69,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_69,False,,2,2,1.0,,maiden,,,1,surprise,,3,idle,,,
d_ex_church_07_70,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_70,True,,2,2,1.0,,maiden,maiden,,1,surprise,,3,shy,,,
d_ex_church_07_71,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_71,True,,2,2,1.0,,rouge,rouge,,1,think,,3,shy,,,
d_ex_church_07_72,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_72,True,,2,2,1.0,,rouge,rouge,,1,think,,3,shy,,,
d_ex_church_07_73,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_73,True,,2,2,1.0,,maiden,maiden,,1,think,,3,delight,,,
d_ex_church_07_74,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_74,True,,2,2,1.0,,maiden,maiden,,1,think,,3,delight,,,
