id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake
d_main_35_04_1,d_main_35_04,Narration,anis,Locale_MainScenario:d_main_35_04_1,False,Office,12,12,1.0,bgm_story_mightfeel,,,,,,,,,,,,,,
d_main_35_04_2,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_2,True,,12,12,1.0,,anis,mustang,13,idle,anis,1,void,neon,3,idle,,,,
d_main_35_04_3,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_3,True,,12,12,1.0,,mustang,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_4,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_4,True,,12,12,1.0,,mustang,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_5,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_5,True,,12,12,1.0,,mustang,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_6,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_6,True,,12,12,1.0,,anis,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_7,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_7,True,,12,12,1.0,,anis,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_8,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_8,True,,12,12,1.0,,mustang,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_9,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_9,True,,12,12,1.0,,mustang,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_10,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_10,True,,12,12,1.0,,mustang,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_11,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_11,True,,12,12,1.0,,mustang,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_12,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_12,True,,12,12,1.0,,mustang,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_13,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_13,False,,S_30,S_30,1.0,,neon,,13,idle,,1,void,,3,idle,,,,
d_main_35_04_14,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_14,True,,12,12,1.0,,anis,,13,idle,,1,worry,,3,idle,,,,
d_main_35_04_15,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_15,True,,12,12,1.0,,anis,,13,idle,,1,worry,,3,idle,,,,
d_main_35_04_16,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_16,True,,12,12,1.0,,mustang,,13,surprise,,1,worry,,3,idle,,,,
d_main_35_04_17,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_17,True,,12,12,1.0,,anis,,13,surprise,,1,sad,,3,idle,,,,
d_main_35_04_18,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_18,True,,S_30,S_30,1.0,,neon,,13,surprise,,1,sad,,3,surprise,,,,
d_main_35_04_19,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_19,True,,12,12,1.0,,mustang,,13,angry,,1,sad,,3,surprise,,,,
d_main_35_04_20,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_20,True,,12,12,1.0,,anis,,13,angry,,1,worry,,3,surprise,,,,
d_main_35_04_21,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_21,True,,12,12,1.0,,anis,,13,angry,,1,void,,3,surprise,,,,
d_main_35_04_22,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_22,True,,12,12,1.0,,anis,,13,angry,,1,void,,3,surprise,,,,
d_main_35_04_23,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_23,True,,12,12,1.0,,anis,,13,angry,,1,void,,3,surprise,,,,
d_main_35_04_24,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_24,False,,12,12,1.0,,mustang,,13,angry,,1,void,,3,surprise,,,,
d_main_35_04_25,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_25,True,,12,2,1.0,,neon,,13,angry,,1,void,,3,idle,,,,
d_main_35_04_26,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_26,True,,2,2,1.0,,neon,,13,angry,,1,void,,3,idle,,,,
d_main_35_04_27,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_27,True,,2,2,1.0,,neon,,13,angry,,1,void,,3,idle,,,,
d_main_35_04_28,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_28,True,,2,2,1.0,,anis,,13,angry,,1,worry,,3,idle,,,,
d_main_35_04_29,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_29,True,,2,2,1.0,,anis,,13,angry,,1,worry,,3,idle,,,,
d_main_35_04_30,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_30,True,,2,2,1.0,,anis,,13,angry,,1,worry,,3,idle,,,,
d_main_35_04_31,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_31,True,,2,2,1.0,,anis,,13,angry,,1,worry,,3,idle,,,,
d_main_35_04_32,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_32,True,,2,2,1.0,,neon,,13,angry,,1,worry,,3,idle,,,,
d_main_35_04_33,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_33,True,,2,2,1.0,,anis,,13,angry,,1,void,,3,idle,,,,
d_main_35_04_34,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_34,True,,2,2,1.0,,neon,,13,angry,,1,void,,3,idle,,,,
d_main_35_04_35,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_35,True,,2,2,1.0,,anis,,13,angry,,1,worry,,3,idle,,,,
d_main_35_04_36,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_36,False,,2,2,1.0,,neon,,13,angry,,1,worry,,3,idle,,,,
d_main_35_04_37,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_37,False,,2,2,1.0,,anis,,13,angry,,1,worry,,3,idle,,,,
d_main_35_04_38,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_38,True,,2,2,1.0,,neon,,13,angry,,1,worry,,3,worry,,,,
d_main_35_04_39,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_39,True,,2,2,1.0,,anis,,13,angry,,1,sad,,3,worry,,,,
d_main_35_04_40,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_40,True,,2,S_30,1.0,,neon,,13,angry,,1,sad,,3,idle,,,,
d_main_35_04_41,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_41,True,,L_130,L_130,1.0,,mustang,,13,angry,,1,sad,,3,idle,,,,
d_main_35_04_42,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_42,True,,S_30,S_30,1.0,,neon,,13,angry,,1,sad,,3,worry,,,,
d_main_35_04_43,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_43,True,,L_130,13,1.0,,mustang,,13,idle,,1,sad,,3,worry,,,,
d_main_35_04_44,d_main_35_04,Narration,mustang,Locale_MainScenario:d_main_35_04_44,False,EventScene_Chap_35_01,black,black,1.0,,,,13,idle,,1,sad,,3,worry,mustang,anis,neon,
d_main_35_04_45,d_main_35_04,Narration,mustang,Locale_MainScenario:d_main_35_04_45,False,,1,1,1.0,,,,,,,,,,,,,,,
d_main_35_04_46,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_46,True,,1,1,1.0,,neon,,,,,,,,,,,,,
d_main_35_04_47,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_47,True,,1,1,1.0,,neon,,,,,,,,,,,,,
d_main_35_04_48,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_48,True,,1,1,1.0,,neon,,,,,,,,,,,,,
d_main_35_04_49,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_49,True,,1,1,1.0,,anis,,,,,,,,,,,,,
d_main_35_04_50,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_50,True,,1,1,1.0,,neon,,,,,,,,,,,,,
d_main_35_04_51,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_51,True,,1,1,1.0,,anis,,,,,,,,,,,,,
d_main_35_04_52,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_52,True,,1,1,1.0,,neon,,,,,,,,,,,,,
d_main_35_04_53,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_53,True,,1,1,1.0,,anis,,,,,,,,,,,,,
d_main_35_04_54,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_54,True,,1,1,1.0,,anis,,,,,,,,,,,,,
d_main_35_04_55,d_main_35_04,Narration,anis,Locale_MainScenario:d_main_35_04_55,False,Office,black,black,1.0,,,mustang,13,idle,anis,1,worry,neon,3,no,,,,
d_main_35_04_56,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_56,False,,2,2,1.0,,neon,,13,idle,,1,worry,,3,no,,,,
d_main_35_04_57,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_57,False,,2,2,1.0,,anis,,13,idle,,1,worry,,3,no,,,,
d_main_35_04_58,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_58,True,,2,2,1.0,,anis,,13,idle,,1,worry,,3,no,,,,
d_main_35_04_59,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_59,False,,2,2,1.0,,neon,,13,idle,,1,worry,,3,no,,,,
d_main_35_04_60,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_60,True,,2,2,1.0,,anis,,13,idle,,1,worry,,3,no,,,,
d_main_35_04_61,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_61,False,,2,2,1.0,,neon,,13,idle,,1,worry,,3,no,,,,
d_main_35_04_62,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_62,True,,2,2,1.0,,neon,,13,idle,,1,worry,,3,worry,,,,
d_main_35_04_63,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_63,True,,2,2,1.0,,anis,,13,idle,,1,no,,3,worry,,,,
d_main_35_04_64,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_64,True,,2,2,1.0,,neon,,13,idle,,1,no,,3,idle,,,,
d_main_35_04_65,d_main_35_04,Speech,neon,Locale_MainScenario:d_main_35_04_65,True,,2,2,1.0,,neon,,13,idle,,1,no,,3,idle,,,,
d_main_35_04_66,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_66,True,,2,2,1.0,,anis,,13,idle,,1,angry,,3,idle,,,,
d_main_35_04_67,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_67,True,,2,2,1.0,,anis,,13,idle,,1,sad,,3,idle,,,,
d_main_35_04_68,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_68,True,,2,10,1.0,,anis,,13,idle,,1,worry,,3,idle,,,,
d_main_35_04_69,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_69,True,,10,10,1.0,,anis,,13,idle,,1,worry,,3,idle,,,,
d_main_35_04_70,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_70,True,,10,10,1.0,,anis,,13,idle,,1,worry,,3,idle,,,,
d_main_35_04_71,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_71,True,,10,10,1.0,,anis,,13,idle,,1,worry,,3,idle,,,,
d_main_35_04_72,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_72,True,,10,12,1.0,,mustang,,13,idle,,1,worry,,3,idle,,,,
d_main_35_04_73,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_73,True,,12,12,1.0,,mustang,,13,surprise,,1,worry,,3,idle,,,,
d_main_35_04_74,d_main_35_04,Speech,mustang,Locale_MainScenario:d_main_35_04_74,True,,12,12,1.0,,mustang,,13,surprise,,1,worry,,3,idle,,,,
d_main_35_04_75,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_75,True,,12,12,1.0,none,anis,,13,surprise,,1,worry,,3,idle,,,,
d_main_35_04_76,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_76,True,,12,12,1.0,,anis,,13,surprise,,1,worry,,3,idle,,,,
d_main_35_04_77,d_main_35_04,Speech,anis,Locale_MainScenario:d_main_35_04_77,True,,12,12,1.0,bgm_story_monochrome,anis,,13,surprise,,1,worry,,3,idle,,,,
