id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
d_ex_gym_05_1,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_1,True,noir,1,idle,Gym,1,L_10,1.0,bgm_story_tuffguys,,,,
d_ex_gym_05_2,d_ex_gym_05,Self,,,Locale_SuddenStory:d_ex_gym_05_2,False,,1,idle,,L_10,L_10,1.0,,,,,
d_ex_gym_05_3,d_ex_gym_05,Self,,,Locale_SuddenStory:d_ex_gym_05_3,False,,1,idle,,L_10,L_10,1.0,,,,,
d_ex_gym_05_4,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_4,True,,1,idle,,L_10,L_10,1.0,,,,,
d_ex_gym_05_5,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_5,True,,1,idle,,L_10,L_10,1.0,,,,,
d_ex_gym_05_6,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_6,True,,1,idle,,L_10,L_10,1.0,,,,,
d_ex_gym_05_7,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_7,True,,1,idle,,L_10,L_10,1.0,,,,,
d_ex_gym_05_8,d_ex_gym_05,Monologue,,,Locale_SuddenStory:d_ex_gym_05_8,False,,1,idle,,L_10,L_10,1.0,,,,,
d_ex_gym_05_9,d_ex_gym_05,Monologue,,,Locale_SuddenStory:d_ex_gym_05_9,False,,1,idle,,L_10,L_10,1.0,,,,,
d_ex_gym_05_10,d_ex_gym_05,Self,,,Locale_SuddenStory:d_ex_gym_05_10,False,,1,idle,,L_10,L_10,1.0,,,,,
d_ex_gym_05_11,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_11,True,,1,surprise,,L_10,1,1.0,,,,,
d_ex_gym_05_12,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_12,True,,1,surprise,,1,1,1.0,,,,,
d_ex_gym_05_13,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_13,True,,1,surprise,,1,1,1.0,,,,,
d_ex_gym_05_14,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_14,True,,1,surprise,,1,1,1.0,,,,,
d_ex_gym_05_15,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_15,True,,1,surprise,,1,12,1.0,,privaty,13,idle,
d_ex_gym_05_16,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_16,True,,1,surprise,,12,12,1.0,,,13,idle,
d_ex_gym_05_17,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_17,True,,1,surprise,,12,12,1.0,,,13,idle,
d_ex_gym_05_18,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_18,True,,1,idle,,12,12,1.0,,,13,idle,
d_ex_gym_05_19,d_ex_gym_05,Self,,,Locale_SuddenStory:d_ex_gym_05_19,False,,1,idle,,12,12,1.0,,,13,idle,
d_ex_gym_05_20,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_20,True,,1,idle,,12,S_130,1.0,,,13,surprise,
d_ex_gym_05_21,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_21,True,,1,idle,,S_130,S_130,1.0,,,13,surprise,
d_ex_gym_05_22,d_ex_gym_05,Self,,,Locale_SuddenStory:d_ex_gym_05_22,False,,1,idle,,S_130,S_130,1.0,,,13,surprise,
d_ex_gym_05_23,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_23,True,,1,idle,,S_130,S_130,1.0,,,13,delight,
d_ex_gym_05_24,d_ex_gym_05,Narration,,,Locale_SuddenStory:d_ex_gym_05_24,False,,1,idle,,S_130,13,1.0,,,13,delight,
d_ex_gym_05_25,d_ex_gym_05,Monologue,,,Locale_SuddenStory:d_ex_gym_05_25,False,,1,idle,,13,13,1.0,,,13,delight,
d_ex_gym_05_26,d_ex_gym_05,Monologue,,,Locale_SuddenStory:d_ex_gym_05_26,False,,1,idle,,13,13,1.0,,,13,delight,
d_ex_gym_05_27,d_ex_gym_05,Self,,,Locale_SuddenStory:d_ex_gym_05_27,False,,1,idle,,13,13,1.0,,,13,delight,
d_ex_gym_05_28,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_28,True,,1,idle,,13,S_130,1.0,,,13,shy,
d_ex_gym_05_29,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_29,True,,1,idle,,S_130,S_130,1.0,,,13,shy,
d_ex_gym_05_30,d_ex_gym_05,Monologue,,,Locale_SuddenStory:d_ex_gym_05_30,False,,1,idle,,S_130,12,1.0,,,13,shy,
d_ex_gym_05_31,d_ex_gym_05,Self,,,Locale_SuddenStory:d_ex_gym_05_31,False,,1,idle,,12,12,1.0,,,13,shy,
d_ex_gym_05_32,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_32,True,,1,idle,,12,L_10,1.0,,,13,shy,
d_ex_gym_05_33,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_33,True,,1,idle,,L_10,L_10,1.0,,,13,shy,
d_ex_gym_05_34,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_34,True,,1,delight,,L_10,L_10,1.0,,,13,shy,
d_ex_gym_05_35,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_35,True,,1,delight,,L_10,L_10,1.0,,,13,shy,
d_ex_gym_05_36,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_36,True,,1,delight,,L_10,S_130,1.0,,,13,idle,
d_ex_gym_05_37,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_37,True,,1,delight,,S_130,S_130,1.0,,,13,idle,
d_ex_gym_05_38,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_38,True,,1,delight,,S_130,S_130,1.0,,,13,idle,
d_ex_gym_05_39,d_ex_gym_05,Self,,,Locale_SuddenStory:d_ex_gym_05_39,False,,1,idle,,12,12,1.0,,,13,idle,black
d_ex_gym_05_40,d_ex_gym_05,Speech,noir,noir,Locale_SuddenStory:d_ex_gym_05_40,True,,1,idle,,12,12,1.0,,,13,idle,
d_ex_gym_05_41,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_41,True,,1,idle,,12,12,1.0,,,13,idle,
d_ex_gym_05_42,d_ex_gym_05,Self,,,Locale_SuddenStory:d_ex_gym_05_42,False,,1,idle,,12,12,1.0,,,13,idle,
d_ex_gym_05_43,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_43,True,,1,idle,,12,S_130,1.0,,,13,idle,
d_ex_gym_05_44,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_44,True,,1,idle,,S_130,S_130,1.0,,,13,idle,
d_ex_gym_05_45,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_45,True,,1,idle,,S_130,S_130,1.0,,,13,idle,
d_ex_gym_05_46,d_ex_gym_05,Speech,privaty,privaty,Locale_SuddenStory:d_ex_gym_05_46,True,,1,idle,,S_130,S_130,1.0,,,13,idle,
