id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_maidcafe_05_1,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_1,True,MaidCafe,1,1,1.0,bgm_story_orangepop,,,cocoa,1,serious,,,,,
d_ex_maidcafe_05_2,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_2,True,,1,XS_10,2.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_3,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_3,False,,XS_10,XS_10,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_4,d_ex_maidcafe_05,Choice,,,Locale_SuddenStory:d_ex_maidcafe_05_4,False,,XS_10,XS_10,1.0,,d_ex_maidcafe_05_11,,,1,serious,,,,,
d_ex_maidcafe_05_5,d_ex_maidcafe_05,Choice,,,Locale_SuddenStory:d_ex_maidcafe_05_5,False,,XS_10,XS_10,1.0,,d_ex_maidcafe_05_6,,,1,serious,,,,,
d_ex_maidcafe_05_6,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_6,True,,XS_10,XS_100,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_7,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_7,True,,XS_100,XS_100,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_8,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_8,False,,XS_100,XS_100,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_9,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_9,True,,XS_100,XS_10,1.0,,,,,1,idle,,,,,
d_ex_maidcafe_05_10,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_10,False,,XS_10,XS_10,1.0,,d_ex_maidcafe_05_11,,,1,idle,,,,,
d_ex_maidcafe_05_11,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_11,True,,XS_10,XS_10,1.0,,,,,1,sad,,,,,
d_ex_maidcafe_05_12,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_12,True,,XS_10,XS_10,1.0,,,,,1,sad,,,,,
d_ex_maidcafe_05_13,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_13,False,,XS_10,XS_10,1.0,,,,,1,sad,,,,,
d_ex_maidcafe_05_14,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_14,True,,XS_10,XS_100,1.0,,,,,1,idle,,,,,
d_ex_maidcafe_05_15,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_15,True,,XS_100,XS_100,1.0,,,,,1,idle,,,,,
d_ex_maidcafe_05_16,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_16,True,,XS_100,XS_100,1.0,,,,,1,delight,,,,,
d_ex_maidcafe_05_17,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_17,True,,XS_100,XS_100,1.0,,,,,1,delight,,,,,
d_ex_maidcafe_05_18,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_18,True,,XS_100,XS_100,1.0,,,,,1,delight,,,,,
d_ex_maidcafe_05_19,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_19,False,,XS_100,XS_100,1.0,,,,,1,delight,,,,,
d_ex_maidcafe_05_20,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_20,True,,XS_100,XS_10,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_21,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_21,True,,XS_10,XS_10,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_22,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_22,False,,XS_10,XS_10,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_23,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_23,True,,XS_10,XS_10,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_24,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_24,True,,XS_10,XS_10,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_25,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_25,False,,XS_10,XS_10,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_26,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_26,False,,XS_10,XS_10,1.0,,,,,1,serious,,,,,
d_ex_maidcafe_05_27,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_27,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,,
d_ex_maidcafe_05_28,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_28,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,
d_ex_maidcafe_05_29,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_29,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,,
d_ex_maidcafe_05_30,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_30,True,,XS_10,1,1.0,,,,,1,sad,,,,,
d_ex_maidcafe_05_31,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_31,True,,1,1,1.0,,,,,1,sad,,,,,
d_ex_maidcafe_05_32,d_ex_maidcafe_05,Choice,,,Locale_SuddenStory:d_ex_maidcafe_05_32,False,,1,1,1.0,,d_ex_maidcafe_05_34,,,1,sad,,,,,
d_ex_maidcafe_05_33,d_ex_maidcafe_05,Choice,,,Locale_SuddenStory:d_ex_maidcafe_05_33,False,,1,1,1.0,,d_ex_maidcafe_05_34,,,1,sad,,,,,
d_ex_maidcafe_05_34,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_34,False,,1,XS_10,1.0,,,,,1,sad,,,,,
d_ex_maidcafe_05_35,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_35,False,,XS_10,XS_10,1.0,,,,,1,sad,,,,,
d_ex_maidcafe_05_36,d_ex_maidcafe_05,Narration,,,Locale_SuddenStory:d_ex_maidcafe_05_36,False,,XS_10,XS_10,1.0,,,sfx_scn_toyshopbell,,1,sad,,,,,
d_ex_maidcafe_05_37,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_37,True,,XS_10,130,1.0,,,,,1,sad,,rosanna,13,idle,
d_ex_maidcafe_05_38,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_38,False,,130,130,1.0,,,,,1,sad,,,13,idle,
d_ex_maidcafe_05_39,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_39,True,,130,130,1.0,,,,,1,sad,,,13,idle,
d_ex_maidcafe_05_40,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_40,True,,XS_10,XS_10,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_41,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_41,True,,XS_10,XS_10,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_42,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_42,False,,XS_10,XS_10,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_43,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_43,False,,XS_10,XS_10,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_44,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_44,True,,XS_10,XS_100,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_45,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_45,False,,XS_100,XS_100,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_46,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_46,False,,XS_100,XS_100,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_47,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_47,False,,XS_100,XS_100,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_48,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_48,False,,XS_100,113,2.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_49,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_49,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_50,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_50,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_51,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_51,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_52,d_ex_maidcafe_05,Narration,,,Locale_SuddenStory:d_ex_maidcafe_05_52,False,,113,XS_10,2.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_53,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_53,False,,XS_10,XS_10,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_54,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_54,True,,130,130,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_55,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_55,True,,XS_10,XS_10,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_56,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_56,True,,XS_10,XS_10,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_57,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_57,True,,XS_10,XS_10,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_58,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_58,False,,XS_10,XS_10,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_59,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_59,True,,XS_10,XS_10,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_60,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_60,True,,130,130,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_61,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_61,True,,XS_10,XS_10,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_62,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_62,True,,XS_10,XS_10,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_63,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_63,True,,XS_10,XS_10,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_64,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_64,True,,XS_10,XS_10,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_65,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_65,True,,130,130,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_66,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_66,True,,130,130,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_67,d_ex_maidcafe_05,Narration,,,Locale_SuddenStory:d_ex_maidcafe_05_67,False,,XS_10,XS_100,2.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_68,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_68,False,,XS_100,XS_100,1.0,,,,,1,serious,,,13,idle,
