id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,set_filter_01,fade,set_filter_02,characters/1/hide_char_id
d_main_15_05_1,d_main_15_05,Speech,anis,anis,Locale_MainScenario:d_main_15_05_1,True,rapi,6,idle,neon,4,idle,anis,2,worry,rupee,12,idle,dolla,14,idle,yan,16,idle,CityForest_03,2,2,1.0,bgm_enemyclose,,,,,,,,,
d_main_15_05_2,d_main_15_05,Speech,anis,anis,Locale_MainScenario:d_main_15_05_2,True,,6,idle,,4,idle,,2,worry,,12,idle,,14,idle,,16,idle,,2,2,1.0,,,,,,,,,,
d_main_15_05_3,d_main_15_05,Speech,neon,neon,Locale_MainScenario:d_main_15_05_3,True,,6,idle,,4,worry,,2,worry,,12,idle,,14,idle,,16,idle,,2,3,1.0,,,,,,,,,,
d_main_15_05_4,d_main_15_05,Speech,anis,anis,Locale_MainScenario:d_main_15_05_4,True,,6,idle,,4,idle,,2,worry,,12,idle,,14,idle,,16,idle,,3,3,1.0,,,,,,,,,,
d_main_15_05_5,d_main_15_05,Speech,yan,yan,Locale_MainScenario:d_main_15_05_5,False,,6,idle,,4,idle,,2,worry,,12,idle,,14,idle,,16,sad,,16,16,1.0,,,,,,,,,,
d_main_15_05_6,d_main_15_05,Speech,yan,yan,Locale_MainScenario:d_main_15_05_6,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,no,,16,16,0.5,,,,,,,,,,
d_main_15_05_7,d_main_15_05,Speech,dolla,dolla,Locale_MainScenario:d_main_15_05_7,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,good,,16,no,,16,15,0.5,,,,,,,,,,
d_main_15_05_8,d_main_15_05,Speech,dolla,dolla,Locale_MainScenario:d_main_15_05_8,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,good,,16,no,,15,15,1.0,,,,,,,,,,
d_main_15_05_9,d_main_15_05,Speech,dolla,dolla,Locale_MainScenario:d_main_15_05_9,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,no,,15,S_140,1.0,,,,,,,,,,
d_main_15_05_10,d_main_15_05,Speech,dolla,dolla,Locale_MainScenario:d_main_15_05_10,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,"expression_0,angry",,16,no,,S_140,S_140,1.0,,,,,,,,,,
d_main_15_05_11,d_main_15_05,Speech,dolla,dolla,Locale_MainScenario:d_main_15_05_11,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,no,,S_140,S_140,1.0,,,,,,,,,,
d_main_15_05_12,d_main_15_05,Self,dolla,Self,Locale_MainScenario:d_main_15_05_12,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,idle,,S_140,S_140,1.0,,,,,,,,,,
d_main_15_05_13,d_main_15_05,Speech,dolla,dolla,Locale_MainScenario:d_main_15_05_13,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,S_140,S_140,1.0,,,,,,,,,,
d_main_15_05_14,d_main_15_05,Speech,dolla,dolla,Locale_MainScenario:d_main_15_05_14,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_140,S_140,1.0,,,,,,,,,,
d_main_15_05_15,d_main_15_05,Speech,dolla,dolla,Locale_MainScenario:d_main_15_05_15,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_140,S_140,1.0,,,,,,,,,,
d_main_15_05_16,d_main_15_05,Speech,dolla,dolla,Locale_MainScenario:d_main_15_05_16,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_140,14,2.0,,,,,,,,,,
d_main_15_05_17,d_main_15_05,Self,,Self,Locale_MainScenario:d_main_15_05_17,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,14,14,1.0,none,,,,,,,,,
d_main_15_05_18,d_main_15_05,Speech,neon,neon,Locale_MainScenario:d_main_15_05_18,True,,6,idle,,4,worry,,2,idle,,12,idle,,14,idle,,16,idle,CityForest_01,4,4,1.0,bgm_story_sunshinesorrow,rapi,anis,rupee,dolla,yan,Grey,black,,
d_main_15_05_19,d_main_15_05,Speech,neon,neon,Locale_MainScenario:d_main_15_05_19,True,,6,idle,,4,worry,,,,,12,idle,,14,idle,,16,idle,,4,S_40,1.0,,,,,,,Grey,,,
d_main_15_05_20,d_main_15_05,Speech,neon,neon,Locale_MainScenario:d_main_15_05_20,True,,6,idle,,4,angry,,,,,12,idle,,14,idle,,16,idle,,S_40,S_400,0.5,,,,,,,Grey,,,
d_main_15_05_21,d_main_15_05,Speech,neon,neon,Locale_MainScenario:d_main_15_05_21,True,,6,idle,,4,angry,,,,,12,idle,,14,idle,,16,idle,,S_400,S_400,1.0,,,,,,,Grey,,,
d_main_15_05_22,d_main_15_05,Speech,neon,neon,Locale_MainScenario:d_main_15_05_22,True,,6,idle,,4,angry,,,,,12,idle,,14,idle,,16,idle,White,S_400,S_40,4.0,,,,,,,Grey,,Blur_Low,
d_main_15_05_23,d_main_15_05,Speech,neon,neon,Locale_MainScenario:d_main_15_05_23,True,,6,idle,,4,angry,,,,,12,idle,,14,idle,,16,idle,,S_40,4,3.0,,,,,,,Grey,,Blur_Middle,
d_main_15_05_24,d_main_15_05,Speech,anis,anis,Locale_MainScenario:d_main_15_05_24,True,,6,idle,,4,angry,anis,2,angry,,12,idle,,14,idle,,16,idle,,2,200,5.0,,,,,,,Grey,,Blur_Low,neon
d_main_15_05_25,d_main_15_05,Self,,Self,Locale_MainScenario:d_main_15_05_25,False,rapi,6,idle,neon,4,idle,,2,idle,rupee,12,idle,dolla,14,idle,yan,16,idle,CityForest_03,black,black,1.0,none,,,,,,,,,
d_main_15_05_26,d_main_15_05,Speech,dolla,dolla,Locale_MainScenario:d_main_15_05_26,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,surprise,,16,idle,,S_140,S_140,1.0,,,,,,,,,,
d_main_15_05_27,d_main_15_05,Self,dolla,Self,Locale_MainScenario:d_main_15_05_27,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,surprise,,16,idle,,S_140,S_140,1.0,,,,,,,,,,
