id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_36_02_1,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_1,True,Bog,1,1,1.0,bgm_chapter36_field_deals,,,grave_p,2,idle,,cinderella,12,idle,,,,,,,,,,,,,
d_main_36_02_2,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_2,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_3,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_3,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_4,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_4,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_5,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_5,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_6,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_6,False,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_7,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_7,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_8,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_8,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_9,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_9,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_10,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_10,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_11,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_11,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_12,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_12,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_13,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_13,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_14,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_14,False,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_15,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_15,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_16,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_16,True,,1,1,1.0,,,,,2,idle,,,12,surprise,,,,,,,,,,,,,
d_main_36_02_17,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_17,True,,1,1,1.0,,,,,2,idle,,,12,surprise,,,,,,,,,,,,,
d_main_36_02_18,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_18,False,,1,1,1.0,,,,,2,idle,,,12,angry,,,,,,,,,,,,,
d_main_36_02_19,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_19,True,,1,1,1.0,,,,,2,idle,,,12,angry,,,,,,,,,,,,,
d_main_36_02_20,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_20,True,,1,1,1.0,,,,,2,idle,,,12,angry,,,,,,,,,,,,,
d_main_36_02_21,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_21,True,,1,1,1.0,,,,,2,idle,,,12,angry,,,,,,,,,,,,,
d_main_36_02_22,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_22,True,,1,1,1.0,,,,,2,idle,,,12,angry,,,,,,,,,,,,,
d_main_36_02_23,d_main_36_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_02_23,True,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
d_main_36_02_24,d_main_36_02,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_02_24,False,,1,1,1.0,,,,,2,idle,,,12,idle,,,,,,,,,,,,,
