id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/0/hide_char_id,characters/5/hide_char_id,characters/4/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
d_main_40_04_1,d_main_40_04,Monologue,Locale_MainScenario:d_main_40_04_1,False,nayuta_n,7,idle,rapi_red,5,idle,maxwell_p,3,worry,laplace_p,1,idle,drake_p,13,idle,RaptilionHouse,black,black,1.0,bgm_chapter40_field_turningpoint,,,,,,,,,,,,,
d_main_40_04_2,d_main_40_04,Speech,Locale_MainScenario:d_main_40_04_2,True,,7,idle,,5,idle,,3,worry,,1,idle,,13,idle,,L_300,L_30,1.0,,maxwell_p,maxwell_p,,,,,,,,,,,
d_main_40_04_3,d_main_40_04,Speech,Locale_MainScenario:d_main_40_04_3,True,,7,idle,,5,idle,,3,worry,,1,idle,,13,idle,,70,70,1.0,,nayuta_n,nayuta_n,,,,,,,,,,,
d_main_40_04_4,d_main_40_04,Speech,Locale_MainScenario:d_main_40_04_4,True,,7,idle,,5,idle,,3,worry,,1,idle,,13,idle,,70,50,1.0,,rapi_red,rapi_red,,,,,,,,,,,
d_main_40_04_5,d_main_40_04,Self,Locale_MainScenario:d_main_40_04_5,False,,7,idle,,5,idle,,3,worry,,1,idle,,13,idle,,50,50,1.0,,rapi_red,,,,,,,,,,,,
d_main_40_04_6,d_main_40_04,Speech,Locale_MainScenario:d_main_40_04_6,True,,7,idle,,5,idle,,3,worry,,1,idle,,13,idle,,S_10,S_10,1.0,,laplace_p,laplace_p,,,,,,,,,,,
d_main_40_04_7,d_main_40_04,Speech,Locale_MainScenario:d_main_40_04_7,True,,7,idle,,5,idle,,3,worry,,1,idle,,13,delight,,S_10,113,1.0,,drake_p,drake_p,,,,,,,,,,,
d_main_40_04_8,d_main_40_04,Speech,Locale_MainScenario:d_main_40_04_8,True,,7,idle,,5,idle,,3,worry,,1,rage_02,,13,delight,,113,113,1.0,,laplace_p,laplace_p,,,,,,,,,,,
d_main_40_04_9,d_main_40_04,Speech,Locale_MainScenario:d_main_40_04_9,True,,7,idle,,5,idle,,3,worry,,1,rage_02,,13,delight,,113,113,1.0,,drake_p,drake_p,,,,,,,,,,,
d_main_40_04_10,d_main_40_04,Speech,Locale_MainScenario:d_main_40_04_10,True,,7,idle,,5,idle,,3,worry,,1,rage_02,,13,delight,,113,113,1.0,,laplace_p,laplace_p,,,,,,,,,,,
