id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_02af_03_1,d_main_02af_03,Speech,neon,neon,Locale_MainScenario:d_main_02af_03_1,True,NikkeRoom,19,31,1.0,bgm_story_languor,,,anis,1,void,neon,3,idle
d_main_02af_03_2,d_main_02af_03,Speech,anis,anis,Locale_MainScenario:d_main_02af_03_2,True,,31,31,1.0,,,,,1,void,,3,idle
d_main_02af_03_3,d_main_02af_03,Speech,neon,neon,Locale_MainScenario:d_main_02af_03_3,True,,31,31,1.0,,,,,1,void,,3,idle
d_main_02af_03_4,d_main_02af_03,Speech,anis,anis,Locale_MainScenario:d_main_02af_03_4,True,,31,31,1.0,,,,,1,void,,3,idle
d_main_02af_03_5,d_main_02af_03,Speech,neon,neon,Locale_MainScenario:d_main_02af_03_5,True,,31,31,1.0,,,,,1,void,,3,idle
d_main_02af_03_6,d_main_02af_03,Speech,neon,neon,Locale_MainScenario:d_main_02af_03_6,True,,31,S_30,1.0,,,,,1,void,,3,idle
d_main_02af_03_7,d_main_02af_03,Speech,anis,anis,Locale_MainScenario:d_main_02af_03_7,True,,S_30,S_30,1.0,,,,,1,void,,3,idle
d_main_02af_03_8,d_main_02af_03,Speech,neon,neon,Locale_MainScenario:d_main_02af_03_8,True,,S_30,S_300,0.5,,,,,1,void,,3,delight
d_main_02af_03_9,d_main_02af_03,Narration,Narration,Narration,Locale_MainScenario:d_main_02af_03_9,True,,S_300,31,1.0,,,,,1,void,,7,delight
d_main_02af_03_10,d_main_02af_03,Narration,Narration,Narration,Locale_MainScenario:d_main_02af_03_10,True,,31,31,1.0,,sfx_scn_showerlever,,,1,void,,7,idle
d_main_02af_03_11,d_main_02af_03,Narration,Narration,Narration,Locale_MainScenario:d_main_02af_03_11,False,,31,31,1.0,,,,,1,void,,7,idle
d_main_02af_03_12,d_main_02af_03,Speech,neon,neon,Locale_MainScenario:d_main_02af_03_12,True,,31,31,1.0,,,Low_2,,1,void,,7,idle
d_main_02af_03_13,d_main_02af_03,Speech,anis,anis,Locale_MainScenario:d_main_02af_03_13,False,,31,10,1.0,,,,,1,no,,7,idle
d_main_02af_03_14,d_main_02af_03,Speech,neon,neon,Locale_MainScenario:d_main_02af_03_14,True,,10,31,1.0,,,,,1,void,,3,idle
d_main_02af_03_15,d_main_02af_03,Speech,anis,anis,Locale_MainScenario:d_main_02af_03_15,True,,31,31,1.0,,,,,1,void,,3,idle
d_main_02af_03_16,d_main_02af_03,Speech,neon,neon,Locale_MainScenario:d_main_02af_03_16,True,,31,31,1.0,,,,,1,void,,3,idle
d_main_02af_03_17,d_main_02af_03,Speech,neon,neon,Locale_MainScenario:d_main_02af_03_17,True,,31,31,1.0,,,,,1,void,,3,idle
d_main_02af_03_18,d_main_02af_03,Self,Self,Self,Locale_MainScenario:d_main_02af_03_18,True,,31,31,1.0,,,,,1,void,,3,idle
d_main_02af_03_19,d_main_02af_03,Speech,neon,neon,Locale_MainScenario:d_main_02af_03_19,True,,S_30,S_30,1.0,,,,,1,void,,3,no
d_main_02af_03_20,d_main_02af_03,Speech,anis,anis,Locale_MainScenario:d_main_02af_03_20,True,,10,10,1.0,,,,,1,void,,3,no
d_main_02af_03_24,d_main_02af_03,Self,anis,Self,Locale_MainScenario:d_main_02af_03_24,True,,10,10,1.0,,,,,1,void,,3,idle
d_main_02af_03_25,d_main_02af_03,Speech,anis,anis,Locale_MainScenario:d_main_02af_03_25,True,,10,10,1.0,,,,,1,void,,3,idle
d_main_02af_03_26,d_main_02af_03,Speech,anis,anis,Locale_MainScenario:d_main_02af_03_26,True,,10,100,2.0,,,,,1,angry,,3,idle
d_main_02af_03_27,d_main_02af_03,Speech,anis,anis,Locale_MainScenario:d_main_02af_03_27,True,,100,100,1.0,,,,,1,angry,,3,idle
