id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_workshop_05_1,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_1,True,Workshop,XS_10,XS_100,0.6,bgm_story_herecomestrouble,,,rei,1,cry,,,
d_ex_workshop_05_2,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_2,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_3,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_3,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_4,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_4,False,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_5,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_5,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_6,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_6,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_7,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_7,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_8,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_8,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_9,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_9,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_10,d_ex_workshop_05,Self,rei,,Locale_SuddenStory:d_ex_workshop_05_10,False,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_11,d_ex_workshop_05,Monologue,rei,,Locale_SuddenStory:d_ex_workshop_05_11,False,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_12,d_ex_workshop_05,Monologue,rei,,Locale_SuddenStory:d_ex_workshop_05_12,False,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_13,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_13,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_14,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_14,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_15,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_15,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_16,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_16,False,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_17,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_17,True,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_18,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_18,False,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_19,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_19,False,,XS_100,XS_100,1.0,,,,,1,cry,,,
d_ex_workshop_05_20,d_ex_workshop_05,Monologue,rei,,Locale_SuddenStory:d_ex_workshop_05_20,False,,XS_100,XS_100,1.0,,,,,1,cry,,,
