id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_main_07_02_1,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_1,True,IceLand_01,1,1,1.0,bgm_story_thepilgrim,,snowwhite,1,idle,
d_main_07_02_2,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_2,True,,1,1,1.0,,,,1,idle,
d_main_07_02_3,d_main_07_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07_02_3,False,,1,1,1.0,,,,1,idle,
d_main_07_02_4,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_4,True,,1,10,1.0,,,,1,idle,
d_main_07_02_5,d_main_07_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07_02_5,True,,10,10,1.0,,,,1,idle,
d_main_07_02_6,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_6,False,,10,10,1.0,,,,1,idle,
d_main_07_02_7,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_7,True,,10,1,1.0,,,,1,idle,
d_main_07_02_8,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_8,True,,1,1,1.0,,,,1,idle,
d_main_07_02_9,d_main_07_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07_02_9,True,,1,1,1.0,,,,1,idle,
d_main_07_02_10,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_10,True,,1,10,1.0,,,,1,idle,
d_main_07_02_11,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_11,True,,10,10,1.0,,,,1,idle,snowwhite
d_main_07_02_12,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_12,True,RuinIndoor,1,1,1.0,,black,snowwhite,1,idle,
d_main_07_02_13,d_main_07_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07_02_13,True,,1,1,1.0,,,,1,idle,
d_main_07_02_14,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_14,True,,1,1,1.0,,,,1,idle,
d_main_07_02_15,d_main_07_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07_02_15,True,,1,1,1.0,,,,1,idle,
d_main_07_02_16,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_16,True,,1,10,1.0,,,,1,idle,
d_main_07_02_17,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_17,True,,10,10,1.0,,,,1,idle,
d_main_07_02_18,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_18,True,,10,100,1.0,,,,1,idle,
d_main_07_02_19,d_main_07_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07_02_19,True,,100,100,1.0,,,,1,idle,
d_main_07_02_20,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_20,True,,100,10,1.0,,,,1,idle,
d_main_07_02_21,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_21,True,,10,10,1.0,,,,1,idle,
d_main_07_02_22,d_main_07_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07_02_22,True,,10,10,1.0,,,,1,idle,
d_main_07_02_23,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_23,True,,10,1,1.0,,,,1,idle,
d_main_07_02_24,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_24,False,,1,1,1.0,,,,1,idle,
d_main_07_02_25,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_25,True,,1,1,1.0,,,,1,idle,
d_main_07_02_26,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_26,True,,1,1,1.0,,,,1,idle,
d_main_07_02_27,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_27,True,,1,1,1.0,,,,1,idle,
d_main_07_02_28,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_28,True,,1,1,1.0,,,,1,idle,
d_main_07_02_29,d_main_07_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07_02_29,True,,1,1,1.0,,,,1,idle,
d_main_07_02_30,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_30,True,,1,10,1.0,,,,1,idle,
d_main_07_02_31,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_31,True,,10,100,1.0,,,,1,idle,
d_main_07_02_32,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_32,False,,100,100,1.0,,,,1,idle,
d_main_07_02_33,d_main_07_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_02_33,True,,100,1,2.0,,,,1,idle,
