id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_trainstation_03_1,d_ex_trainstation_03,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_trainstation_03_1,True,Station,1,1,1.0,sfx_scn_autodooropen,bgm_story_orangepop,,,maxwell,1,delight,,,,,,,
d_ex_trainstation_03_2,d_ex_trainstation_03,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_trainstation_03_2,True,,1,1,1.0,,,,,,1,idle,,,,,,,
d_ex_trainstation_03_3,d_ex_trainstation_03,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_trainstation_03_3,True,,1,1,1.0,,,,,,1,idle,,,,,,,
d_ex_trainstation_03_4,d_ex_trainstation_03,Self,,,Locale_SuddenStory:d_ex_trainstation_03_4,False,,1,1,1.0,,,,,,1,idle,,,,,,,
d_ex_trainstation_03_5,d_ex_trainstation_03,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_trainstation_03_5,True,Elevator,1,3,1.0,,,,,,3,idle,,,,,,,
d_ex_trainstation_03_6,d_ex_trainstation_03,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_trainstation_03_6,True,,3,3,1.0,,,,,,3,delight,,,,,,,
d_ex_trainstation_03_7,d_ex_trainstation_03,Self,,,Locale_SuddenStory:d_ex_trainstation_03_7,False,,3,3,1.0,,,,,,3,delight,,,,,,,
d_ex_trainstation_03_8,d_ex_trainstation_03,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_trainstation_03_8,True,,3,3,1.0,,,,,,3,delight,,,,,,,
d_ex_trainstation_03_9,d_ex_trainstation_03,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_trainstation_03_9,True,,3,30,1.0,,,,,,3,idle,,,,,,,
d_ex_trainstation_03_10,d_ex_trainstation_03,Monologue,,,Locale_SuddenStory:d_ex_trainstation_03_10,False,,30,30,1.0,,,,,,3,idle,,,,,,,
d_ex_trainstation_03_11,d_ex_trainstation_03,Narration,,,Locale_SuddenStory:d_ex_trainstation_03_11,False,,30,30,1.0,sfx_scn_autodooropen,,,,,3,idle,,,,,,,
d_ex_trainstation_03_12,d_ex_trainstation_03,Monologue,,,Locale_SuddenStory:d_ex_trainstation_03_12,False,,30,30,1.0,,,,,,3,idle,,,,,,,
d_ex_trainstation_03_13,d_ex_trainstation_03,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_trainstation_03_13,True,,30,30,1.0,,,,,,3,idle,,,,,,,
d_ex_trainstation_03_14,d_ex_trainstation_03,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_trainstation_03_14,True,,30,300,1.0,,,,,,3,shy,,,,,,,
