id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_28_02_1,d_main_28_02,Speech,anis,anis,Locale_MainScenario:d_main_28_02_1,True,neon,3,idle,anis,1,void,rapi,13,idle,CrystalCity,1,10,1.0,bgm_distress,,,,
d_main_28_02_2,d_main_28_02,Self,anis,,Locale_MainScenario:d_main_28_02_2,False,,3,idle,,1,void,,13,idle,,10,10,1.0,,,,,
d_main_28_02_3,d_main_28_02,Speech,anis,anis,Locale_MainScenario:d_main_28_02_3,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,,,
d_main_28_02_4,d_main_28_02,Speech,anis,anis,Locale_MainScenario:d_main_28_02_4,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,,,
d_main_28_02_5,d_main_28_02,Self,anis,,Locale_MainScenario:d_main_28_02_5,False,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,,,
d_main_28_02_6,d_main_28_02,Speech,anis,anis,Locale_MainScenario:d_main_28_02_6,False,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,,,
d_main_28_02_7,d_main_28_02,Speech,anis,anis,Locale_MainScenario:d_main_28_02_7,True,,3,idle,,1,sad,,13,idle,,10,10,1.0,,,,,
d_main_28_02_8,d_main_28_02,Self,anis,,Locale_MainScenario:d_main_28_02_8,False,,3,idle,,1,sad,,13,idle,,10,10,1.0,,,,,
d_main_28_02_9,d_main_28_02,Speech,neon,neon,Locale_MainScenario:d_main_28_02_9,True,,3,worry,,1,worry,,13,idle,,10,2,1.0,,,,,
d_main_28_02_10,d_main_28_02,Speech,neon,neon,Locale_MainScenario:d_main_28_02_10,True,,3,worry,,1,worry,,13,idle,,2,2,1.0,,,,,
d_main_28_02_11,d_main_28_02,Speech,neon,neon,Locale_MainScenario:d_main_28_02_11,True,,3,worry,,1,worry,,13,idle,,2,2,1.0,,,,,
d_main_28_02_12,d_main_28_02,Speech,neon,neon,Locale_MainScenario:d_main_28_02_12,True,,3,idle,,1,worry,,13,idle,,2,2,1.0,,,,,
