id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_17_09_1,d_main_17_09,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_09_1,True,IceLand_n,30,30,1.0,bgm_story_thepilgrim,hongryeon,3,delight,,snowwhite,1,idle,,rapunzel,13,idle,anis,15,idle,neon,17,idle,rapi,19,idle
d_main_17_09_2,d_main_17_09,Self,hongryeon,,Locale_MainScenario:d_main_17_09_2,False,,30,30,1.0,,,3,delight,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_3,d_main_17_09,Speech,rapi,rapi,Locale_MainScenario:d_main_17_09_3,False,,190,190,1.0,,,3,delight,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_4,d_main_17_09,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_09_4,True,,30,30,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_5,d_main_17_09,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_09_5,True,,30,30,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_6,d_main_17_09,Self,hongryeon,,Locale_MainScenario:d_main_17_09_6,False,,30,30,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_7,d_main_17_09,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_09_7,True,,30,3,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_8,d_main_17_09,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_09_8,True,,3,3,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_9,d_main_17_09,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_09_9,True,,3,3,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_10,d_main_17_09,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_09_10,True,,13,13,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_11,d_main_17_09,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_09_11,True,,3,3,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_12,d_main_17_09,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_09_12,True,,3,30,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_13,d_main_17_09,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_09_13,True,,30,30,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_14,d_main_17_09,Self,hongryeon,,Locale_MainScenario:d_main_17_09_14,False,,30,30,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_15,d_main_17_09,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_09_15,True,,30,30,1.0,,,3,idle,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_16,d_main_17_09,Narration,hongryeon,,Locale_MainScenario:d_main_17_09_16,False,,30,30,1.0,,,3,idle,hongryeon,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_17,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_17,True,,30,1,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_18,d_main_17_09,Speech,anis,anis,Locale_MainScenario:d_main_17_09_18,True,,1517,1517,1.0,,,,,,,1,idle,,,13,idle,,15,angry,,17,angry,,19,idle
d_main_17_09_19,d_main_17_09,Speech,neon,neon,Locale_MainScenario:d_main_17_09_19,True,,1517,1517,1.0,,,,,,,1,idle,,,13,idle,,15,angry,,17,angry,,19,idle
d_main_17_09_20,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_20,True,,1,1,1.0,,,,,,,1,idle,,,13,idle,,15,angry,,17,angry,,19,idle
d_main_17_09_21,d_main_17_09,Self,snowwhite,,Locale_MainScenario:d_main_17_09_21,False,,1,1,1.0,,,,,,,1,idle,,,13,idle,,15,angry,,17,angry,,19,idle
d_main_17_09_22,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_22,True,,1,L_10,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_23,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_23,True,,L_10,L_10,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_24,d_main_17_09,Self,snowwhite,,Locale_MainScenario:d_main_17_09_24,False,,L_10,L_10,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_25,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_25,True,,L_10,L_10,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_26,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_26,True,,L_10,L_100,0.5,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_27,d_main_17_09,Speech,rapi,rapi,Locale_MainScenario:d_main_17_09_27,False,,1900,1900,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_28,d_main_17_09,Speech,neon,neon,Locale_MainScenario:d_main_17_09_28,True,,S_1700,S_1700,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,worry,,19,idle
d_main_17_09_29,d_main_17_09,Speech,anis,anis,Locale_MainScenario:d_main_17_09_29,True,,1500,1500,1.0,,,,,,,1,idle,,,13,idle,,15,worry,,17,worry,,19,idle
d_main_17_09_30,d_main_17_09,Self,anis,,Locale_MainScenario:d_main_17_09_30,False,,L_100,L_100,1.0,,,,,,,1,idle,,,13,idle,,15,worry,,17,idle,,19,idle
d_main_17_09_31,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_31,True,,L_100,L_100,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_32,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_32,True,,L_100,L_100,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_33,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_33,True,,L_100,L_100,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_34,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_34,True,,L_100,L_10,1.0,,,,,,,1,idle,,,13,idle,,15,idle,,17,idle,,19,idle
d_main_17_09_35,d_main_17_09,Speech,anis,anis,Locale_MainScenario:d_main_17_09_35,True,,150,150,1.0,,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_main_17_09_36,d_main_17_09,Speech,anis,anis,Locale_MainScenario:d_main_17_09_36,True,,150,150,1.0,,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_main_17_09_37,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_37,True,,L_10,L_10,1.0,,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_main_17_09_38,d_main_17_09,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_09_38,False,,L_10,L_10,1.0,,,,,,,1,pain,,,13,idle,,15,idle,,17,idle,,19,idle
