id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake
d_main_35_01_1,d_main_35_01,Speech,laplace,laplace,Locale_MainScenario:d_main_35_01_1,True,laplace,5,idle,drake,3,idle,maxwell,1,idle_02,rapi_red,13,idle,cinderella,17,idle,grave_p,19,idle,Bog,4,4,1.0,bgm_chapter35_field_swamp_a,,
d_main_35_01_2,d_main_35_01,Speech,laplace,laplace,Locale_MainScenario:d_main_35_01_2,True,,5,idle,,3,idle,,1,idle_02,,13,idle,,17,idle,,19,idle,,4,4,1.0,,,
d_main_35_01_3,d_main_35_01,Speech,drake,drake,Locale_MainScenario:d_main_35_01_3,True,,5,idle,,3,idle,,1,idle_02,,13,idle,,17,idle,,19,idle,,4,4,1.0,,,
d_main_35_01_4,d_main_35_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_35_01_4,True,,5,idle,,3,idle,,1,idle_02,,13,idle,,17,idle,,19,idle,,4,12,1.0,,,
d_main_35_01_5,d_main_35_01,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_01_5,True,,5,idle,,3,idle,,1,idle_02,,13,idle,,17,idle,,19,idle,,12,12,1.0,,,
d_main_35_01_6,d_main_35_01,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_01_6,True,,5,idle,,3,idle,,1,idle_02,,13,idle,,17,idle,,19,idle,,12,12,1.0,,,
d_main_35_01_7,d_main_35_01,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_01_7,True,,5,idle,,3,idle,,1,idle_02,,13,idle,,17,idle,,19,idle,,12,12,1.0,,,
d_main_35_01_8,d_main_35_01,Speech,drake,drake,Locale_MainScenario:d_main_35_01_8,True,,5,idle,,3,angry,,1,idle_02,,13,idle,,17,idle,,19,idle,,30,30,1.0,,,
d_main_35_01_9,d_main_35_01,Speech,drake,drake,Locale_MainScenario:d_main_35_01_9,True,,5,idle,,3,angry,,1,idle_02,,13,idle,,17,idle,,19,idle,,30,30,1.0,,,
d_main_35_01_10,d_main_35_01,Self,drake,,Locale_MainScenario:d_main_35_01_10,False,,5,idle,,3,angry,,1,idle_02,,13,idle,,17,idle,,19,idle,,30,30,1.0,,,
