id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_toyshop_11_1,d_ex_toyshop_11,Narration,mica,Locale_SuddenStory:d_ex_toyshop_11_1,False,ToyShop,black,black,1.0,sfx_scn_toyshopbell,bgm_story_daytoday,,,,,,mica,13,delight,
d_ex_toyshop_11_2,d_ex_toyshop_11,Speech,mica,Locale_SuddenStory:d_ex_toyshop_11_2,True,,XS_1300,XS_130,0.5,,,mica,,,,,,13,delight,
d_ex_toyshop_11_3,d_ex_toyshop_11,Self,mica,Locale_SuddenStory:d_ex_toyshop_11_3,False,,XS_130,XS_130,1.0,,,,,,,,,13,delight,
d_ex_toyshop_11_4,d_ex_toyshop_11,Speech,mica,Locale_SuddenStory:d_ex_toyshop_11_4,True,,XS_130,XS_130,1.0,,,mica,,,,,,13,idle,
d_ex_toyshop_11_5,d_ex_toyshop_11,Speech,mica,Locale_SuddenStory:d_ex_toyshop_11_5,True,,XS_130,XS_130,1.0,,,mica,,,,,,13,idle,
d_ex_toyshop_11_6,d_ex_toyshop_11,Self,mica,Locale_SuddenStory:d_ex_toyshop_11_6,False,,XS_130,XS_130,1.0,,,,,,,,,13,idle,
d_ex_toyshop_11_7,d_ex_toyshop_11,Speech,mica,Locale_SuddenStory:d_ex_toyshop_11_7,True,,XS_130,XS_130,1.0,,,mica,,,,,,13,delight,
d_ex_toyshop_11_8,d_ex_toyshop_11,Speech,mica,Locale_SuddenStory:d_ex_toyshop_11_8,True,,XS_130,XS_130,1.0,,,mica,,,,,,13,delight,
d_ex_toyshop_11_9,d_ex_toyshop_11,Narration,mica,Locale_SuddenStory:d_ex_toyshop_11_9,False,,black,black,1.0,sfx_scn_toyshopbell,,,,,,,,13,delight,
d_ex_toyshop_11_10,d_ex_toyshop_11,Speech,mica,Locale_SuddenStory:d_ex_toyshop_11_10,True,,XS_130,13,1.0,,,mica,,,,,,13,idle,
d_ex_toyshop_11_11,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_11,True,,13,113,1.0,,,sora,,sora,1,idle,,13,idle,
d_ex_toyshop_11_12,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_12,True,,113,113,1.0,,,sora,,,1,idle,,13,idle,
d_ex_toyshop_11_13,d_ex_toyshop_11,Speech,mica,Locale_SuddenStory:d_ex_toyshop_11_13,True,,113,113,1.0,,,mica,,,1,idle,,13,delight,
d_ex_toyshop_11_14,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_14,True,,113,113,1.0,,,sora,,,1,idle,,13,delight,
d_ex_toyshop_11_15,d_ex_toyshop_11,Speech,mica,Locale_SuddenStory:d_ex_toyshop_11_15,True,,113,113,1.0,,,mica,,,1,idle,,13,idle,
d_ex_toyshop_11_16,d_ex_toyshop_11,Monologue,sora,Locale_SuddenStory:d_ex_toyshop_11_16,False,,113,113,1.0,,,,,,1,idle,,13,idle,
d_ex_toyshop_11_17,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_17,True,,113,113,1.0,,,sora,,,1,idle,,13,idle,
d_ex_toyshop_11_18,d_ex_toyshop_11,Self,sora,Locale_SuddenStory:d_ex_toyshop_11_18,False,,113,113,1.0,,,,,,1,idle,,13,idle,
d_ex_toyshop_11_19,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_19,True,,113,1,1.0,,,sora,,,1,idle,,13,idle,
d_ex_toyshop_11_20,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_20,True,,1,1,1.0,,,sora,,,1,idle,,13,idle,
d_ex_toyshop_11_21,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_21,True,,1,10,1.0,,,sora,,,1,idle,,13,idle,
d_ex_toyshop_11_22,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_22,True,,10,10,1.0,,,sora,,,1,idle,,13,idle,
d_ex_toyshop_11_23,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_23,True,,10,10,1.0,,,sora,,,1,idle,,13,idle,
d_ex_toyshop_11_24,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_24,True,,10,10,1.0,,,sora,,,1,idle,,13,idle,
d_ex_toyshop_11_25,d_ex_toyshop_11,Speech,sora,Locale_SuddenStory:d_ex_toyshop_11_25,True,,10,10,1.0,,,sora,,,1,idle,,13,idle,
