id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
d_main_40_af_03_1,d_main_40_af_03,Narration,Locale_MainScenario:d_main_40_af_03_1,False,Corridor,black,black,1.0,none,,,,,neon,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_2,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_2,True,,S_100,S_100,1.0,,neon,neon,,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_3,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_3,True,,S_100,S_100,1.0,,neon,neon,,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_4,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_4,True,,S_100,S_10,0.5,,neon,neon,,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_5,d_main_40_af_03,Narration,Locale_MainScenario:d_main_40_af_03_5,False,,black,black,1.0,,neon,,sfx_scn_hugetorsohit,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_6,d_main_40_af_03,Narration,Locale_MainScenario:d_main_40_af_03_6,False,ArkCleanIndoor,black,black,1.0,,neon,,,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_7,d_main_40_af_03,Narration,Locale_MainScenario:d_main_40_af_03_7,False,,black,black,1.0,,neon,,,,,1,no,,mrsmiss,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_8,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_8,True,,1300,130,1.0,bgm_story_mightfeel,mrsmiss,mrsmiss,,,,1,no,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_9,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_9,True,,130,113,1.0,,neon,neon,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_10,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_10,True,,113,113,1.0,,mrsmiss,mrsmiss,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_11,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_11,True,,113,113,1.0,,neon,neon,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_12,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_12,True,,113,113,1.0,,mrsmiss,mrsmiss,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_13,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_13,True,,113,113,1.0,,neon,neon,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_14,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_14,True,,113,113,1.0,,mrsmiss,mrsmiss,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_15,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_15,True,,113,113,1.0,,neon,neon,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_16,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_16,True,,113,113,1.0,,mrsmiss,mrsmiss,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_af_03_17,d_main_40_af_03,Speech,Locale_MainScenario:d_main_40_af_03_17,True,,113,113,1.0,,neon,neon,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,
