id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/6/hide_char_id,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,set_camera_shake
d_main_27_04_s_1,d_main_27_04_s,Speech,shifty,shifty,Locale_MainScenario:d_main_27_04_s_1,True,anis,1,idle,neon,13,idle,rapi,15,idle,hammering,3,idle,liveryn,5,idle,elegg,7,idle,shifty,OP_leftup,idle,Desert_05,150,150,1.0,bgm_enemyclose,,,,,,,,,
d_main_27_04_s_2,d_main_27_04_s,Speech,shifty,shifty,Locale_MainScenario:d_main_27_04_s_2,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_leftup,idle,,150,150,1.0,,,,,,,,,,
d_main_27_04_s_3,d_main_27_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_27_04_s_3,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_leftup,idle,,150,150,1.0,,shifty,,,,,,,,
d_main_27_04_s_4,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_4,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,,,,30,30,1.0,,,,,,,,,,
d_main_27_04_s_5,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_5,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,,,,30,30,1.0,,,,,,,,,,
d_main_27_04_s_6,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_6,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,,,,S_70,S_70,1.0,,,,,,,,,,
d_main_27_04_s_7,d_main_27_04_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_s_7,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,worry,,7,idle,,,,,50,50,1.0,,,,,,,,,,
d_main_27_04_s_8,d_main_27_04_s,Monologue,,,Locale_MainScenario:d_main_27_04_s_8,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,worry,,7,idle,,,,,50,90,2.0,,,,,,,,,,
d_main_27_04_s_9,d_main_27_04_s,Monologue,,,Locale_MainScenario:d_main_27_04_s_9,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,worry,,7,idle,,,,CrystalDesert_d,90,90,1.0,,,,,,,,,,
d_main_27_04_s_10,d_main_27_04_s,Monologue,,,Locale_MainScenario:d_main_27_04_s_10,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,worry,,7,idle,,,,,90,900,1.0,,,,,,,,,,
d_main_27_04_s_11,d_main_27_04_s,Self,,,Locale_MainScenario:d_main_27_04_s_11,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,worry,,7,idle,,,,,900,900,1.0,,,,,,,,,,
d_main_27_04_s_12,d_main_27_04_s,Speech,shifty,shifty,Locale_MainScenario:d_main_27_04_s_12,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,shifty,OP_leftup,idle,,900,S_700,1.0,,,,,,,,,,
d_main_27_04_s_13,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_13,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_leftup,idle,,S_700,S_700,1.0,,,,,,,,,,
d_main_27_04_s_14,d_main_27_04_s,Monologue,,,Locale_MainScenario:d_main_27_04_s_14,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_leftup,idle,,S_700,S_700,1.0,,,sfx_scn_tablet,,,,,,,
d_main_27_04_s_15,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_15,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_leftup,idle,,S_700,S_70,1.0,,,,,,,,,,
d_main_27_04_s_16,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_16,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_leftup,idle,,S_70,S_70,1.0,,,,,,,,,,
d_main_27_04_s_17,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_17,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_leftup,idle,,S_70,S_70,1.0,,,,,,,,,,
d_main_27_04_s_18,d_main_27_04_s,Speech,shifty,shifty,Locale_MainScenario:d_main_27_04_s_18,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_leftup,idle,,S_70,30,2.0,,,,,,,,,,
d_main_27_04_s_19,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_19,True,,1,idle,,13,idle,,15,idle,,3,smile,,5,idle,,7,idle,,OP_leftup,idle,,30,30,1.0,,shifty,,,,,,,,
d_main_27_04_s_20,d_main_27_04_s,Monologue,,,Locale_MainScenario:d_main_27_04_s_20,False,,1,idle,,13,idle,,15,idle,,3,smile,,5,idle,,7,idle,,,,,30,300,1.0,,,sfx_scn_walkturf,,,,,,,
d_main_27_04_s_21,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_21,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,idle,,7,idle,,,,,300,300,1.0,,,,,,,,,,
d_main_27_04_s_22,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_22,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,idle,,7,idle,,,,,300,300,1.0,,,,,,,,,,
d_main_27_04_s_23,d_main_27_04_s,Narration,,,Locale_MainScenario:d_main_27_04_s_23,False,,1,idle,,13,idle,,15,idle,,3,worry,,5,idle,,7,idle,,,,,300,300,1.0,,,sfx_scn_knockingcrystal,,,,,,,
d_main_27_04_s_24,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_24,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,idle,,7,idle,,,,,300,300,1.0,,,,,,,,,,
d_main_27_04_s_25,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_25,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,idle,,7,idle,,,,,300,300,1.0,,,,,,,,,,
d_main_27_04_s_26,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_26,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,idle,,7,idle,,,,,75,75,1.0,,,,,,,,,,
d_main_27_04_s_27,d_main_27_04_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_s_27,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,worry,,7,idle,,,,,75,75,1.0,,,,,,,,,,
d_main_27_04_s_28,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_28,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,worry,,7,idle,,,,,300,300,1.0,,,,,,,,,,
d_main_27_04_s_29,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_29,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,worry,,7,idle,,,,,300,300,1.0,,,,,,,,,,
d_main_27_04_s_30,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_30,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,worry,,7,idle,,,,,300,30,1.0,,,,,,,,,,
d_main_27_04_s_31,d_main_27_04_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_s_31,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,idle,,7,idle,,,,,30,50,1.0,,,,,,,,,,
d_main_27_04_s_32,d_main_27_04_s,Monologue,,,Locale_MainScenario:d_main_27_04_s_32,False,,1,idle,,13,idle,,15,idle,,3,worry,,5,idle,,7,idle,,,,,50,90,2.0,,,,,,,,,,
d_main_27_04_s_33,d_main_27_04_s,Monologue,,,Locale_MainScenario:d_main_27_04_s_33,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,,,E2Crystal,black,black,1.0,,,,anis,neon,rapi,hammering,liveryn,elegg,
d_main_27_04_s_34,d_main_27_04_s,Monologue,,,Locale_MainScenario:d_main_27_04_s_34,False,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,
d_main_27_04_s_35,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_35,True,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,
d_main_27_04_s_36,d_main_27_04_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_s_36,True,,,,,,,,,,,,,,,,,,,,,,,1,10,1.0,,,,,,,,,,
d_main_27_04_s_37,d_main_27_04_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_s_37,True,,,,,,,,,,,,,,,,,,,,,,,10,10,1.0,,,,,,,,,,
d_main_27_04_s_38,d_main_27_04_s,Speech,neon,neon,Locale_MainScenario:d_main_27_04_s_38,True,,,,,,,,,,,,,,,,,,,,,,,10,10,1.0,,,,,,,,,,
d_main_27_04_s_39,d_main_27_04_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_s_39,False,,,,,,,,,,,,,,,,,,,,,,,10,10,1.0,,,,,,,,,,
d_main_27_04_s_40,d_main_27_04_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_s_40,True,,,,,,,,,,,,,,,,,,,,,,,10,1,1.0,,,,,,,,,,
d_main_27_04_s_41,d_main_27_04_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_s_41,True,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,
d_main_27_04_s_42,d_main_27_04_s,Speech,neon,neon,Locale_MainScenario:d_main_27_04_s_42,True,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,
d_main_27_04_s_43,d_main_27_04_s,Speech,anis,anis,Locale_MainScenario:d_main_27_04_s_43,True,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,
d_main_27_04_s_44,d_main_27_04_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_s_44,True,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,
d_main_27_04_s_45,d_main_27_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_27_04_s_45,True,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,
d_main_27_04_s_46,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_46,True,,,,,,,,,,,,,,,,,,,,,,,1,100,1.0,,,,,,,,,,
d_main_27_04_s_47,d_main_27_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_27_04_s_47,True,,,,,,,,,,,,,,,,,,,,,,,100,100,1.0,,,,,,,,,,
d_main_27_04_s_48,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_48,True,,,,,,,,,,,,,,,,,,,,,,,100,100,1.0,,,,,,,,,,
d_main_27_04_s_49,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_49,True,,,,,,,,,,,,,,,,,,,,,,,100,100,1.0,,,,,,,,,,
d_main_27_04_s_50,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_50,True,,,,,,,,,,,,,,,,,,,,,,,100,100,1.0,,,,,,,,,,
d_main_27_04_s_51,d_main_27_04_s,Self,,,Locale_MainScenario:d_main_27_04_s_51,False,,,,,,,,,,,,,,,,,,,,,,,100,1,1.0,,,,,,,,,,
d_main_27_04_s_52,d_main_27_04_s,Self,,,Locale_MainScenario:d_main_27_04_s_52,False,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,
d_main_27_04_s_53,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_53,True,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,
d_main_27_04_s_54,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_54,True,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,
d_main_27_04_s_55,d_main_27_04_s,Narration,,,Locale_MainScenario:d_main_27_04_s_55,False,anis,1,idle,neon,13,idle,rapi,15,idle,hammering,3,idle,liveryn,5,idle,elegg,7,idle,,,,CrystalDesert_d,black,black,1.0,,,sfx_scn_tinymachineengage,,,,,,,
d_main_27_04_s_56,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_56,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,worry,,,,,S_700,S_700,1.0,,,,,,,,,,
d_main_27_04_s_57,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_57,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,worry,,,,,S_700,S_700,1.0,,,,,,,,,,
d_main_27_04_s_58,d_main_27_04_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_s_58,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,worry,,7,worry,,,,,S_700,75,1.0,,,,,,,,,,
d_main_27_04_s_59,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_59,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,worry,,7,idle,,,,,75,75,1.0,,,,,,,,,,
d_main_27_04_s_60,d_main_27_04_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_s_60,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,worry,,7,idle,,,,,75,75,1.0,,,,,,,,,,
d_main_27_04_s_61,d_main_27_04_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_s_61,True,,1,idle,,13,idle,,15,idle,,3,worry,,5,worry,,7,idle,,,,,30,30,1.0,,,,,,,,,,
