id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_subquest_1213_s_1,d_subquest_1213_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1213_s_1,True,roam,5,idle,anis,1,idle,neon,13,surprise,rapi,15,idle,WasteLand_04,12,12,1.0,bgm_story_inwonderland,,
d_subquest_1213_s_2,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_2,True,,5,idle,,1,idle,,13,surprise,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_3,d_subquest_1213_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1213_s_3,True,,5,idle,,1,idle,,13,delight,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_4,d_subquest_1213_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1213_s_4,True,,5,idle,,1,idle,,13,delight,,15,delight,,12,14,1.5,,,
d_subquest_1213_s_5,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_5,True,,5,idle,,1,delight,,13,delight,,15,delight,,14,12,0.8,,,
d_subquest_1213_s_6,d_subquest_1213_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1213_s_6,True,,5,idle,,1,delight,,13,idle,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_7,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_7,True,,5,idle,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_8,d_subquest_1213_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1213_s_8,True,,5,idle,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_9,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_9,True,,5,idle,,1,idle,,13,idle,,15,idle,,12,10,2.0,,,
d_subquest_1213_s_10,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_10,True,,5,idle,,1,worry,,13,idle,,15,idle,,10,10,1.0,,,
d_subquest_1213_s_11,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_11,True,,5,idle,,1,worry,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_12,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_12,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_13,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_13,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_14,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_14,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_15,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_15,True,,5,idle,,1,delight,,13,idle,,15,idle,,5,12,0.5,,,
d_subquest_1213_s_16,d_subquest_1213_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1213_s_16,True,,5,idle,,1,delight,,13,delight,,15,idle,,12,12,1.0,,,
