id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,set_filter_01,set_filter_02
d_main_30_02_1,d_main_30_02,Monologue,Locale_MainScenario:d_main_30_02_1,False,rapi,3,idle,anis,5,void,neon,7,idle,fragile,1,think,liveryn,13,worry,drilley,15,idle,elegg,17,idle,WhiteHouse,4,12,2.0,none,,,,,,,,,,,
d_main_30_02_2,d_main_30_02,Speech,Locale_MainScenario:d_main_30_02_2,True,,3,idle,,5,void,,7,idle,,1,think,,13,worry,,15,idle,,17,idle,,12,12,1.0,bgm_intotheswarm,liveryn,liveryn,,,,,,,,,
d_main_30_02_3,d_main_30_02,Speech,Locale_MainScenario:d_main_30_02_3,True,,3,idle,,5,void,,7,idle,,1,think,,13,worry,,15,idle,,17,idle,,12,12,1.0,,liveryn,liveryn,,,,,,,,,
d_main_30_02_4,d_main_30_02,Speech,Locale_MainScenario:d_main_30_02_4,True,,3,idle,,5,void,,7,idle,,1,think,,13,worry,,15,idle,,17,idle,,12,12,1.0,,liveryn,liveryn,,,,,,,,,
d_main_30_02_5,d_main_30_02,Speech,Locale_MainScenario:d_main_30_02_5,True,,3,idle,,5,void,,7,idle,,1,think,,13,worry,,15,idle,,17,idle,,12,12,1.0,,liveryn,liveryn,,,,,,,,,
d_main_30_02_6,d_main_30_02,Speech,Locale_MainScenario:d_main_30_02_6,True,,3,idle,,5,void,,7,idle,,1,think,,13,worry,,15,idle,,17,idle,,12,12,1.0,,fragile,fragile,,,,,,,,,
d_main_30_02_7,d_main_30_02,Speech,Locale_MainScenario:d_main_30_02_7,True,,3,idle,,5,void,,7,idle,,1,think,,13,smile,,15,idle,,17,idle,,12,130,1.0,,liveryn,liveryn,,,,,,,,,
d_main_30_02_8,d_main_30_02,Speech,Locale_MainScenario:d_main_30_02_8,True,,3,idle,,5,void,,7,idle,,1,think,,13,smile,,15,idle,,17,idle,,130,130,1.0,,liveryn,liveryn,,,,,,,,,
d_main_30_02_9,d_main_30_02,Speech,Locale_MainScenario:d_main_30_02_9,True,,3,idle,,5,void,,7,idle,,1,think,,13,worry,,15,idle,,17,idle,,130,130,1.0,,liveryn,liveryn,,,,,,,,,
d_main_30_02_10,d_main_30_02,Speech,Locale_MainScenario:d_main_30_02_10,True,,3,idle,,5,void,,7,idle,,1,think,,13,worry,,15,idle,,17,idle,,130,130,1.0,,liveryn,liveryn,,,,,,,,,
d_main_30_02_11,d_main_30_02,Speech,Locale_MainScenario:d_main_30_02_11,True,,3,idle,,5,void,,7,idle,,1,think,,13,worry,,15,idle,,17,idle,,130,130,1.0,,liveryn,liveryn,,,,,,,,,
