id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id
d_main_38_09_s_1,d_main_38_09_s,Self,leviathan,Locale_MainScenario:d_main_38_09_s_1,False,SilverBog,16,16,1.0,bgm_chapter38_field_goldentree_a,,,,laplace_p,5,no_02,,drake_p,3,idle,,maxwell_p,1,no,,rapi_red,13,idle,,leviathan,15,think_01,,ziz,17,idle,,,,,,,,,,,,,
d_main_38_09_s_2,d_main_38_09_s,Speech,leviathan,Locale_MainScenario:d_main_38_09_s_2,False,,16,16,1.0,,leviathan,,,,5,no_02,,,3,idle,,,1,no,,,13,idle,,,15,no,,,17,idle,,,,,,,,,,,,,
d_main_38_09_s_3,d_main_38_09_s,Speech,ziz,Locale_MainScenario:d_main_38_09_s_3,True,,16,16,1.0,,ziz,,,,5,no_02,,,3,idle,,,1,no,,,13,idle,,,15,no,,,17,sad,,,,,,,,,,,,,
d_main_38_09_s_4,d_main_38_09_s,Self,ziz,Locale_MainScenario:d_main_38_09_s_4,False,,16,16,1.0,,,,,,5,no_02,,,3,idle,,,1,no,,,13,idle,,,15,no,,,17,sad,,,,,,,,,,,,,
d_main_38_09_s_5,d_main_38_09_s,Self,ziz,Locale_MainScenario:d_main_38_09_s_5,False,,16,16,1.0,,,,,,5,no_02,,,3,idle,,,1,no,,,13,idle,,,15,no,,,17,sad,,,,,,,,,,,,,
d_main_38_09_s_6,d_main_38_09_s,Speech,leviathan,Locale_MainScenario:d_main_38_09_s_6,True,,16,S_150,1.0,,leviathan,,,,5,no_02,,,3,idle,,,1,no,,,13,idle,,,15,no,,,17,sad,,,,,,,,,,,,,
d_main_38_09_s_7,d_main_38_09_s,Self,leviathan,Locale_MainScenario:d_main_38_09_s_7,False,,S_150,S_150,1.0,,,,,,5,no_02,,,3,idle,,,1,no,,,13,idle,,,15,no,,,17,sad,,,,,,,,,,,,,
d_main_38_09_s_8,d_main_38_09_s,Speech,leviathan,Locale_MainScenario:d_main_38_09_s_8,True,,S_150,S_150,1.0,,leviathan,,,,5,no_02,,,3,idle,,,1,no,,,13,idle,,,15,angry,,,17,sad,,,,,,,,,,,,,
d_main_38_09_s_9,d_main_38_09_s,Self,leviathan,Locale_MainScenario:d_main_38_09_s_9,False,,S_150,S_150,1.0,,,,,,5,no_02,,,3,idle,,,1,no,,,13,idle,,,15,angry,,,17,sad,,,,,,,,,,,,,
d_main_38_09_s_10,d_main_38_09_s,Speech,ziz,Locale_MainScenario:d_main_38_09_s_10,True,,S_150,16,1.0,,ziz,,,,5,no_02,,,3,idle,,,1,no,,,13,idle,,,15,angry,,,17,sad,,,,,,,,,,,,,
d_main_38_09_s_11,d_main_38_09_s,Speech,leviathan,Locale_MainScenario:d_main_38_09_s_11,True,,16,16,1.0,,leviathan,,,,5,no_02,,,3,idle,,,1,no,,,13,idle,,,15,no,,,17,sad,,,,,,,,,,,,,
