id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_17af_03_1,d_main_17af_03,Narration,Locale_MainScenario:d_main_17af_03_1,False,Corridor,9,31,2.0,bgm_story_destinedtofight,,,,yuni,3,think,,mihara,1,idle
d_main_17af_03_2,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_2,True,,31,31,1.0,,mihara,mihara,,,3,think,,,1,idle
d_main_17af_03_3,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_3,True,,31,31,1.0,,yuni,yuni,,,3,think,,,1,idle
d_main_17af_03_4,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_4,True,,31,31,1.0,,syuen,syuen,,,3,think,,,1,idle
d_main_17af_03_5,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_5,False,,31,31,1.0,,yuni,yuni,,,3,surprise,,,1,surprise
d_main_17af_03_6,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_6,True,,31,31,1.0,,mihara,mihara,,,3,surprise,,,1,surprise
d_main_17af_03_7,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_7,False,,31,31,1.0,,yuni,yuni,,,3,think,,,1,surprise
d_main_17af_03_8,d_main_17af_03,Monologue,Locale_MainScenario:d_main_17af_03_8,False,,31,S_30,1.0,,,,,,3,think,,,1,think
d_main_17af_03_9,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_9,True,,S_30,S_30,1.0,,mihara,mihara,,,3,think,,,1,think
d_main_17af_03_10,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_10,True,,S_30,S_30,1.0,,syuen,syuen,,,3,think,,,1,think
d_main_17af_03_11,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_11,True,,S_30,S_30,1.0,,syuen,syuen,,,3,think,,,1,think
d_main_17af_03_12,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_12,True,,S_30,S_30,1.0,,syuen,syuen,,,3,think,,,1,think
d_main_17af_03_13,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_13,True,,S_30,S_30,1.0,,syuen,syuen,,,3,think,,,1,think
d_main_17af_03_14,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_14,True,,S_30,S_300,1.0,,yuni,yuni,,,3,surprise,,,1,think
d_main_17af_03_15,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_15,True,,S_300,31,1.0,,yuni,yuni,,,3,idle,,,1,think
d_main_17af_03_16,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_16,True,,31,31,1.0,,mihara,mihara,,,3,idle,,,1,think
d_main_17af_03_17,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_17,True,,31,31,1.0,,yuni,yuni,,,3,idle,,,1,think
d_main_17af_03_18,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_18,True,,31,31,1.0,,syuen,syuen,,,3,idle,,,1,think
d_main_17af_03_19,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_19,True,,31,31,1.0,,syuen,syuen,,,3,idle,,,1,think
d_main_17af_03_20,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_20,True,,31,S_30,0.5,,yuni,yuni,,,3,idle,,,1,think
