id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,play_sound,set_camera_shake,characters/5/hide_char_id
d_main_10_01_1,d_main_10_01,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_01_1,False,anis,1,worry,rapi,7,idle,vesti,15,idle,neon,3,worry,emma,17,angry,eunhwa,13,idle,Desert_01,130,130,1.0,bgm_areah,,,,,,,
d_main_10_01_2,d_main_10_01,Speech,rapi,rapi,Locale_MainScenario:d_main_10_01_2,False,,1,worry,,7,idle,,15,idle,,3,worry,,17,angry,,13,idle,,70,70,1.0,,,,,,,,
d_main_10_01_3,d_main_10_01,Speech,vesti,vesti,Locale_MainScenario:d_main_10_01_3,False,,1,worry,,7,idle,,15,idle,,3,worry,,17,angry,,13,idle,,XS_150,XS_150,1.0,,,,,,,,
d_main_10_01_4,d_main_10_01,Speech,neon,neon,Locale_MainScenario:d_main_10_01_4,False,,1,worry,,7,idle,,15,idle,,3,worry,,17,angry,,13,idle,,S_30,S_30,1.0,,,,,,,,
d_main_10_01_5,d_main_10_01,Speech,emma,emma,Locale_MainScenario:d_main_10_01_5,False,,1,worry,,7,idle,,15,idle,,3,worry,,17,angry,,13,idle,,170,170,1.0,,,,,,,,
d_main_10_01_6,d_main_10_01,Speech,anis,anis,Locale_MainScenario:d_main_10_01_6,False,,1,worry,,7,idle,,15,idle,,3,worry,,17,angry,,13,idle,,10,10,1.0,,,,,,,,
d_main_10_01_7,d_main_10_01,Speech,shifty,shifty,Locale_MainScenario:d_main_10_01_7,False,,1,worry,,7,idle,,15,idle,,3,worry,,17,angry,,13,idle,,10,10,1.0,,shifty,OP_leftup,think,,,,
d_main_10_01_8,d_main_10_01,Self,anis,Self,Locale_MainScenario:d_main_10_01_8,False,,1,worry,,7,idle,,15,idle,,3,idle,,17,angry,,13,idle,,10,10,1.0,,,OP_leftup,think,,,,
d_main_10_01_9,d_main_10_01,Speech,anis,anis,Locale_MainScenario:d_main_10_01_9,False,,1,worry,,7,idle,,15,idle,,3,idle,,17,angry,,13,idle,,10,1,1.0,,,OP_leftup,think,shifty,,,
d_main_10_01_10,d_main_10_01,Speech,anis,anis,Locale_MainScenario:d_main_10_01_10,True,,1,worry,,7,idle,,15,idle,,3,idle,,17,angry,,13,idle,,1,1,1.0,,,,,,,,
