id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/1/hide_char_id,characters/4/hide_char_id,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_filter_01
d_main_31_03_1,d_main_31_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_03_1,True,eunhwa,1,idle,anis,13,void,neon,15,idle,shifty_r,OP_rightup,idle,CrystalField_1,1,1,1.0,bgm_chapter31_field_beast_a,,,,,,,,,,,
d_main_31_03_2,d_main_31_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_03_2,True,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,1,1,1.0,,,,,,,,,,,,
d_main_31_03_3,d_main_31_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_03_3,True,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,1,10,1.0,,,,,,,,,,,,
d_main_31_03_4,d_main_31_03,Narration,eunhwa,,Locale_MainScenario:d_main_31_03_4,False,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,10,10,1.0,,sfx_scn_stabground,,,,,,,,,,
d_main_31_03_5,d_main_31_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_03_5,True,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,10,10,1.0,,,,,,,,,,,,
d_main_31_03_6,d_main_31_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_03_6,True,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,10,1,1.0,,,,,,,,,,,,
d_main_31_03_7,d_main_31_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_03_7,True,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,1,1,1.0,,,mana_op,OP_leftup,idle,,,,,,,
d_main_31_03_8,d_main_31_03,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_03_8,True,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,1,1,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_9,d_main_31_03,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_03_9,False,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,1,10,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_10,d_main_31_03,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_03_10,True,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,10,10,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_11,d_main_31_03,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_03_11,True,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,10,10,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_12,d_main_31_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_03_12,True,,1,idle,,13,void,,15,idle,,OP_rightup,idle,,10,10,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_13,d_main_31_03,Speech,anis,anis,Locale_MainScenario:d_main_31_03_13,True,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,,10,130,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_14,d_main_31_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_03_14,True,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,,130,130,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_15,d_main_31_03,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_03_15,True,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,,130,130,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_16,d_main_31_03,Speech,neon,neon,Locale_MainScenario:d_main_31_03_16,True,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,,130,14,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_17,d_main_31_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_03_17,True,,1,idle,,13,idle,,15,idle,,OP_rightup,worry,,14,14,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_18,d_main_31_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_03_18,True,,1,idle,,13,idle,,15,idle,,OP_rightup,worry,,14,14,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_19,d_main_31_03,Speech,anis,anis,Locale_MainScenario:d_main_31_03_19,True,,1,idle,,13,void,,15,idle,,OP_rightup,worry,,14,130,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_20,d_main_31_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_03_20,True,,1,idle,,13,void,,15,idle,,OP_rightup,think,,130,130,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_21,d_main_31_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_03_21,True,,1,idle,,13,void,,15,idle,,OP_rightup,angry,,130,130,1.0,,,,OP_leftup,idle,,,,,,,
d_main_31_03_22,d_main_31_03,Narration,shifty_r,,Locale_MainScenario:d_main_31_03_22,False,,1,idle,,13,void,,15,idle,,OP_rightup,angry,,130,13,0.6,,sfx_scn_hugestomp,,OP_leftup,idle,Low_2,,,,,,
d_main_31_03_23,d_main_31_03,Monologue,shifty_r,,Locale_MainScenario:d_main_31_03_23,False,,1,idle,,13,void,,15,idle,,OP_rightup,angry,,black,black,1.0,,,,OP_leftup,idle,,mana_op,shifty_r,,,,
d_main_31_03_24,d_main_31_03,Monologue,shifty_r,,Locale_MainScenario:d_main_31_03_24,False,,1,idle,,13,void,,15,idle,,,,,black,black,1.0,,,,,,,,,,,,
d_main_31_03_25,d_main_31_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_03_25,True,,1,idle,,13,void,,15,idle,shifty_r,OP_rightup,idle,,1,5,1.0,,,mana_op,OP_leftup,idle,,,,,,,
