id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
d_main_03_02_1,d_main_03_02,Speech,neon,neon,Locale_MainScenario:d_main_03_02_1,True,rapi,1,idle,anis,3,worry,neon,13,idle,mihara,17,idle,yuni,19,idle,CityForest_03,13,13,1.0,bgm_risk_a,
d_main_03_02_2,d_main_03_02,Speech,mihara,mihara,Locale_MainScenario:d_main_03_02_2,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,13,17,1.0,,
d_main_03_02_3,d_main_03_02,Speech,mihara,mihara,Locale_MainScenario:d_main_03_02_3,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,17,17,1.0,,
d_main_03_02_4,d_main_03_02,Speech,anis,anis,Locale_MainScenario:d_main_03_02_4,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,17,17,1.0,,
d_main_03_02_5,d_main_03_02,Choice,anis,,Locale_MainScenario:d_main_03_02_5,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,17,170,1.0,,d_main_03_02_7
d_main_03_02_6,d_main_03_02,Choice,anis,,Locale_MainScenario:d_main_03_02_6,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,17,170,1.0,,d_main_03_02_7
d_main_03_02_7,d_main_03_02,Speech,neon,neon,Locale_MainScenario:d_main_03_02_7,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,170,170,1.0,,
d_main_03_02_8,d_main_03_02,Speech,mihara,mihara,Locale_MainScenario:d_main_03_02_8,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,170,170,1.0,zz,
d_main_03_02_9,d_main_03_02,Speech,mihara,mihara,Locale_MainScenario:d_main_03_02_9,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,170,1700,1.0,,
d_main_03_02_10,d_main_03_02,Speech,anis,anis,Locale_MainScenario:d_main_03_02_10,False,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,30,30,1.0,,
d_main_03_02_11,d_main_03_02,Self,anis,Self,Locale_MainScenario:d_main_03_02_11,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,170,1700,1.0,,
d_main_03_02_12,d_main_03_02,Speech,mihara,mihara,Locale_MainScenario:d_main_03_02_12,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,1700,1700,1.0,,
d_main_03_02_13,d_main_03_02,Speech,anis,anis,Locale_MainScenario:d_main_03_02_13,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,1700,1700,1.0,,
d_main_03_02_14,d_main_03_02,Speech,mihara,mihara,Locale_MainScenario:d_main_03_02_14,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,1700,170,1.0,,
d_main_03_02_15,d_main_03_02,Self,mihara,Self,Locale_MainScenario:d_main_03_02_15,False,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,170,170,1.0,,
d_main_03_02_16,d_main_03_02,Speech,mihara,mihara,Locale_MainScenario:d_main_03_02_16,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,170,170,1.0,,
d_main_03_02_17,d_main_03_02,Speech,yuni,yuni,Locale_MainScenario:d_main_03_02_17,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,170,S_190,1.0,,
d_main_03_02_18,d_main_03_02,Speech,anis,anis,Locale_MainScenario:d_main_03_02_18,True,,1,idle,,3,worry,,13,idle,,17,idle,,19,idle,,S_190,S_190,1.0,,
d_main_03_02_19,d_main_03_02,Speech,mihara,mihara,Locale_MainScenario:d_main_03_02_19,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,S_190,1700,1.0,,
d_main_03_02_20,d_main_03_02,Speech,mihara,mihara,Locale_MainScenario:d_main_03_02_20,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,1700,170,1.0,,
