id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id
d_main_30_07_s_1,d_main_30_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_30_07_s_1,True,rapi,1,idle,grave,3,idle,CrystalField_1,2,2,1.0,bgm_chapter30_field_whitecity,,,,
d_main_30_07_s_2,d_main_30_07_s,Speech,grave,grave,Locale_MainScenario:d_main_30_07_s_2,True,,1,idle,,3,idle,,2,2,1.0,,,,,
d_main_30_07_s_3,d_main_30_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_30_07_s_3,True,,1,think,,3,idle,,2,2,1.0,,,,,
d_main_30_07_s_4,d_main_30_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_30_07_s_4,True,,1,idle,,3,idle,,2,2,1.0,,,,,
d_main_30_07_s_5,d_main_30_07_s,Speech,grave,grave,Locale_MainScenario:d_main_30_07_s_5,True,,1,idle,,3,idle,,2,2,1.0,,,,,
d_main_30_07_s_6,d_main_30_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_30_07_s_6,True,,1,idle,,3,idle,,2,2,1.0,,,,,
d_main_30_07_s_7,d_main_30_07_s,Speech,grave,grave,Locale_MainScenario:d_main_30_07_s_7,True,,1,idle,,3,idle,,2,2,1.0,,,,,
d_main_30_07_s_8,d_main_30_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_30_07_s_8,True,,1,think,,3,idle,,2,2,1.0,,,,,
d_main_30_07_s_9,d_main_30_07_s,Speech,grave,grave,Locale_MainScenario:d_main_30_07_s_9,True,,1,think,,3,idle,,2,L_30,1.0,,,,,
d_main_30_07_s_10,d_main_30_07_s,Speech,grave,grave,Locale_MainScenario:d_main_30_07_s_10,True,,1,think,,3,idle,,L_30,L_30,1.0,,,,,
d_main_30_07_s_11,d_main_30_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_30_07_s_11,True,,1,think,,3,idle,,L_30,10,1.0,,,,,
d_main_30_07_s_12,d_main_30_07_s,Self,rapi,,Locale_MainScenario:d_main_30_07_s_12,False,,1,think,,3,idle,,10,10,1.0,,,,,
d_main_30_07_s_13,d_main_30_07_s,Speech,grave,grave,Locale_MainScenario:d_main_30_07_s_13,True,,1,idle,,3,idle,,10,L_30,1.0,,,,,
