id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_observationpost_10_1,d_ex_observationpost_10,Narration,Locale_SuddenStory:d_ex_observationpost_10_1,False,BriefingRoom,black,black,1.0,sfx_scn_autodooropen,bgm_story_cottoncandy,,,,,,signal,13,idle,,delta,15,idle,
d_ex_observationpost_10_2,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_2,True,,XS_1300,XS_1300,1.0,,,signal,signal,,,,,13,idle,,,15,idle,
d_ex_observationpost_10_3,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_3,True,,XS_1300,XS_1300,1.0,,,signal,signal,,,,,13,idle,,,15,idle,
d_ex_observationpost_10_4,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_4,False,,XS_1300,XS_1300,1.0,,,signal,,,,,,13,idle,,,15,idle,
d_ex_observationpost_10_5,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_5,True,,XS_1300,XS_130,0.5,,,signal,signal,,,,,13,shy,,,15,idle,
d_ex_observationpost_10_6,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_6,True,,XS_130,XS_130,1.0,,,signal,signal,,,,,13,shy,,,15,idle,
d_ex_observationpost_10_7,d_ex_observationpost_10,Monologue,Locale_SuddenStory:d_ex_observationpost_10_7,False,,XS_130,XS_130,1.0,,,signal,,,,,,13,shy,,,15,idle,
d_ex_observationpost_10_8,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_8,False,,XS_130,XS_130,1.0,,,signal,,,,,,13,shy,,,15,idle,
d_ex_observationpost_10_9,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_9,True,,XS_130,1315,1.0,,,delta,delta,,,,,13,shy,,,15,idle,
d_ex_observationpost_10_10,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_10,True,,1315,1315,1.0,,,delta,delta,,,,,13,shy,,,15,idle,
d_ex_observationpost_10_11,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_11,True,,1315,1315,1.0,,,signal,signal,,,,,13,sad,,,15,idle,
d_ex_observationpost_10_12,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_12,True,,1315,1315,1.0,,,signal,signal,,,,,13,sad,,,15,idle,
d_ex_observationpost_10_13,d_ex_observationpost_10,Narration,Locale_SuddenStory:d_ex_observationpost_10_13,False,,black,black,1.0,sfx_scn_autodooropen,,sora,,,,,,13,sad,,,3,idle,
d_ex_observationpost_10_14,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_14,True,,10,100,0.7,,,sora,sora,sora,1,idle,,13,sad,,,3,idle,
d_ex_observationpost_10_15,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_15,True,,100,100,1.0,,,sora,sora,,1,idle,,13,sad,,,3,idle,
d_ex_observationpost_10_16,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_16,True,,100,100,1.0,,,sora,sora,,1,idle,,13,sad,,,3,idle,
d_ex_observationpost_10_17,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_17,True,,100,100,1.0,,,sora,sora,,1,idle,,13,sad,,,3,idle,
d_ex_observationpost_10_18,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_18,True,,100,XS_1300,1.0,,,signal,signal,,1,idle,,13,idle,,,3,idle,
d_ex_observationpost_10_19,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_19,True,,XS_1300,XS_130,1.0,,,signal,signal,,1,idle,,13,idle,,,3,idle,
d_ex_observationpost_10_20,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_20,True,,S_30,S_30,1.0,,,delta,delta,,1,idle,,13,idle,,,3,idle,
d_ex_observationpost_10_21,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_21,False,,S_30,S_30,1.0,,,delta,,,1,idle,,13,idle,,,3,idle,
d_ex_observationpost_10_22,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_22,True,,S_30,S_30,1.0,,,delta,delta,,1,idle,,13,idle,,,3,idle,
d_ex_observationpost_10_23,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_23,True,,XS_130,XS_130,1.0,,,signal,signal,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_24,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_24,False,,XS_130,XS_130,1.0,,,signal,,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_25,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_25,True,,XS_130,10,1.0,,,sora,sora,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_26,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_26,True,,10,10,1.0,,,sora,sora,,1,delight,,13,delight,,,3,idle,
d_ex_observationpost_10_27,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_27,True,,10,113,1.0,,,signal,signal,,1,delight,,13,delight,,,3,idle,
d_ex_observationpost_10_28,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_28,True,,113,113,1.0,,,sora,sora,,1,delight,,13,delight,,,3,idle,
d_ex_observationpost_10_29,d_ex_observationpost_10,Narration,Locale_SuddenStory:d_ex_observationpost_10_29,False,,113,113,1.0,sfx_scn_crumblingsupplies,,sora,,,1,delight,,13,delight,,,3,idle,
d_ex_observationpost_10_30,d_ex_observationpost_10,Monologue,Locale_SuddenStory:d_ex_observationpost_10_30,False,,113,113,1.0,,,sora,,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_31,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_31,True,,113,113,1.0,,,signal,signal,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_32,d_ex_observationpost_10,Monologue,Locale_SuddenStory:d_ex_observationpost_10_32,False,,113,113,1.0,,,signal,,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_33,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_33,True,,XS_130,XS_1300,0.5,,,signal,signal,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_34,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_34,True,,XS_1300,XS_1300,1.0,,,signal,signal,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_35,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_35,True,,XS_1300,XS_1300,1.0,,,signal,signal,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_36,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_36,True,,XS_1300,XS_130,1.0,,,signal,signal,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_37,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_37,True,,XS_130,113,1.0,,,sora,sora,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_38,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_38,True,,113,113,1.0,,,sora,sora,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_39,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_39,True,,113,31,1.5,,,sora,sora,,1,idle,,13,delight,,,3,idle,
d_ex_observationpost_10_40,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_40,True,,31,31,1.0,,,delta,delta,,1,idle,,13,delight,,,3,surprise,
d_ex_observationpost_10_41,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_41,True,,31,31,1.0,,,sora,sora,,1,delight,,13,delight,,,3,surprise,
d_ex_observationpost_10_42,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_42,True,,31,31,1.0,,,sora,sora,,1,delight,,13,delight,,,3,surprise,
