id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,play_sound
d_main_36_03_e_1,d_main_36_03_e,Monologue,Locale_MainScenario:d_main_36_03_e_1,False,EventScene_Chap_35_03_01,black,black,1.0,bgm_chapter36_field_deals_a,,,,,,,,,,,,,,,,,,
d_main_36_03_e_2,d_main_36_03_e,Monologue,Locale_MainScenario:d_main_36_03_e_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_main_36_03_e_3,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_3,True,,7,14,1.5,,leviathan,leviathan,,,,,,,,,,,,,,,,
d_main_36_03_e_4,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_4,True,,14,14,1.0,,leviathan,leviathan,,,,,,,,,,,,,,,,
d_main_36_03_e_5,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_5,True,,14,14,1.0,,maxwell,maxwell,,,,,,,,,,,,,,,,
d_main_36_03_e_6,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_6,True,,14,14,1.0,,leviathan,leviathan,,,,,,,,,,,,,,,,
d_main_36_03_e_7,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_7,True,,14,14,1.0,,maxwell,maxwell,,,,,,,,,,,,,,,,
d_main_36_03_e_8,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_8,True,,14,14,1.0,,leviathan,leviathan,,,,,,,,,,,,,,,,
d_main_36_03_e_9,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_9,True,,14,14,1.0,,maxwell,maxwell,,,,,,,,,,,,,,,,
d_main_36_03_e_10,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_10,True,,14,d_main_36_03_e_1,1.3,,maxwell,maxwell,,,,,,,,,,,,,,,,
d_main_36_03_e_11,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_11,True,,d_main_36_03_e_1,d_main_36_03_e_1,1.0,,leviathan,leviathan,,,,,,,,,,,,,,,,
d_main_36_03_e_12,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_12,True,,d_main_36_03_e_1,d_main_36_03_e_1,1.0,,maxwell,maxwell,,,,,,,,,,,,,,,,
d_main_36_03_e_13,d_main_36_03_e,Monologue,Locale_MainScenario:d_main_36_03_e_13,False,Jungle2,black,black,1.0,,maxwell,,rapi_red,5,idle,leviathan,3,think_01,maxwell,7,idle_02,laplace,1,idle,drake,13,idle,
d_main_36_03_e_14,d_main_36_03_e,Speech,Locale_MainScenario:d_main_36_03_e_14,True,,6,6,1.0,,maxwell,maxwell,,5,idle,,3,think_01,,7,idle_02,,1,idle,,13,idle,
