id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_14_04_1,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_1,True,EventScene_Chap_14_02,9,1,3.0,bgm_emergency,,,,,,,,,,,,,,,,,,,
d_main_14_04_2,d_main_14_04,Speech,admi,admi,Locale_MainScenario:d_main_14_04_2,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
d_main_14_04_3,d_main_14_04,Speech,yulha,yulha,Locale_MainScenario:d_main_14_04_3,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
d_main_14_04_4,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_4,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
d_main_14_04_5,d_main_14_04,Narration,,,Locale_MainScenario:d_main_14_04_5,False,,1,100,0.2,,sfx_scn_bulletpassing,,,,,,,,,,,,,,,,,,
d_main_14_04_6,d_main_14_04,Narration,,,Locale_MainScenario:d_main_14_04_6,False,,100,100,1.0,,,,,,,,,,,,,,,,,,,,
d_main_14_04_7,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_7,False,,100,100,1.0,,,,,,,,,,,,,,,,,,,,
d_main_14_04_8,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_8,True,,100,100,1.0,,,,,,,,,,,,,,,,,,,,
d_main_14_04_9,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_9,True,,100,1,2.0,,,,,,,,,,,,,,,,,,,,
d_main_14_04_10,d_main_14_04,Speech,admi,admi,Locale_MainScenario:d_main_14_04_10,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
d_main_14_04_11,d_main_14_04,Speech,yulha,yulha,Locale_MainScenario:d_main_14_04_11,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
d_main_14_04_12,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_12,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
d_main_14_04_13,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_13,True,OutpostOut,150,150,1.0,,,privaty,3,shy,yulha,5,angry,admi,7,idle,rapi,15,angry,anis,17,void,neon,19,idle
d_main_14_04_14,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_14,True,,S_30,S_30,1.0,,,,3,idle,,5,angry,,7,idle,,15,angry,,17,void,,19,idle
d_main_14_04_15,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_15,True,,150,150,1.0,,,,3,idle,,5,angry,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_16,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_16,True,,S_30,S_30,1.0,,,,3,idle,,5,angry,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_17,d_main_14_04,Self,,,Locale_MainScenario:d_main_14_04_17,False,,S_30,S_30,1.0,,,,3,idle,,5,angry,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_18,d_main_14_04,Speech,anis,anis,Locale_MainScenario:d_main_14_04_18,True,,1517,1517,1.0,,,,3,idle,,5,angry,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_19,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_19,True,,1517,1517,1.0,,,,3,idle,,5,angry,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_20,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_20,True,,S_30,S_30,1.0,,,,3,sad,,5,angry,,7,idle,,15,idle,,17,void,,19,idle
