id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_29_09_e_1,d_main_29_09_e,Speech,shifty,shifty,Locale_MainScenario:d_main_29_09_e_1,True,CrystalField_2,XS_50,XS_50,1.0,none,,,drilley,5,surprise,,neon,3,idle,,shifty,OP_leftup,idle,
d_main_29_09_e_2,d_main_29_09_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_09_e_2,True,,XS_50,XS_50,1.0,,,,,5,surprise,,,3,idle,,,OP_leftup,idle,shifty
d_main_29_09_e_3,d_main_29_09_e,Speech,neon,neon,Locale_MainScenario:d_main_29_09_e_3,True,,XS_50,4,1.0,,,,,5,surprise,,,3,idle,,,,,
d_main_29_09_e_4,d_main_29_09_e,Speech,neon,neon,Locale_MainScenario:d_main_29_09_e_4,True,,4,4,1.0,,,,,5,surprise,,,3,idle,,,,,
d_main_29_09_e_5,d_main_29_09_e,Speech,neon,neon,Locale_MainScenario:d_main_29_09_e_5,True,,4,4,1.0,,,,,5,surprise,,,3,idle,,,,,
d_main_29_09_e_6,d_main_29_09_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_09_e_6,True,,4,4,1.0,,,,,5,angry,,,3,idle,,,,,
d_main_29_09_e_7,d_main_29_09_e,Speech,neon,neon,Locale_MainScenario:d_main_29_09_e_7,True,,4,4,1.0,,,,,5,angry,,,3,surprise,,,,,
d_main_29_09_e_8,d_main_29_09_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_09_e_8,True,,4,4,1.0,,,,,5,idle,,,3,surprise,,,,,
d_main_29_09_e_9,d_main_29_09_e,Monologue,fragile,,Locale_MainScenario:d_main_29_09_e_9,False,,4,4,1.0,,,,,5,idle,drilley,,3,surprise,neon,,,,
d_main_29_09_e_10,d_main_29_09_e,Monologue,fragile,,Locale_MainScenario:d_main_29_09_e_10,False,,4,1,1.0,,,,fragile,1,shy,,,,,,,,,
d_main_29_09_e_11,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_11,True,,1,1,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_12,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_12,True,,1,1,1.0,,,,,1,shy,,,,,,,,,
