id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake
d_main_26_2_s_1,d_main_26_02_s,Monologue,Locale_MainScenario:d_main_26_2_s_1,False,dorothy,7,think,redhood,5,think,anis,3,void,neon,1,idle,chime,13,idle,crown,15,idle,Desert_01,black,black,1.0,bgm_highnoon,,,
d_main_26_2_s_2,d_main_26_02_s,Monologue,Locale_MainScenario:d_main_26_2_s_2,False,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle,,black,black,1.0,,,,
d_main_26_2_s_3,d_main_26_02_s,Speech,Locale_MainScenario:d_main_26_2_s_3,True,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle,,7,70,1.0,,dorothy,dorothy,
d_main_26_2_s_4,d_main_26_02_s,Speech,Locale_MainScenario:d_main_26_2_s_4,True,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle,,70,70,1.0,,dorothy,dorothy,
d_main_26_2_s_5,d_main_26_02_s,Speech,Locale_MainScenario:d_main_26_2_s_5,True,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle,,70,6,1.0,,redhood,redhood,
d_main_26_2_s_6,d_main_26_02_s,Speech,Locale_MainScenario:d_main_26_2_s_6,True,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle,,6,6,1.0,,dorothy,dorothy,
d_main_26_2_s_7,d_main_26_02_s,Speech,Locale_MainScenario:d_main_26_2_s_7,True,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,6,6,1.0,,redhood,redhood,
d_main_26_2_s_8,d_main_26_02_s,Speech,Locale_MainScenario:d_main_26_2_s_8,True,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,6,6,1.0,,redhood,redhood,
d_main_26_2_s_9,d_main_26_02_s,Speech,Locale_MainScenario:d_main_26_2_s_9,True,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,6,6,1.0,,redhood,redhood,
d_main_26_2_s_10,d_main_26_02_s,Speech,Locale_MainScenario:d_main_26_2_s_10,False,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,6,6,1.0,,dorothy,dorothy,
