id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
d_subquest_1093_1,d_subquest_1093,Speech,neon,neon,Locale_SubScenario:d_subquest_1093_1,True,rapi,1,idle,anis,13,idle,neon,15,surprise,IceLand_03,12,14,1.0,bgm_distress,
d_subquest_1093_2,d_subquest_1093,Speech,neon,neon,Locale_SubScenario:d_subquest_1093_2,True,,1,idle,,13,idle,,15,surprise,,14,S_1500,0.5,,
d_subquest_1093_3,d_subquest_1093,Self,neon,,Locale_SubScenario:d_subquest_1093_3,False,,1,idle,,13,idle,,15,idle,,S_1500,S_150,2.0,,
d_subquest_1093_4,d_subquest_1093,Monologue,neon,,Locale_SubScenario:d_subquest_1093_4,False,,1,idle,,13,idle,,15,idle,,S_150,S_150,1.0,,
d_subquest_1093_5,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_5,True,,1,idle,,13,idle,,15,idle,,S_150,14,1.0,,
d_subquest_1093_6,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_6,True,,1,idle,,13,idle,,15,surprise,,14,14,1.0,,
d_subquest_1093_7,d_subquest_1093,Speech,neon,neon,Locale_SubScenario:d_subquest_1093_7,True,,1,idle,,13,idle,,15,delight,,14,14,1.0,,
d_subquest_1093_8,d_subquest_1093,Self,neon,,Locale_SubScenario:d_subquest_1093_8,False,,1,idle,,13,idle,,15,delight,,14,14,1.0,,
d_subquest_1093_9,d_subquest_1093,Speech,neon,neon,Locale_SubScenario:d_subquest_1093_9,True,,1,idle,,13,void,,15,surprise,,14,S_150,1.0,,
d_subquest_1093_10,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_10,True,,1,idle,,13,void,,15,idle,,130,130,1.0,,
d_subquest_1093_11,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_11,True,,1,idle,,13,void,,15,idle,,130,130,1.0,,
d_subquest_1093_12,d_subquest_1093,Choice,anis,,Locale_SubScenario:d_subquest_1093_12,False,,1,idle,,13,void,,15,idle,,130,130,1.0,,d_subquest_1093_14
d_subquest_1093_13,d_subquest_1093,Choice,anis,,Locale_SubScenario:d_subquest_1093_13,False,,1,idle,,13,void,,15,idle,,130,130,1.0,,d_subquest_1093_18
d_subquest_1093_14,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_14,True,,1,idle,,13,void,,15,idle,,130,130,1.0,,
d_subquest_1093_15,d_subquest_1093,Self,anis,,Locale_SubScenario:d_subquest_1093_15,False,,1,idle,,13,void,,15,idle,,130,130,1.0,,
d_subquest_1093_16,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_16,True,,1,idle,,13,void,,15,idle,,130,130,1.0,,
d_subquest_1093_17,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_17,True,,1,idle,,13,void,,15,idle,,130,130,1.0,,d_subquest_1093_21
d_subquest_1093_18,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_18,True,,1,idle,,13,void,,15,idle,,130,130,1.0,,
d_subquest_1093_19,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_19,True,,1,idle,,13,void,,15,idle,,130,130,1.0,,
d_subquest_1093_20,d_subquest_1093,Self,anis,,Locale_SubScenario:d_subquest_1093_20,False,,1,idle,,13,void,,15,idle,,130,130,1.0,,d_subquest_1093_21
d_subquest_1093_21,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_21,True,,1,idle,,13,sad,,15,idle,,130,130,1.0,,
d_subquest_1093_22,d_subquest_1093,Speech,anis,anis,Locale_SubScenario:d_subquest_1093_22,True,,1,idle,,13,void,,15,idle,,130,130,1.0,,
