id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_39_08_1,d_main_39_08,Speech,ziz,ziz,Locale_MainScenario:d_main_39_08_1,True,RaptilionFarm,S_130,S_130,1.0,bgm_chapter39_field_gliding,,raptilion,1,idle,ziz,13,idle,leviathan,3,idle
d_main_39_08_2,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_2,True,,S_130,raptogether_02,1.5,,,,1,idle,,13,idle,,3,idle
d_main_39_08_3,d_main_39_08,Speech,ziz,ziz,Locale_MainScenario:d_main_39_08_3,True,,raptogether_02,raptogether_02,1.0,,,,1,idle,,13,delight,,3,idle
d_main_39_08_4,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_4,True,,raptogether_02,raptogether_02,1.0,,,,1,idle,,13,delight,,3,idle
d_main_39_08_5,d_main_39_08,Speech,ziz,ziz,Locale_MainScenario:d_main_39_08_5,True,,raptogether_02,raptogether_02,1.0,,,,1,idle,,13,idle,,3,idle
d_main_39_08_6,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_6,True,,raptogether_02,raptogether_02,1.0,,,,1,idle,,13,idle,,3,idle
d_main_39_08_7,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_7,True,,raptogether_02,raptogether_02,1.0,,,,1,idle,,13,idle,,3,idle
d_main_39_08_8,d_main_39_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_08_8,True,,raptogether_02,raptogether_01,1.5,,,,1,idle,,13,idle,,3,surprise
d_main_39_08_9,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_9,True,,raptogether_01,raptogether_01,1.0,,,,1,idle,,13,idle,,3,surprise
d_main_39_08_10,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_10,True,,raptogether_01,raptogether_01,1.0,,,,1,idle,,13,idle,,3,surprise
d_main_39_08_11,d_main_39_08,Speech,ziz,ziz,Locale_MainScenario:d_main_39_08_11,True,,S_130,S_1300,1.0,,,,1,idle,,13,delight,,3,surprise
d_main_39_08_12,d_main_39_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_08_12,True,,S_300,S_300,1.0,,,,1,idle,,13,delight,,3,think_02
d_main_39_08_13,d_main_39_08,Speech,ziz,ziz,Locale_MainScenario:d_main_39_08_13,True,,S_1300,S_1300,1.0,,,,1,idle,,13,delight,,3,think_02
d_main_39_08_14,d_main_39_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_08_14,False,,S_300,S_300,1.0,,,,1,idle,,13,delight,,3,angry
d_main_39_08_15,d_main_39_08,Speech,ziz,ziz,Locale_MainScenario:d_main_39_08_15,True,,S_1300,S_130,1.0,,,,1,idle,,13,idle,,3,angry
d_main_39_08_16,d_main_39_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_08_16,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,,3,angry
d_main_39_08_17,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_17,True,,S_30,raptogether_01,1.0,,,,1,idle,,13,idle,,3,angry
d_main_39_08_18,d_main_39_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_08_18,True,,raptogether_01,raptogether_01,1.0,,,,1,idle,,13,idle,,3,angry
d_main_39_08_19,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_19,True,,raptogether_01,raptogether_01,1.0,,,,1,idle,,13,idle,,3,angry
d_main_39_08_20,d_main_39_08,Speech,ziz,ziz,Locale_MainScenario:d_main_39_08_20,True,,raptogether_01,raptogether_02,1.0,,,,1,idle,,13,delight,,3,angry
d_main_39_08_21,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_21,True,,raptogether_02,raptogether_02,1.0,,,,1,idle,,13,delight,,3,angry
d_main_39_08_22,d_main_39_08,Speech,ziz,ziz,Locale_MainScenario:d_main_39_08_22,True,,raptogether_02,raptogether_02,1.0,,,,1,idle,,13,delight,,3,angry
d_main_39_08_23,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_23,True,,raptogether_02,raptogether_02,1.0,,,,1,idle,,13,delight,,3,angry
d_main_39_08_24,d_main_39_08,Speech,ziz,ziz,Locale_MainScenario:d_main_39_08_24,True,,raptogether_02,raptogether_02,1.0,,,,1,idle,,13,delight,,3,angry
d_main_39_08_25,d_main_39_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_08_25,True,,S_30,S_30,1.0,,,,1,idle,,13,delight,,3,angry
d_main_39_08_26,d_main_39_08,Speech,ziz,ziz,Locale_MainScenario:d_main_39_08_26,True,,S_130,S_130,1.0,,,,1,idle,,13,idle,,3,angry
d_main_39_08_27,d_main_39_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_08_27,False,,S_30,S_30,1.0,,,,1,idle,,13,idle,,3,no
d_main_39_08_28,d_main_39_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_08_28,True,,S_30,S_300,1.0,,,,1,idle,,13,idle,,3,no
d_main_39_08_29,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_29,True,,rap_100,rap_100,1.0,,,,1,idle,,13,idle,,3,no
d_main_39_08_30,d_main_39_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_08_30,True,,S_300,S_300,1.0,,,,1,idle,,13,idle,,3,no
d_main_39_08_31,d_main_39_08,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_08_31,True,,rap_100,rap_10,1.0,,,,1,idle,,13,idle,,3,no
d_main_39_08_32,d_main_39_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_08_32,False,,rap_10,raptogether_01,1.0,,,,1,idle,,13,idle,,3,angry
